,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
0,Boston Celtics,39,75,52.0,6,13,46.2,23,28,82.1,7,34,41,24,4,2,15,23,107,-13,0,1
1,Miami Heat,43,79,54.4,8,16,50.0,26,32,81.3,5,31,36,25,8,5,8,20,120,13,1,1
2,Dallas Mavericks,40,85,47.1,5,15,33.3,14,18,77.8,9,31,40,22,9,5,11,25,99,8,0,2
3,Los Angeles Lakers,38,77,49.4,3,13,23.1,12,31,38.7,15,31,46,24,6,5,14,21,91,-8,1,2
4,Indiana Pacers,37,78,47.4,5,11,45.5,11,16,68.8,9,37,46,22,3,10,18,16,90,2,0,3
5,Toronto Raptors,33,91,36.3,6,17,35.3,16,19,84.2,15,27,42,18,12,8,10,18,88,-2,1,3
6,Denver Nuggets,33,88,37.5,4,18,22.2,5,11,45.5,16,38,54,19,9,5,20,22,75,-9,0,4
7,Philadelphia 76ers,30,85,35.3,7,25,28.0,17,21,81.0,14,33,47,18,13,11,15,14,84,9,1,4
8,Houston Rockets,39,79,49.4,10,27,37.0,17,23,73.9,12,33,45,28,12,3,20,24,105,9,0,5
9,Detroit Pistons,35,79,44.3,6,16,37.5,20,26,76.9,10,26,36,21,12,4,16,15,96,-9,1,5
10,Sacramento Kings,34,84,40.5,6,17,35.3,13,16,81.3,11,29,40,14,10,5,19,29,87,-6,0,6
11,Chicago Bulls,33,79,41.8,2,9,22.2,25,33,75.8,14,32,46,21,8,10,18,19,93,6,1,6
12,San Antonio Spurs,38,80,47.5,6,20,30.0,17,26,65.4,10,33,43,22,9,8,15,21,99,4,0,7
13,New Orleans Hornets,35,80,43.8,4,17,23.5,21,23,91.3,9,34,43,26,7,6,13,20,95,-4,1,7
14,Dallas Mavericks,32,85,37.6,11,22,50.0,19,26,73.1,8,32,40,20,8,5,16,32,94,-19,0,8
15,Utah Jazz,38,89,42.7,6,14,42.9,31,42,73.8,20,41,61,24,10,8,14,25,113,19,1,8
16,Golden State Warriors,33,86,38.4,5,17,29.4,16,23,69.6,17,32,49,19,9,3,18,20,87,2,0,9
17,Phoenix Suns,32,80,40.0,4,21,19.0,17,22,77.3,11,33,44,16,10,12,18,23,85,-2,1,9
18,Memphis Grizzlies,33,86,38.4,2,14,14.3,24,30,80.0,17,27,44,24,14,4,18,25,92,-9,0,10
19,Los Angeles Clippers,38,74,51.4,5,15,33.3,20,29,69.0,8,31,39,25,12,9,22,27,101,9,1,10
20,Los Angeles Lakers,36,72,50.0,8,18,44.4,26,32,81.3,15,30,45,21,6,2,24,29,106,-10,0,11
21,Portland Trail Blazers,42,83,50.6,9,20,45.0,23,28,82.1,10,20,30,19,10,5,12,20,116,10,1,11
22,Oklahoma City Thunder,29,77,37.7,7,17,41.2,19,23,82.6,12,36,48,18,6,5,18,20,84,-2,0,12
23,San Antonio Spurs,35,79,44.3,5,19,26.3,11,16,68.8,6,33,39,27,9,4,13,21,86,2,1,12
24,Indiana Pacers,33,83,39.8,7,26,26.9,16,27,59.3,14,38,52,19,5,5,17,16,89,-1,0,13
25,Charlotte Bobcats,31,85,36.5,7,19,36.8,21,24,87.5,10,31,41,18,10,9,10,22,90,1,1,13
26,Denver Nuggets,32,84,38.1,7,26,26.9,18,27,66.7,15,30,45,22,5,5,14,17,89,-13,0,14
27,Orlando Magic,42,86,48.8,5,15,33.3,13,18,72.2,11,35,46,24,8,8,11,24,102,13,1,14
28,Milwaukee Bucks,40,86,46.5,8,18,44.4,11,12,91.7,11,35,46,26,12,5,18,17,99,11,0,15
29,Boston Celtics,33,74,44.6,5,14,35.7,17,21,81.0,6,30,36,22,9,4,18,18,88,-11,1,15
30,Houston Rockets,38,90,42.2,8,30,26.7,25,29,86.2,23,35,58,22,8,2,21,18,109,7,0,16
31,Atlanta Hawks,40,85,47.1,7,22,31.8,15,17,88.2,7,29,36,23,12,4,13,26,102,-7,1,16
32,Chicago Bulls,44,69,63.8,4,10,40.0,23,30,76.7,5,36,41,34,7,4,17,21,115,29,0,17
33,Cleveland Cavaliers,32,79,40.5,8,20,40.0,14,27,51.9,11,22,33,23,7,1,17,25,86,-29,1,17
34,Miami Heat,33,71,46.5,7,20,35.0,11,13,84.6,7,34,41,18,4,5,21,18,84,-20,0,18
35,New York Knicks,36,84,42.9,19,36,52.8,13,15,86.7,13,28,41,27,10,0,12,22,104,20,1,18
36,Utah Jazz,35,85,41.2,10,28,35.7,6,12,50.0,16,28,44,19,7,6,14,21,86,-2,0,19
37,New Orleans Hornets,37,81,45.7,5,14,35.7,9,14,64.3,12,30,42,23,7,4,12,16,88,2,1,19
38,Portland Trail Blazers,32,89,36.0,9,26,34.6,19,24,79.2,11,33,44,17,4,0,11,25,92,-14,0,20
39,Oklahoma City Thunder,39,76,51.3,5,9,55.6,23,32,71.9,8,39,47,18,2,10,12,22,106,14,1,20
40,Sacramento Kings,32,89,36.0,3,16,18.8,13,16,81.3,11,32,43,17,7,4,11,34,80,-12,0,21
41,Minnesota Timberwolves,32,87,36.8,2,17,11.8,26,36,72.2,17,36,53,17,4,10,11,17,92,12,1,21
42,Detroit Pistons,37,90,41.1,4,13,30.8,11,19,57.9,10,29,39,20,2,5,9,19,89,-3,0,22
43,Phoenix Suns,40,92,43.5,2,11,18.2,10,14,71.4,15,37,52,15,6,5,12,20,92,3,1,22
44,Los Angeles Clippers,38,84,45.2,8,22,36.4,21,27,77.8,9,28,37,24,12,4,11,26,105,10,0,23
45,Los Angeles Lakers,34,68,50.0,7,16,43.8,20,28,71.4,7,31,38,15,7,7,20,23,95,-10,1,23
46,Memphis Grizzlies,35,77,45.5,6,13,46.2,28,34,82.4,9,31,40,22,9,4,13,22,104,10,0,24
47,Golden State Warriors,36,80,45.0,10,20,50.0,12,17,70.6,9,27,36,21,5,5,18,24,94,-10,1,24
48,Boston Celtics,36,84,42.9,8,21,38.1,9,13,69.2,6,29,35,24,8,4,9,12,89,3,0,25
49,Washington Wizards,34,78,43.6,6,20,30.0,12,17,70.6,7,39,46,20,7,4,15,14,86,-3,1,25
50,Sacramento Kings,37,102,36.3,8,22,36.4,16,20,80.0,16,31,47,19,15,13,16,26,98,-8,0,26
51,Indiana Pacers,39,99,39.4,4,22,18.2,24,27,88.9,21,46,67,16,10,14,21,19,106,8,1,26
52,Toronto Raptors,37,82,45.1,7,18,38.9,19,25,76.0,10,27,37,23,8,5,14,31,100,-7,0,27
53,Brooklyn Nets,37,81,45.7,6,15,40.0,27,37,73.0,9,32,41,20,6,5,17,19,107,7,1,27
54,Denver Nuggets,49,95,51.6,5,21,23.8,13,20,65.0,18,29,47,13,5,3,13,21,116,-3,0,28
55,Miami Heat,43,83,51.8,10,25,40.0,23,27,85.2,7,25,32,26,9,8,8,16,119,3,1,28
56,New Orleans Hornets,32,75,42.7,5,18,27.8,20,23,87.0,9,35,44,13,7,9,16,21,89,7,0,29
57,Chicago Bulls,29,88,33.0,3,17,17.6,21,25,84.0,15,26,41,21,11,6,12,20,82,-7,1,29
58,Portland Trail Blazers,39,93,41.9,10,24,41.7,7,12,58.3,10,43,53,28,11,8,16,18,95,10,0,30
59,Houston Rockets,34,96,35.4,5,26,19.2,12,18,66.7,16,40,56,19,12,4,18,16,85,-10,1,30
60,Cleveland Cavaliers,39,83,47.0,6,16,37.5,18,29,62.1,9,33,42,19,9,0,15,21,102,-3,0,31
61,Milwaukee Bucks,41,79,51.9,9,24,37.5,14,21,66.7,3,34,37,32,8,9,15,18,105,3,1,31
62,Charlotte Bobcats,39,91,42.9,3,17,17.6,18,24,75.0,15,23,38,19,13,2,10,14,99,-27,0,32
63,Dallas Mavericks,49,80,61.3,16,25,64.0,12,15,80.0,8,35,43,31,6,7,22,23,126,27,1,32
64,Utah Jazz,38,77,49.4,5,13,38.5,19,22,86.4,9,23,32,17,11,7,16,22,100,-10,0,33
65,San Antonio Spurs,42,74,56.8,7,13,53.8,19,23,82.6,7,26,33,29,8,6,18,18,110,10,1,33
66,Golden State Warriors,41,84,48.8,4,16,25.0,28,39,71.8,16,32,48,22,7,2,13,34,114,4,0,34
67,Los Angeles Clippers,30,70,42.9,10,21,47.6,40,52,76.9,7,26,33,21,6,5,16,31,110,-4,1,34
68,Philadelphia 76ers,34,79,43.0,8,17,47.1,8,10,80.0,10,31,41,14,8,2,18,18,84,-16,0,35
69,New York Knicks,39,77,50.6,11,27,40.7,11,18,61.1,8,31,39,18,12,5,14,10,100,16,1,35
70,Minnesota Timberwolves,29,64,45.3,6,16,37.5,22,31,71.0,8,28,36,18,8,8,24,17,86,-19,0,36
71,Toronto Raptors,40,90,44.4,10,21,47.6,15,17,88.2,16,23,39,18,9,3,11,24,105,19,1,36
72,Phoenix Suns,39,91,42.9,5,19,26.3,11,18,61.1,17,28,45,19,3,10,16,17,94,-21,0,37
73,Orlando Magic,45,92,48.9,9,11,81.8,16,19,84.2,13,33,46,26,7,1,10,17,115,21,1,37
74,Atlanta Hawks,41,83,49.4,8,25,32.0,14,20,70.0,12,26,38,20,12,1,10,20,104,9,0,38
75,Oklahoma City Thunder,33,71,46.5,9,22,40.9,20,22,90.9,7,30,37,27,4,9,20,21,95,-9,1,38
76,Detroit Pistons,28,79,35.4,4,13,30.8,19,23,82.6,13,20,33,19,5,5,16,20,79,-29,0,39
77,Los Angeles Lakers,40,77,51.9,10,22,45.5,18,26,69.2,16,30,46,27,11,8,15,20,108,29,1,39
78,New York Knicks,39,84,46.4,13,32,40.6,19,19,100,9,35,44,24,7,5,7,17,110,22,0,40
79,Philadelphia 76ers,29,86,33.7,8,22,36.4,22,26,84.6,19,35,54,19,3,2,13,19,88,-22,1,40
80,Minnesota Timberwolves,44,88,50.0,7,20,35.0,12,15,80.0,16,29,45,30,9,7,11,18,107,11,0,41
81,Brooklyn Nets,35,73,47.9,13,23,56.5,13,18,72.2,8,21,29,24,7,4,13,17,96,-11,1,41
82,Phoenix Suns,35,88,39.8,7,21,33.3,22,29,75.9,10,28,38,22,11,7,11,19,99,-25,0,42
83,Miami Heat,47,86,54.7,15,26,57.7,15,19,78.9,7,42,49,33,7,4,15,22,124,25,1,42
84,Utah Jazz,40,90,44.4,5,15,33.3,9,13,69.2,11,31,42,20,8,8,14,22,94,-9,0,43
85,Memphis Grizzlies,38,91,41.8,5,14,35.7,22,25,88.0,14,37,51,21,9,10,11,17,103,9,1,43
86,Portland Trail Blazers,36,93,38.7,5,22,22.7,14,18,77.8,23,25,48,13,5,3,13,13,91,-23,0,44
87,Dallas Mavericks,48,78,61.5,10,20,50.0,8,13,61.5,2,35,37,29,12,5,9,15,114,23,1,44
88,Indiana Pacers,27,79,34.2,6,20,30.0,19,22,86.4,17,31,48,11,3,7,19,17,79,-22,0,45
89,San Antonio Spurs,41,87,47.1,8,18,44.4,11,13,84.6,11,34,45,25,11,2,8,17,101,22,1,45
90,Golden State Warriors,31,78,39.7,6,21,28.6,24,28,85.7,7,31,38,21,5,2,13,17,92,-2,0,46
91,Sacramento Kings,37,81,45.7,4,19,21.1,16,23,69.6,10,33,43,13,7,5,13,25,94,2,1,46
92,Cleveland Cavaliers,40,92,43.5,14,29,48.3,14,22,63.6,18,25,43,24,12,2,17,18,108,7,0,47
93,Los Angeles Clippers,39,74,52.7,9,25,36.0,14,16,87.5,9,29,38,23,7,13,25,24,101,-7,1,47
94,Orlando Magic,36,86,41.9,8,19,42.1,13,17,76.5,11,32,43,23,4,5,11,22,93,-6,0,48
95,Chicago Bulls,40,84,47.6,2,6,33.3,17,24,70.8,9,34,43,27,7,7,9,12,99,6,1,48
96,Toronto Raptors,30,84,35.7,7,30,23.3,21,25,84.0,8,29,37,16,11,2,17,24,88,-20,0,49
97,Oklahoma City Thunder,35,74,47.3,9,25,36.0,29,34,85.3,7,39,46,24,10,9,17,22,108,20,1,49
