,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
98,Detroit Pistons,35,78,44.9,6,12,50.0,21,25,84.0,8,27,35,26,6,9,13,19,97,-12,0,50
99,Denver Nuggets,41,92,44.6,10,30,33.3,17,22,77.3,21,31,52,23,9,11,15,21,109,12,1,50
100,Phoenix Suns,43,93,46.2,12,27,44.4,19,28,67.9,22,28,50,29,8,11,12,24,117,7,0,51
101,Charlotte Bobcats,38,87,43.7,10,22,45.5,24,27,88.9,15,24,39,26,4,12,12,20,110,-7,1,51
102,Washington Wizards,39,95,41.1,10,29,34.5,6,7,85.7,10,34,44,25,8,6,19,27,94,-6,0,52
103,Boston Celtics,34,81,42.0,4,13,30.8,28,34,82.4,6,38,44,26,9,5,16,17,100,6,1,52
104,Indiana Pacers,35,85,41.2,8,26,30.8,8,9,88.9,11,30,41,18,10,7,15,14,86,-3,0,53
105,Atlanta Hawks,38,87,43.7,7,22,31.8,6,12,50.0,17,34,51,24,8,3,17,15,89,3,1,53
106,Brooklyn Nets,30,80,37.5,3,21,14.3,10,17,58.8,13,27,40,12,7,1,19,15,73,-30,0,54
107,Miami Heat,40,77,51.9,10,24,41.7,13,16,81.3,8,32,40,25,8,5,12,18,103,30,1,54
108,Memphis Grizzlies,44,83,53.0,6,16,37.5,14,19,73.7,11,38,49,28,7,5,14,20,108,18,0,55
109,Milwaukee Bucks,35,91,38.5,6,15,40.0,14,21,66.7,16,25,41,22,10,9,10,18,90,-18,1,55
110,Philadelphia 76ers,35,84,41.7,4,22,18.2,3,5,60.0,9,34,43,19,5,6,15,16,77,15,0,56
111,New Orleans Hornets,23,69,33.3,4,19,21.1,12,16,75.0,11,36,47,18,8,9,20,12,62,-15,1,56
112,Denver Nuggets,37,82,45.1,7,18,38.9,12,21,57.1,16,33,49,20,9,5,21,16,93,6,0,57
113,Houston Rockets,31,84,36.9,8,33,24.2,17,23,73.9,16,27,43,18,15,2,18,22,87,-6,1,57
114,Orlando Magic,28,80,35.0,3,12,25.0,16,20,80.0,12,29,41,17,6,7,19,22,75,-15,0,58
115,Minnesota Timberwolves,34,76,44.7,7,20,35.0,15,22,68.2,13,33,46,22,11,9,19,18,90,15,1,58
116,Toronto Raptors,36,81,44.4,5,22,22.7,27,31,87.1,10,28,38,21,7,1,8,28,104,-5,0,59
117,Dallas Mavericks,39,84,46.4,8,21,38.1,23,35,65.7,16,31,47,21,4,6,11,23,109,5,1,59
118,Los Angeles Lakers,25,74,33.8,4,23,17.4,32,46,69.6,15,33,48,11,10,3,18,14,86,-9,0,60
119,Utah Jazz,37,83,44.6,5,17,29.4,16,18,88.9,9,28,37,21,12,7,12,30,95,9,1,60
120,Detroit Pistons,36,73,49.3,8,22,36.4,23,31,74.2,10,23,33,23,4,6,17,20,103,-2,0,61
121,Sacramento Kings,40,82,48.8,7,16,43.8,18,24,75.0,14,28,42,15,8,3,13,21,105,2,1,61
122,San Antonio Spurs,30,73,41.1,8,23,34.8,16,24,66.7,6,23,29,25,7,4,20,11,84,-22,0,62
123,Los Angeles Clippers,46,83,55.4,6,17,35.3,8,9,88.9,9,37,46,30,13,8,15,19,106,22,1,62
124,Cleveland Cavaliers,36,86,41.9,11,32,34.4,13,21,61.9,11,28,39,20,7,1,16,26,96,-10,0,63
125,Golden State Warriors,42,78,53.8,5,18,27.8,17,23,73.9,7,37,44,28,11,4,16,22,106,10,1,63
126,Oklahoma City Thunder,36,73,49.3,5,13,38.5,20,21,95.2,8,30,38,23,10,8,22,19,97,6,0,64
127,Chicago Bulls,35,84,41.7,5,15,33.3,16,18,88.9,12,29,41,22,6,3,20,19,91,-6,1,64
128,Los Angeles Clippers,41,77,53.2,3,13,23.1,18,25,72.0,10,34,44,20,9,3,13,22,103,13,0,65
129,Portland Trail Blazers,32,75,42.7,7,20,35.0,19,30,63.3,9,22,31,19,10,4,13,22,90,-13,1,65
130,Milwaukee Bucks,40,78,51.3,6,15,40.0,15,19,78.9,6,32,38,21,11,6,21,21,101,10,0,66
131,Washington Wizards,34,78,43.6,4,18,22.2,19,22,86.4,10,26,36,23,13,4,20,24,91,-10,1,66
132,Brooklyn Nets,41,82,50.0,9,23,39.1,16,25,64.0,15,33,48,21,9,6,11,13,107,39,0,67
133,Orlando Magic,30,70,42.9,4,11,36.4,4,8,50.0,7,28,35,19,3,6,18,22,68,-39,1,67
134,Philadelphia 76ers,40,82,48.8,7,13,53.8,19,23,82.6,8,30,38,27,12,7,16,22,106,6,0,68
135,Boston Celtics,37,76,48.7,4,10,40.0,22,31,71.0,7,24,31,31,7,3,14,19,100,-6,1,68
136,Dallas Mavericks,33,81,40.7,8,28,28.6,20,23,87.0,9,41,50,17,4,3,20,28,94,-10,0,69
137,New York Knicks,35,84,41.7,8,22,36.4,26,38,68.4,11,32,43,17,12,4,9,21,104,10,1,69
138,Miami Heat,37,76,48.7,7,22,31.8,14,16,87.5,8,28,36,22,8,2,14,22,95,6,0,70
139,Atlanta Hawks,34,81,42.0,9,25,36.0,12,16,75.0,7,29,36,20,4,5,13,16,89,-6,1,70
140,Houston Rockets,31,76,40.8,9,27,33.3,14,15,93.3,8,33,41,17,5,6,20,17,85,-8,0,71
141,Memphis Grizzlies,35,94,37.2,6,19,31.6,17,23,73.9,18,22,40,16,14,8,9,16,93,8,1,71
142,Charlotte Bobcats,40,83,48.2,7,21,33.3,12,18,66.7,15,26,41,17,7,9,12,17,99,-8,0,72
143,New Orleans Hornets,43,83,51.8,8,22,36.4,13,21,61.9,13,27,40,29,5,7,9,15,107,8,1,72
144,Detroit Pistons,36,87,41.4,6,19,31.6,16,22,72.7,16,25,41,24,8,4,15,19,94,-11,0,73
145,Oklahoma City Thunder,38,71,53.5,8,20,40.0,21,26,80.8,8,30,38,21,8,4,16,25,105,11,1,73
146,Indiana Pacers,37,84,44.0,5,18,27.8,15,17,88.2,11,26,37,18,7,4,13,21,94,-2,0,74
147,Minnesota Timberwolves,35,70,50.0,2,9,22.2,24,28,85.7,5,29,34,23,7,5,12,16,96,2,1,74
148,Cleveland Cavaliers,37,77,48.1,9,21,42.9,22,27,81.5,9,30,39,19,11,4,20,25,105,-2,0,75
149,Phoenix Suns,38,81,46.9,6,17,35.3,25,33,75.8,12,30,42,21,12,6,17,19,107,2,1,75
150,San Antonio Spurs,35,72,48.6,5,18,27.8,22,26,84.6,7,41,48,27,8,9,20,19,97,11,0,76
151,Sacramento Kings,32,91,35.2,3,16,18.8,19,26,73.1,15,28,43,18,11,3,11,18,86,-11,1,76
152,Utah Jazz,32,87,36.8,4,23,17.4,16,22,72.7,14,31,45,19,5,12,17,21,84,-20,0,77
153,Denver Nuggets,40,92,43.5,6,17,35.3,18,25,72.0,13,40,53,26,11,12,11,17,104,20,1,77
154,Golden State Warriors,29,86,33.7,7,25,28.0,12,20,60.0,13,34,47,12,5,3,18,25,77,-24,0,78
155,Los Angeles Lakers,36,90,40.0,8,28,28.6,21,28,75.0,16,42,58,22,9,6,16,14,101,24,1,78
156,Philadelphia 76ers,34,73,46.6,6,14,42.9,19,25,76.0,9,37,46,21,8,4,15,19,93,10,0,79
157,Toronto Raptors,30,79,38.0,12,26,46.2,11,16,68.8,7,28,35,20,6,4,12,21,83,-10,1,79
158,Washington Wizards,35,79,44.3,10,24,41.7,5,7,71.4,5,35,40,26,5,5,12,21,85,-4,0,80
159,Indiana Pacers,34,80,42.5,7,16,43.8,14,24,58.3,14,34,48,16,4,4,12,12,89,4,1,80
160,Dallas Mavericks,32,79,40.5,9,19,47.4,24,30,80.0,8,35,43,21,9,7,19,24,97,-4,0,81
161,Charlotte Bobcats,40,95,42.1,3,20,15.0,18,28,64.3,21,32,53,15,12,6,17,24,101,4,1,81
162,Minnesota Timberwolves,33,85,38.8,3,13,23.1,11,15,73.3,13,27,40,23,7,3,11,20,80,-7,0,82
163,Chicago Bulls,34,80,42.5,6,13,46.2,13,16,81.3,14,33,47,19,6,9,14,19,87,7,1,82
164,Detroit Pistons,32,80,40.0,7,20,35.0,11,16,68.8,11,34,45,17,8,9,16,16,82,-14,0,83
165,Houston Rockets,33,82,40.2,9,26,34.6,21,26,80.8,8,34,42,23,10,3,14,17,96,14,1,83
166,Boston Celtics,32,72,44.4,5,15,33.3,27,34,79.4,7,33,40,20,4,4,14,22,96,4,0,84
167,Milwaukee Bucks,35,88,39.8,3,19,15.8,19,26,73.1,16,28,44,20,7,3,11,25,92,-4,1,84
168,Phoenix Suns,32,87,36.8,4,16,25.0,13,17,76.5,10,27,37,15,12,4,10,25,81,-13,0,85
169,Utah Jazz,38,78,48.7,2,14,14.3,16,24,66.7,10,42,52,22,3,7,18,18,94,13,1,85
170,San Antonio Spurs,40,70,57.1,7,18,38.9,25,31,80.6,6,30,36,20,9,5,21,20,112,3,0,86
171,Portland Trail Blazers,42,89,47.2,10,22,45.5,15,19,78.9,12,25,37,23,14,5,15,23,109,-3,1,86
172,Denver Nuggets,43,113,38.1,5,24,20.8,16,27,59.3,23,42,65,30,9,9,15,21,107,6,0,87
173,Golden State Warriors,39,102,38.2,9,25,36.0,14,23,60.9,13,41,54,23,11,5,14,26,101,-6,1,87
174,Orlando Magic,30,84,35.7,1,13,7.7,13,18,72.2,11,31,42,22,6,4,11,22,74,-8,0,88
175,Brooklyn Nets,29,78,37.2,7,24,29.2,17,25,68.0,12,43,55,20,5,8,15,17,82,8,1,88
176,Atlanta Hawks,30,72,41.7,9,25,36.0,7,16,43.8,10,31,41,20,3,9,22,12,76,-13,0,89
177,Los Angeles Clippers,38,82,46.3,5,15,33.3,8,8,100,8,30,38,21,12,6,13,22,89,13,1,89
178,Miami Heat,30,79,38.0,4,15,26.7,22,36,61.1,15,28,43,18,8,6,13,16,86,-18,0,90
179,Memphis Grizzlies,38,86,44.2,14,24,58.3,14,16,87.5,11,32,43,26,8,4,14,22,104,18,1,90
180,Cleveland Cavaliers,34,83,41.0,7,23,30.4,16,23,69.6,10,26,36,19,11,0,12,19,91,-15,0,91
181,Oklahoma City Thunder,40,73,54.8,7,15,46.7,19,22,86.4,4,37,41,20,7,10,21,22,106,15,1,91
182,Sacramento Kings,36,90,40.0,7,23,30.4,11,14,78.6,14,25,39,20,10,5,11,24,90,-13,0,92
183,Los Angeles Lakers,36,81,44.4,8,25,32.0,23,30,76.7,18,32,50,23,6,7,17,13,103,13,1,92
184,Utah Jazz,46,93,49.5,14,26,53.8,34,43,79.1,11,35,46,30,10,11,18,26,140,7,0,93
185,Toronto Raptors,51,108,47.2,8,24,33.3,23,30,76.7,20,32,52,31,13,5,17,31,133,-7,1,93
186,Milwaukee Bucks,41,80,51.2,7,20,35.0,16,18,88.9,6,42,48,25,8,7,23,19,105,9,0,94
187,Philadelphia 76ers,37,85,43.5,10,24,41.7,12,16,75.0,4,27,31,22,13,3,15,14,96,-9,1,94
188,Oklahoma City Thunder,27,73,37.0,1,10,10.0,37,42,88.1,9,35,44,10,7,12,14,20,92,2,0,95
189,Detroit Pistons,33,83,39.8,6,17,35.3,18,27,66.7,13,26,39,22,8,7,11,28,90,-2,1,95
190,Boston Celtics,41,81,50.6,3,16,18.8,16,16,100,6,28,34,28,9,5,8,24,101,6,0,96
191,Chicago Bulls,34,74,45.9,3,9,33.3,24,31,77.4,8,32,40,24,6,1,13,15,95,-6,1,96
192,Miami Heat,45,89,50.6,10,21,47.6,13,20,65.0,13,31,44,26,4,4,11,24,113,3,0,97
193,Houston Rockets,36,80,45.0,12,34,35.3,26,33,78.8,11,29,40,25,5,6,11,20,110,-3,1,97
194,Minnesota Timberwolves,30,65,46.2,4,15,26.7,26,32,81.3,7,42,49,20,8,7,17,22,90,8,0,98
195,Dallas Mavericks,29,80,36.2,4,16,25.0,20,25,80.0,7,28,35,16,7,2,8,20,82,-8,1,98
196,Denver Nuggets,41,76,53.9,7,16,43.8,11,18,61.1,9,34,43,26,2,10,15,21,100,-10,0,99
197,Phoenix Suns,43,94,45.7,7,12,58.3,17,21,81.0,15,25,40,29,6,4,6,19,110,10,1,99
198,Atlanta Hawks,35,79,44.3,7,18,38.9,18,22,81.8,6,35,41,20,14,4,16,22,95,8,0,100
199,Portland Trail Blazers,30,83,36.1,6,23,26.1,21,26,80.8,16,31,47,15,13,6,20,19,87,-8,1,100
200,Washington Wizards,25,84,29.8,5,31,16.1,21,32,65.6,18,32,50,18,5,10,17,24,76,-16,0,101
201,Charlotte Bobcats,31,78,39.7,3,13,23.1,27,32,84.4,13,37,50,17,8,7,12,20,92,16,1,101
202,New York Knicks,41,84,48.8,9,24,37.5,8,11,72.7,6,25,31,15,11,1,9,14,99,10,0,102
203,Orlando Magic,37,75,49.3,5,14,35.7,10,17,58.8,9,33,42,28,7,5,20,9,89,-10,1,102
204,Toronto Raptors,26,72,36.1,6,12,50.0,16,19,84.2,8,37,45,13,4,1,12,23,74,2,0,103
205,Indiana Pacers,24,75,32.0,5,15,33.3,19,25,76.0,14,35,49,14,8,7,12,16,72,-2,1,103
206,Cleveland Cavaliers,38,87,43.7,3,14,21.4,22,26,84.6,16,19,35,16,10,0,12,26,101,-13,0,104
207,Brooklyn Nets,42,77,54.5,5,22,22.7,25,31,80.6,12,27,39,27,5,10,13,23,114,13,1,104
208,Portland Trail Blazers,35,72,48.6,14,27,51.9,19,22,86.4,11,33,44,20,9,5,15,18,103,17,0,105
209,Sacramento Kings,36,77,46.8,1,11,9.1,13,19,68.4,10,23,33,19,7,4,13,20,86,-17,1,105
210,San Antonio Spurs,35,90,38.9,7,20,35.0,7,11,63.6,11,27,38,22,13,5,8,17,84,2,0,106
211,Los Angeles Lakers,31,74,41.9,6,20,30.0,14,22,63.6,13,35,48,18,5,9,17,14,82,-2,1,106
212,Detroit Pistons,35,73,47.9,3,7,42.9,21,31,67.7,12,45,57,27,3,7,17,25,94,18,0,107
213,Philadelphia 76ers,25,84,29.8,5,16,31.3,21,32,65.6,11,27,38,15,10,4,4,21,76,-18,1,107
214,Utah Jazz,33,82,40.2,7,15,46.7,20,28,71.4,18,30,48,18,3,6,12,19,93,-5,0,108
215,Boston Celtics,36,72,50.0,4,10,40.0,22,29,75.9,4,29,33,24,8,4,9,17,98,5,1,108
216,Indiana Pacers,30,80,37.5,5,20,25.0,20,31,64.5,16,37,53,19,3,4,19,18,85,-14,0,109
217,Milwaukee Bucks,38,91,41.8,3,16,18.8,20,25,80.0,14,32,46,24,11,8,6,22,99,14,1,109
218,New Orleans Hornets,34,84,40.5,8,24,33.3,20,21,95.2,9,29,38,17,6,8,10,16,96,-4,0,110
219,Houston Rockets,36,80,45.0,10,29,34.5,18,22,81.8,7,33,40,19,3,7,11,17,100,4,1,110
220,Memphis Grizzlies,44,93,47.3,7,17,41.2,12,14,85.7,12,27,39,22,6,3,8,23,107,10,0,111
221,Oklahoma City Thunder,35,72,48.6,6,13,46.2,21,26,80.8,10,30,40,23,6,6,15,19,97,-10,1,111
222,Charlotte Bobcats,38,84,45.2,4,16,25.0,9,14,64.3,9,34,43,15,11,12,15,26,89,2,0,112
223,Minnesota Timberwolves,31,81,38.3,5,19,26.3,20,37,54.1,19,34,53,20,7,11,17,14,87,-2,1,112
224,Washington Wizards,39,81,48.1,13,27,48.1,10,11,90.9,9,25,34,24,8,4,16,24,101,-6,0,113
225,Dallas Mavericks,39,78,50.0,3,11,27.3,26,33,78.8,14,26,40,20,6,4,13,15,107,6,1,113
226,Chicago Bulls,44,88,50.0,6,12,50.0,18,25,72.0,15,31,46,26,7,5,15,21,112,6,0,114
227,Phoenix Suns,42,105,40.0,6,21,28.6,16,17,94.1,20,31,51,19,6,6,12,27,106,-6,1,114
228,Miami Heat,35,77,45.5,9,21,42.9,21,29,72.4,11,25,36,22,11,6,19,25,100,-7,0,115
