,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
0,New York Knicks,32,87,36.8,9,27,33.3,15,20,75.0,13,29,42,17,6,6,18,22,88,-29,0,0
1,Cleveland Cavaliers,45,94,47.9,13,35,37.1,14,19,73.7,11,40,51,31,12,5,14,22,117,29,1,0
2,Utah Jazz,40,82,48.8,8,24,33.3,16,16,100,6,25,31,19,9,5,11,19,104,-9,0,1
3,Portland Trail Blazers,39,75,52.0,13,19,68.4,22,22,100,5,29,34,22,5,3,12,18,113,9,1,1
4,San Antonio Spurs,47,98,48.0,12,24,50.0,23,26,88.5,21,34,55,25,13,3,13,19,129,29,0,2
5,Golden State Warriors,40,85,47.1,7,33,21.2,13,18,72.2,8,27,35,24,11,6,16,19,100,-29,1,2
6,Miami Heat,47,97,48.5,4,16,25.0,10,16,62.5,16,36,52,27,5,7,10,22,108,12,0,3
7,Orlando Magic,34,89,38.2,6,18,33.3,22,28,78.6,15,30,45,20,5,4,11,15,96,-12,1,3
8,Dallas Mavericks,45,104,43.3,18,48,37.5,13,18,72.2,10,39,49,26,8,8,15,27,121,-9,0,4
9,Indiana Pacers,47,93,50.5,10,19,52.6,26,34,76.5,8,44,52,30,11,6,16,23,130,9,1,4
10,Brooklyn Nets,43,97,44.3,15,44,34.1,16,20,80.0,15,29,44,22,8,3,16,19,117,-5,0,5
11,Boston Celtics,48,89,53.9,11,32,34.4,15,18,83.3,12,35,47,36,13,9,19,20,122,5,1,5
12,Detroit Pistons,35,84,41.7,4,22,18.2,17,22,77.3,8,32,40,17,8,0,13,24,91,-18,0,6
13,Toronto Raptors,41,86,47.7,3,18,16.7,24,29,82.8,14,37,51,17,8,0,11,22,109,18,1,6
14,Charlotte Hornets,40,89,44.9,7,23,30.4,20,24,83.3,11,40,51,27,5,10,10,22,107,11,0,7
15,Milwaukee Bucks,39,92,42.4,3,16,18.8,15,20,75.0,10,36,46,23,4,5,8,22,96,-11,1,7
16,Minnesota Timberwolves,36,86,41.9,6,18,33.3,20,29,69.0,15,30,45,20,6,5,10,23,98,-4,0,8
17,Memphis Grizzlies,36,80,45.0,11,24,45.8,19,27,70.4,11,34,45,19,6,11,13,25,102,4,1,8
18,Denver Nuggets,37,83,44.6,8,24,33.3,25,33,75.8,11,47,58,18,7,4,24,22,107,5,0,9
19,New Orleans Pelicans,38,92,41.3,3,19,15.8,23,26,88.5,5,28,33,31,16,5,11,29,102,-5,1,9
20,Oklahoma City Thunder,39,94,41.5,6,22,27.3,19,26,73.1,13,40,53,19,7,3,10,23,103,6,0,10
21,Philadelphia 76ers,36,84,42.9,7,24,29.2,18,25,72.0,5,38,43,21,5,10,13,22,97,-6,1,10
22,Sacramento Kings,44,86,51.2,6,21,28.6,19,26,73.1,10,31,41,24,5,5,13,20,113,19,0,11
23,Phoenix Suns,36,77,46.8,4,16,25.0,18,27,66.7,10,31,41,20,6,3,18,29,94,-19,1,11
24,Houston Rockets,44,86,51.2,7,29,24.1,19,27,70.4,10,29,39,29,10,1,14,23,114,-6,0,12
25,Los Angeles Lakers,45,89,50.6,12,35,34.3,18,22,81.8,11,28,39,21,10,4,15,24,120,6,1,12
26,Washington Wizards,40,94,42.6,6,20,30.0,13,18,72.2,12,28,40,25,14,4,19,20,99,-15,0,13
27,Atlanta Hawks,44,88,50.0,12,26,46.2,14,18,77.8,14,38,52,28,13,7,21,19,114,15,1,13
28,Boston Celtics,38,76,50.0,8,23,34.8,15,24,62.5,3,33,36,22,6,6,11,25,99,-6,0,14
29,Chicago Bulls,36,92,39.1,11,25,44.0,22,30,73.3,18,37,55,25,5,1,12,21,105,6,1,14
30,San Antonio Spurs,36,79,45.6,6,18,33.3,24,27,88.9,9,31,40,23,10,8,9,26,102,8,0,15
31,Sacramento Kings,28,70,40.0,6,20,30.0,32,38,84.2,6,34,40,22,7,0,15,21,94,-8,1,15
32,LA Clippers,37,91,40.7,8,29,27.6,32,46,69.6,15,33,48,12,10,4,7,25,114,8,0,16
33,Portland Trail Blazers,39,85,45.9,4,18,22.2,24,32,75.0,9,39,48,18,4,4,14,34,106,-8,1,16
34,Cleveland Cavaliers,33,79,41.8,12,32,37.5,16,22,72.7,9,31,40,20,8,3,17,15,94,3,0,17
35,Toronto Raptors,35,90,38.9,4,16,25.0,17,18,94.4,18,33,51,12,9,3,18,20,91,-3,1,17
36,Indiana Pacers,37,98,37.8,7,24,29.2,13,20,65.0,14,35,49,22,7,6,13,22,94,-9,0,18
37,Brooklyn Nets,38,87,43.7,10,33,30.3,17,20,85.0,12,40,52,20,6,4,16,23,103,9,1,18
38,Orlando Magic,33,95,34.7,8,26,30.8,8,12,66.7,14,30,44,20,8,3,9,13,82,-26,0,19
39,Detroit Pistons,48,95,50.5,7,19,36.8,5,6,83.3,9,44,53,27,8,4,12,11,108,26,1,19
40,Phoenix Suns,42,94,44.7,5,28,17.9,21,32,65.6,7,37,44,15,11,3,15,29,110,-3,0,20
41,Oklahoma City Thunder,40,96,41.7,5,21,23.8,28,38,73.7,14,43,57,13,11,3,22,24,113,3,1,20
42,Charlotte Hornets,35,92,38.0,7,22,31.8,20,24,83.3,13,36,49,20,10,9,8,20,97,6,0,21
43,Miami Heat,32,86,37.2,14,34,41.2,13,20,65.0,11,41,52,19,2,4,19,23,91,-6,1,21
44,Houston Rockets,33,70,47.1,15,32,46.9,25,31,80.6,5,36,41,21,6,1,18,22,106,8,0,22
45,Dallas Mavericks,35,80,43.8,8,29,27.6,20,24,83.3,6,28,34,13,11,2,9,21,98,-8,1,22
46,Los Angeles Lakers,32,84,38.1,9,23,39.1,16,21,76.2,11,32,43,16,6,7,14,29,89,-7,0,23
47,Utah Jazz,31,75,41.3,6,25,24.0,28,40,70.0,13,34,47,14,4,7,14,18,96,7,1,23
48,Golden State Warriors,44,91,48.4,9,28,32.1,25,28,89.3,9,40,49,32,8,2,14,22,122,8,0,24
49,New Orleans Pelicans,47,100,47.0,5,22,22.7,15,23,65.2,12,37,49,29,8,5,13,24,114,-8,1,24
