,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
638,New Orleans Pelicans,42,87,48.3,15,30,50,9,15,60,6,36,42,28,4,7,10,20,108,-6,0,7
639,Utah Jazz,42,85,49.4,12,30,40,18,25,72,8,38,46,25,7,3,7,15,114,6,1,7
640,Phoenix Suns,48,101,47.5,7,24,29.2,8,11,72.7,16,31,47,24,8,1,10,19,111,-5,0,0
641,Boston Celtics,42,80,52.5,14,31,45.2,18,23,78.3,4,27,31,32,8,6,9,16,116,5,1,0
642,LA Clippers,30,86,34.9,6,22,27.3,16,23,69.6,11,27,38,16,8,6,10,20,82,-26,0,1
643,Dallas Mavericks,36,79,45.6,16,35,45.7,20,26,76.9,15,39,54,24,4,7,15,20,108,26,1,1
644,Atlanta Hawks,47,99,47.5,10,27,37,10,14,71.4,13,34,47,18,12,5,8,19,114,12,0,2
645,Brooklyn Nets,34,82,41.5,17,42,40.5,17,21,81,12,34,46,26,1,8,19,18,102,-12,1,2
646,Memphis Grizzlies,43,84,51.2,13,23,56.5,12,14,85.7,6,30,36,31,6,4,12,19,111,-5,0,3
647,Cleveland Cavaliers,42,75,56,11,24,45.8,21,23,91.3,1,30,31,24,8,7,10,14,116,5,1,3
648,Detroit Pistons,34,78,43.6,9,31,29,26,32,81.3,7,29,36,20,8,2,16,27,103,-5,0,4
649,Philadelphia 76ers,35,86,40.7,10,28,35.7,28,32,87.5,17,30,47,27,7,4,17,24,108,5,1,4
650,Sacramento Kings,37,77,48.1,11,24,45.8,19,21,90.5,6,27,33,20,7,1,15,28,104,-5,0,5
651,Milwaukee Bucks,34,69,49.3,6,19,31.6,35,42,83.3,9,27,36,20,9,6,15,18,109,5,1,5
652,Los Angeles Lakers,38,86,44.2,9,30,30,15,21,71.4,17,35,52,21,5,2,21,24,100,-15,0,6
653,Denver Nuggets,40,87,46,12,31,38.7,23,28,82.1,9,30,39,26,8,6,12,19,115,15,1,6
654,New Orleans Pelicans,45,86,52.3,15,31,48.4,18,25,72,4,44,48,22,2,3,10,16,123,7,0,7
655,Portland Trail Blazers,47,105,44.8,11,35,31.4,11,11,100,9,35,44,20,6,3,4,17,116,-7,1,7
656,Orlando Magic,37,82,45.1,6,28,21.4,25,29,86.2,8,34,42,19,8,3,10,11,105,5,0,0
657,New York Knicks,43,93,46.2,5,15,33.3,9,10,90,10,35,45,18,4,4,14,24,100,-5,1,0
658,Golden State Warriors,47,84,56,11,30,36.7,18,24,75,7,34,41,32,4,4,9,14,123,28,0,1
659,Miami Heat,33,81,40.7,14,37,37.8,15,17,88.2,5,23,28,17,5,4,11,15,95,-28,1,1
660,LA Clippers,37,73,50.7,15,34,44.1,17,22,77.3,8,29,37,21,3,7,16,26,106,-6,0,2
661,Minnesota Timberwolves,38,88,43.2,8,26,30.8,28,31,90.3,14,28,42,22,9,1,7,16,112,6,1,2
662,San Antonio Spurs,31,76,40.8,8,28,28.6,17,23,73.9,8,31,39,14,11,9,17,24,87,-3,0,3
663,Oklahoma City Thunder,37,87,42.5,6,22,27.3,10,21,47.6,15,32,47,21,8,2,20,19,90,3,1,3
664,Houston Rockets,45,90,50,14,37,37.8,14,17,82.4,7,36,43,17,10,4,15,23,118,23,0,4
665,Los Angeles Lakers,32,84,38.1,9,28,32.1,22,30,73.3,11,34,45,16,9,6,20,22,95,-23,1,4
666,Orlando Magic,36,82,43.9,10,32,31.3,12,14,85.7,5,35,40,24,5,5,20,30,94,-10,0,0
667,Charlotte Hornets,34,84,40.5,3,17,17.6,33,40,82.5,11,41,52,17,13,5,14,18,104,10,1,0
668,New York Knicks,40,91,44,6,23,26.1,11,16,68.8,15,28,43,26,4,2,17,15,97,-18,0,1
669,Indiana Pacers,46,86,53.5,11,26,42.3,12,15,80,7,37,44,28,10,5,16,20,115,18,1,1
670,Phoenix Suns,44,91,48.4,10,22,45.5,17,22,77.3,15,31,46,25,10,9,11,14,115,14,0,2
671,Philadelphia 76ers,39,91,42.9,7,30,23.3,16,16,100,13,34,47,23,9,6,14,22,101,-14,1,2
672,Brooklyn Nets,41,85,48.2,15,36,41.7,13,15,86.7,12,40,52,29,7,6,22,28,110,20,0,3
673,Atlanta Hawks,30,82,36.6,9,30,30,21,27,77.8,9,29,38,18,9,2,18,19,90,-20,1,3
674,Milwaukee Bucks,35,78,44.9,9,21,42.9,21,24,87.5,3,25,28,17,6,2,9,17,100,-11,0,4
675,Boston Celtics,43,78,55.1,10,22,45.5,15,19,78.9,8,37,45,25,5,3,14,20,111,11,1,4
676,Cleveland Cavaliers,42,81,51.9,13,36,36.1,16,17,94.1,5,41,46,22,6,2,7,13,113,22,0,5
677,Chicago Bulls,34,82,41.5,9,34,26.5,14,18,77.8,10,33,43,21,4,5,11,16,91,-22,1,5
678,Minnesota Timberwolves,35,79,44.3,4,17,23.5,18,19,94.7,7,27,34,17,9,2,9,16,92,-3,0,6
679,Memphis Grizzlies,34,72,47.2,6,21,28.6,21,24,87.5,6,35,41,22,6,8,16,22,95,3,1,6
680,Golden State Warriors,45,87,51.7,16,33,48.5,19,27,70.4,5,35,40,36,14,5,16,17,125,10,0,7
681,New Orleans Pelicans,45,91,49.5,16,39,41,9,15,60,11,36,47,33,11,4,21,26,115,-10,1,7
682,Denver Nuggets,38,91,41.8,14,36,38.9,15,23,65.2,15,34,49,25,5,5,7,19,105,-17,0,8
683,Dallas Mavericks,49,86,57,12,26,46.2,12,17,70.6,5,37,42,26,4,6,7,18,122,17,1,8
684,Detroit Pistons,35,85,41.2,8,27,29.6,15,24,62.5,7,35,42,15,8,2,10,22,93,-3,0,9
685,San Antonio Spurs,35,82,42.7,14,31,45.2,12,12,100,10,41,51,30,2,7,16,20,96,3,1,9
686,Washington Wizards,23,80,28.7,4,20,20,19,23,82.6,12,19,31,9,8,2,13,21,69,-47,0,10
687,Utah Jazz,43,76,56.6,16,34,47.1,14,18,77.8,10,42,52,29,9,3,16,20,116,47,1,10
688,Phoenix Suns,37,75,49.3,9,24,37.5,30,38,78.9,0,35,35,23,7,4,17,24,113,-13,0,0
689,Toronto Raptors,44,92,47.8,15,36,41.7,23,26,88.5,8,34,42,30,13,4,15,28,126,13,1,0
690,Utah Jazz,34,79,43,11,33,33.3,15,21,71.4,9,26,35,18,16,5,16,21,94,-6,0,1
691,Oklahoma City Thunder,39,81,48.1,4,18,22.2,18,26,69.2,12,34,46,18,11,6,18,18,100,6,1,1
692,Washington Wizards,42,89,47.2,11,25,44,11,14,78.6,11,33,44,20,16,6,9,22,106,14,0,2
693,Portland Trail Blazers,32,78,41,12,27,44.4,16,21,76.2,7,34,41,18,2,5,18,20,92,-14,1,2
694,Sacramento Kings,39,86,45.3,10,32,31.3,7,13,53.8,9,36,45,25,15,5,12,20,95,-6,0,0
695,Cleveland Cavaliers,37,78,47.4,14,39,35.9,13,21,61.9,7,36,43,28,5,3,15,10,101,6,1,0
696,Chicago Bulls,39,83,47,10,26,38.5,8,16,50,11,35,46,18,3,5,16,15,96,-2,0,1
697,Indiana Pacers,39,87,44.8,12,34,35.3,8,10,80,7,32,39,21,7,5,13,14,98,2,1,1
698,Atlanta Hawks,40,93,43,11,27,40.7,15,20,75,11,38,49,25,7,3,17,16,106,-4,0,2
699,Orlando Magic,46,98,46.9,6,28,21.4,12,18,66.7,13,39,52,17,9,7,16,23,110,4,1,2
700,Dallas Mavericks,34,86,39.5,9,28,32.1,13,17,76.5,6,39,45,19,7,5,9,12,90,-7,0,3
701,Boston Celtics,36,87,41.4,12,34,35.3,13,17,76.5,9,44,53,25,8,8,11,15,97,7,1,3
702,Memphis Grizzlies,29,70,41.4,12,28,42.9,18,22,81.8,4,23,27,14,8,5,15,24,88,-11,0,4
703,New York Knicks,35,67,52.2,9,14,64.3,20,27,74.1,10,32,42,22,8,3,17,21,99,11,1,4
704,Golden State Warriors,40,84,47.6,11,30,36.7,10,13,76.9,8,39,47,26,8,12,15,20,101,14,0,5
705,Charlotte Hornets,34,97,35.1,6,19,31.6,13,17,76.5,14,35,49,17,5,3,12,13,87,-14,1,5
706,Detroit Pistons,36,87,41.4,10,30,33.3,18,27,66.7,17,29,46,20,5,0,11,20,100,-4,0,6
707,Milwaukee Bucks,39,79,49.4,8,22,36.4,18,26,69.2,13,28,41,22,7,5,12,21,104,4,1,6
708,Denver Nuggets,41,94,43.6,16,35,45.7,16,22,72.7,10,30,40,22,7,4,9,21,114,-9,0,7
709,New Orleans Pelicans,46,86,53.5,12,31,38.7,19,29,65.5,11,38,49,28,4,5,11,19,123,9,1,7
710,Miami Heat,39,72,54.2,18,34,52.9,9,12,75,6,23,29,28,7,4,18,16,105,-12,0,8
711,San Antonio Spurs,46,87,52.9,13,25,52,12,14,85.7,10,24,34,30,6,7,11,13,117,12,1,8
712,Minnesota Timberwolves,45,82,54.9,7,19,36.8,16,21,76.2,8,38,46,29,4,7,15,17,113,6,0,9
713,LA Clippers,44,99,44.4,10,32,31.3,9,15,60,17,26,43,23,6,3,9,17,107,-6,1,9
714,Los Angeles Lakers,42,96,43.8,11,28,39.3,12,24,50,15,29,44,22,13,7,11,23,107,3,0,0
715,Philadelphia 76ers,39,81,48.1,10,26,38.5,16,21,76.2,7,37,44,29,3,13,18,26,104,-3,1,0
716,Washington Wizards,41,81,50.6,8,21,38.1,19,25,76,8,30,38,25,6,4,10,23,109,10,0,1
717,Phoenix Suns,36,78,46.2,7,23,30.4,20,28,71.4,10,32,42,22,5,5,13,21,99,-10,1,1
718,Oklahoma City Thunder,38,98,38.8,7,24,29.2,12,23,52.2,17,37,54,18,6,3,12,25,95,-5,0,2
719,Brooklyn Nets,35,80,43.8,11,37,29.7,19,30,63.3,7,42,49,24,3,7,13,21,100,5,1,2
720,Houston Rockets,38,81,46.9,18,42,42.9,18,24,75,8,38,46,22,10,5,17,25,112,11,0,3
721,Utah Jazz,34,77,44.2,11,30,36.7,22,27,81.5,4,28,32,17,10,5,13,21,101,-11,1,3
722,Chicago Bulls,48,99,48.5,6,18,33.3,17,22,77.3,6,50,56,23,5,7,14,28,119,8,0,0
723,Charlotte Hornets,40,100,40,10,29,34.5,21,29,72.4,9,41,50,22,7,11,11,20,111,-8,1,0
724,Golden State Warriors,39,81,48.1,7,26,26.9,17,22,77.3,5,40,45,29,5,15,14,19,102,4,0,1
725,Detroit Pistons,38,92,41.3,12,27,44.4,10,19,52.6,15,34,49,20,8,2,11,17,98,-4,1,1
726,Cleveland Cavaliers,37,85,43.5,11,36,30.6,17,22,77.3,9,35,44,23,4,4,11,23,102,-4,0,2
727,Indiana Pacers,38,86,44.2,15,39,38.5,15,24,62.5,12,37,49,21,7,3,8,19,106,4,1,2
728,Denver Nuggets,42,85,49.4,6,21,28.6,13,16,81.3,6,38,44,21,7,7,12,20,103,14,0,3
729,Orlando Magic,33,83,39.8,5,21,23.8,18,23,78.3,11,31,42,18,5,7,14,17,89,-14,1,3
730,Toronto Raptors,37,78,47.4,13,31,41.9,29,33,87.9,10,26,36,21,8,3,11,23,116,9,0,4
731,Memphis Grizzlies,41,82,50,9,27,33.3,16,22,72.7,11,24,35,24,8,3,16,25,107,-9,1,4
732,Dallas Mavericks,35,75,46.7,10,24,41.7,22,26,84.6,4,32,36,18,6,2,11,22,102,-7,0,5
733,Milwaukee Bucks,36,79,45.6,8,24,33.3,29,34,85.3,7,33,40,20,10,6,10,24,109,7,1,5
734,Sacramento Kings,47,97,48.5,13,30,43.3,9,14,64.3,11,35,46,21,12,4,17,21,116,7,0,6
735,New Orleans Pelicans,41,89,46.1,10,28,35.7,17,19,89.5,7,28,35,19,7,3,17,14,109,-7,1,6
736,Boston Celtics,38,83,45.8,11,38,28.9,15,17,88.2,11,28,39,14,10,0,14,22,102,-3,0,7
737,San Antonio Spurs,38,81,46.9,8,27,29.6,21,24,87.5,14,32,46,16,6,3,13,14,105,3,1,7
738,Washington Wizards,42,82,51.2,13,32,40.6,15,23,65.2,9,35,44,33,5,2,13,18,112,-1,0,0
739,LA Clippers,39,80,48.7,14,32,43.8,21,24,87.5,4,29,33,22,8,4,10,19,113,1,1,0
740,Miami Heat,42,90,46.7,8,27,29.6,9,14,64.3,8,36,44,15,6,8,5,17,101,12,0,1
741,Brooklyn Nets,33,81,40.7,7,27,25.9,16,19,84.2,8,35,43,16,3,3,12,17,89,-12,1,1
742,Los Angeles Lakers,43,85,50.6,9,27,33.3,15,21,71.4,6,40,46,24,7,5,14,21,110,11,0,2
743,Charlotte Hornets,41,93,44.1,8,25,32,9,14,64.3,9,34,43,21,7,3,11,21,99,-11,1,2
744,Orlando Magic,45,92,48.9,13,34,38.2,7,8,87.5,10,29,39,39,7,2,12,24,110,-7,0,3
745,Atlanta Hawks,41,80,51.2,17,33,51.5,18,25,72,9,31,40,33,7,6,12,13,117,7,1,3
746,Philadelphia 76ers,37,78,47.4,11,33,33.3,13,13,100,7,32,39,31,10,2,19,21,98,-7,0,4
747,Cleveland Cavaliers,36,75,48,14,29,48.3,19,25,76,6,27,33,26,12,2,17,16,105,7,1,4
748,New York Knicks,43,91,47.3,7,24,29.2,9,9,100,8,32,40,25,6,3,14,17,102,-2,0,5
749,Chicago Bulls,42,82,51.2,7,25,28,13,23,56.5,8,32,40,28,10,7,14,19,104,2,1,5
750,Utah Jazz,33,76,43.4,8,23,34.8,26,37,70.3,9,26,35,20,7,3,16,23,100,-17,0,6
751,Milwaukee Bucks,44,81,54.3,7,17,41.2,22,26,84.6,8,33,41,22,8,6,11,29,117,17,1,6
752,Oklahoma City Thunder,36,92,39.1,12,34,35.3,18,31,58.1,17,30,47,18,7,5,10,21,102,1,0,7
753,Memphis Grizzlies,39,88,44.3,13,33,39.4,10,17,58.8,13,34,47,23,5,5,13,30,101,-1,1,7
754,San Antonio Spurs,40,87,46,6,19,31.6,18,25,72,18,34,52,18,5,6,15,23,104,3,0,8
755,Phoenix Suns,35,80,43.8,7,25,28,24,30,80,10,30,40,11,4,1,10,21,101,-3,1,8
756,Houston Rockets,40,75,53.3,10,25,40,34,42,81,7,28,35,14,13,2,12,17,124,7,0,9
757,Portland Trail Blazers,45,88,51.1,18,41,43.9,9,12,75,7,26,33,19,4,5,15,28,117,-7,1,9
758,Toronto Raptors,39,87,44.8,11,37,29.7,13,19,68.4,12,32,44,22,8,2,13,17,102,15,0,0
759,Sacramento Kings,35,73,47.9,10,23,43.5,7,14,50,7,35,42,15,7,6,21,17,87,-15,1,0
760,Boston Celtics,33,79,41.8,11,30,36.7,14,18,77.8,9,41,50,16,4,4,13,18,91,10,0,1
761,Detroit Pistons,28,84,33.3,10,33,30.3,15,19,78.9,11,35,46,14,7,4,9,16,81,-10,1,1
762,Denver Nuggets,43,95,45.3,17,42,40.5,13,16,81.3,19,28,47,24,7,5,21,20,116,-10,0,2
763,Indiana Pacers,49,93,52.7,10,25,40,18,22,81.8,11,29,40,24,6,2,11,17,126,10,1,2
764,Dallas Mavericks,37,81,45.7,11,31,35.5,7,9,77.8,6,27,33,23,6,5,10,22,92,-5,0,3
765,Minnesota Timberwolves,36,72,50,7,19,36.8,18,23,78.3,9,36,45,19,7,2,18,19,97,5,1,3
766,Philadelphia 76ers,44,96,45.8,9,29,31,27,30,90,22,25,47,26,5,4,17,29,124,-7,0,4
767,New Orleans Pelicans,46,80,57.5,15,24,62.5,24,32,75,5,28,33,31,11,9,14,21,131,7,1,4
768,Atlanta Hawks,37,77,48.1,9,31,29,24,30,80,6,29,35,22,5,4,15,28,107,-4,0,5
769,New York Knicks,39,80,48.7,5,17,29.4,28,34,82.4,6,27,33,16,9,4,12,30,111,4,1,5
770,Boston Celtics,33,83,39.8,10,40,25,9,14,64.3,11,35,46,22,2,2,15,19,85,-23,0,0
771,Chicago Bulls,39,81,48.1,12,29,41.4,18,25,72,10,36,46,23,9,3,8,18,108,23,1,0
772,New Orleans Pelicans,49,85,57.6,18,33,54.5,7,13,53.8,6,35,41,32,6,2,18,19,123,-7,0,1
773,Houston Rockets,48,88,54.5,17,45,37.8,17,25,68,4,32,36,30,12,7,9,15,130,7,1,1
774,Miami Heat,37,66,56.1,14,27,51.9,19,24,79.2,2,33,35,24,8,8,13,22,107,25,0,2
775,Memphis Grizzlies,28,72,38.9,8,27,29.6,18,27,66.7,6,25,31,17,6,1,14,22,82,-25,1,2
776,Charlotte Hornets,43,81,53.1,13,25,52,17,24,70.8,9,32,41,22,7,4,12,20,116,13,0,3
777,Oklahoma City Thunder,35,85,41.2,9,26,34.6,24,25,96,11,28,39,16,4,2,14,19,103,-13,1,3
778,Portland Trail Blazers,37,88,42,7,28,25,23,25,92,12,27,39,14,11,2,9,18,104,-7,0,4
779,Golden State Warriors,44,80,55,10,20,50,13,17,76.5,6,36,42,26,5,9,14,16,111,7,1,4
780,Toronto Raptors,32,80,40,7,29,24.1,20,26,76.9,3,40,43,18,8,6,13,22,91,-5,0,5
781,LA Clippers,34,92,37,8,36,22.2,20,24,83.3,14,43,57,18,6,7,12,20,96,5,1,5
782,Atlanta Hawks,43,92,46.7,16,36,44.4,12,13,92.3,10,27,37,26,8,4,10,17,114,-9,0,0
783,Cleveland Cavaliers,48,86,55.8,20,38,52.6,7,10,70,6,31,37,35,5,2,13,18,123,9,1,0
784,Denver Nuggets,40,79,50.6,10,30,33.3,13,14,92.9,6,38,44,27,8,3,17,15,103,19,0,1
785,Detroit Pistons,28,79,35.4,9,25,36,19,22,86.4,11,29,40,17,7,2,20,16,84,-19,1,1
786,Los Angeles Lakers,42,102,41.2,13,35,37.1,12,15,80,20,32,52,24,6,6,16,19,109,-4,0,2
787,New York Knicks,48,101,47.5,9,22,40.9,8,11,72.7,15,34,49,25,7,7,14,16,113,4,1,2
788,Washington Wizards,38,95,40,4,22,18.2,18,22,81.8,12,37,49,18,8,3,10,26,98,-5,0,3
789,Brooklyn Nets,34,84,40.5,10,43,23.3,25,33,75.8,9,44,53,26,4,6,14,21,103,5,1,3
790,San Antonio Spurs,35,87,40.2,7,28,25,12,19,63.2,10,39,49,20,4,5,10,11,89,-6,0,4
791,Dallas Mavericks,38,89,42.7,9,24,37.5,10,12,83.3,8,41,49,17,8,2,6,19,95,6,1,4
792,Philadelphia 76ers,40,80,50,11,26,42.3,27,32,84.4,7,45,52,32,6,3,24,18,118,6,0,5
793,Minnesota Timberwolves,44,108,40.7,5,29,17.2,19,27,70.4,17,33,50,19,14,7,10,21,112,-6,1,5
794,Phoenix Suns,37,90,41.1,7,32,21.9,11,14,78.6,13,32,45,22,5,4,12,18,92,-7,0,6
795,Sacramento Kings,38,89,42.7,7,22,31.8,16,22,72.7,11,34,45,21,9,3,9,18,99,7,1,6
796,Oklahoma City Thunder,36,88,40.9,13,29,44.8,15,24,62.5,17,35,52,26,10,6,13,12,100,5,0,0
797,Indiana Pacers,40,89,44.9,11,31,35.5,4,6,66.7,11,31,42,18,11,7,13,21,95,-5,1,0
798,LA Clippers,39,88,44.3,12,26,46.2,16,20,80,6,45,51,25,10,6,8,19,106,11,0,1
799,Orlando Magic,37,88,42,9,27,33.3,12,21,57.1,7,38,45,24,6,6,12,13,95,-11,1,1
800,Memphis Grizzlies,31,81,38.3,10,28,35.7,15,16,93.8,10,37,47,18,6,2,16,23,87,-6,0,2
801,Washington Wizards,36,77,46.8,9,22,40.9,12,24,50,6,38,44,21,7,8,15,22,93,6,1,2
802,Denver Nuggets,45,91,49.5,9,28,32.1,19,26,73.1,20,28,48,22,8,4,15,20,118,-6,0,3
803,Boston Celtics,47,79,59.5,11,25,44,19,24,79.2,4,26,30,29,10,7,13,20,124,6,1,3
804,Portland Trail Blazers,36,72,50,10,28,35.7,20,23,87,5,28,33,14,7,2,11,21,102,7,0,4
805,Miami Heat,34,72,47.2,13,30,43.3,14,23,60.9,10,26,36,19,6,1,15,21,95,-7,1,4
806,Utah Jazz,42,91,46.2,9,30,30,7,7,100,5,43,48,24,3,8,16,19,100,-3,0,5
807,Chicago Bulls,41,93,44.1,7,17,41.2,14,21,66.7,9,37,46,21,9,3,9,14,103,3,1,5
808,Milwaukee Bucks,44,95,46.3,8,27,29.6,12,19,63.2,15,23,38,23,14,5,9,13,108,-7,0,6
809,New Orleans Pelicans,45,80,56.3,13,25,52,12,15,80,9,32,41,35,5,8,21,16,115,7,1,6
810,Toronto Raptors,40,92,43.5,9,26,34.6,26,31,83.9,8,37,45,16,7,3,6,25,115,6,0,7
811,Phoenix Suns,37,83,44.6,8,24,33.3,27,34,79.4,10,31,41,20,3,9,11,24,109,-6,1,7
812,Charlotte Hornets,36,87,41.4,4,21,19,20,27,74.1,12,44,56,14,4,5,12,15,96,-12,0,8
813,Houston Rockets,39,88,44.3,17,45,37.8,13,19,68.4,6,39,45,24,7,5,10,18,108,12,1,8
814,Detroit Pistons,41,90,45.6,13,30,43.3,10,12,83.3,14,32,46,26,10,3,15,23,105,14,0,0
815,Atlanta Hawks,32,70,45.7,11,31,35.5,16,26,61.5,7,27,34,28,6,6,16,12,91,-14,1,0
816,New York Knicks,41,89,46.1,10,20,50,19,22,86.4,12,28,40,23,11,4,13,23,111,7,0,1
817,Brooklyn Nets,37,83,44.6,12,42,28.6,18,23,78.3,11,32,43,21,10,4,17,21,104,-7,1,1
818,Los Angeles Lakers,47,95,49.5,9,31,29,9,14,64.3,16,33,49,33,7,3,18,20,112,-9,0,2
819,Cleveland Cavaliers,43,86,50,15,36,41.7,20,25,80,8,31,39,32,10,5,14,16,121,9,1,2
820,Sacramento Kings,36,87,41.4,14,33,42.4,10,12,83.3,15,27,42,24,4,2,14,21,96,-23,0,3
821,Minnesota Timberwolves,46,82,56.1,10,21,47.6,17,20,85,8,31,39,29,12,9,9,19,119,23,1,3
822,Dallas Mavericks,37,82,45.1,10,29,34.5,13,17,76.5,8,23,31,25,7,1,11,16,97,-15,0,4
823,Golden State Warriors,47,78,60.3,11,22,50,7,9,77.8,4,37,41,35,7,4,16,22,112,15,1,4
824,Miami Heat,39,78,50,11,31,35.5,15,17,88.2,5,35,40,25,10,8,16,23,104,6,0,0
825,Charlotte Hornets,34,83,41,10,27,37,20,27,74.1,11,31,42,21,7,1,16,14,98,-6,1,0
826,Detroit Pistons,39,93,41.9,13,32,40.6,13,17,76.5,11,33,44,22,7,10,9,22,104,6,0,1
827,Indiana Pacers,35,87,40.2,9,30,30,19,25,76,15,36,51,21,6,4,13,15,98,-6,1,1
828,Portland Trail Blazers,37,86,43,8,18,44.4,13,15,86.7,6,39,45,18,7,9,14,20,95,7,0,2
829,Orlando Magic,32,84,38.1,10,29,34.5,14,19,73.7,8,37,45,15,7,3,15,18,88,-7,1,2
830,Oklahoma City Thunder,47,113,41.6,15,35,42.9,10,19,52.6,18,42,60,28,10,5,18,21,119,2,0,3
831,Philadelphia 76ers,44,100,44,13,46,28.3,16,20,80,7,43,50,35,13,4,19,20,117,-2,1,3
832,LA Clippers,33,86,38.4,7,24,29.2,18,29,62.1,12,35,47,17,12,6,20,20,91,-9,0,4
833,Washington Wizards,39,88,44.3,7,31,22.6,15,23,65.2,11,39,50,21,12,7,19,26,100,9,1,4
834,Utah Jazz,40,83,48.2,13,25,52,14,18,77.8,9,46,55,19,6,2,15,20,107,12,0,5
835,Boston Celtics,35,86,40.7,9,31,29,16,19,84.2,2,29,31,20,10,5,8,18,95,-12,1,5
836,Brooklyn Nets,32,76,42.1,7,23,30.4,16,19,84.2,6,31,37,15,4,1,22,14,87,-33,0,6
837,Toronto Raptors,54,97,55.7,7,28,25,5,9,55.6,11,34,45,26,11,5,8,16,120,33,1,6
838,Atlanta Hawks,34,77,44.2,12,31,38.7,14,16,87.5,7,28,35,27,12,5,17,19,94,-2,0,7
839,Memphis Grizzlies,36,78,46.2,12,25,48,12,17,70.6,10,33,43,21,12,6,21,24,96,2,1,7
840,Chicago Bulls,42,86,48.8,8,22,36.4,23,35,65.7,14,36,50,24,8,0,12,26,115,6,0,8
841,Milwaukee Bucks,40,83,48.2,9,33,27.3,20,29,69,9,34,43,24,6,5,11,24,109,-6,1,8
842,New Orleans Pelicans,43,91,47.3,15,34,44.1,10,14,71.4,7,35,42,27,8,8,19,15,111,-6,0,9
843,Denver Nuggets,46,100,46,16,36,44.4,9,14,64.3,11,37,48,30,12,4,15,17,117,6,1,9
844,San Antonio Spurs,46,94,48.9,10,26,38.5,7,13,53.8,12,27,39,22,10,5,17,17,109,-15,0,10
845,Houston Rockets,43,91,47.3,18,50,36,20,25,80,12,33,45,20,15,3,13,16,124,15,1,10
846,Portland Trail Blazers,37,79,46.8,10,24,41.7,9,18,50,5,42,47,19,2,3,20,21,93,2,0,0
847,Charlotte Hornets,33,96,34.4,7,31,22.6,18,28,64.3,13,38,51,18,9,3,6,21,91,-2,1,0
848,Utah Jazz,37,81,45.7,17,34,50,9,14,64.3,11,27,38,24,9,7,12,14,100,-9,0,1
849,Cleveland Cavaliers,42,79,53.2,10,22,45.5,15,17,88.2,8,33,41,30,9,1,12,15,109,9,1,1
850,Oklahoma City Thunder,36,85,42.4,12,27,44.4,12,20,60,16,26,42,18,9,7,14,22,96,-15,0,2
851,New York Knicks,38,69,55.1,14,23,60.9,21,26,80.8,6,29,35,21,9,3,13,22,111,15,1,2
852,LA Clippers,35,80,43.8,8,28,28.6,7,14,50,12,34,46,18,3,5,17,22,85,-5,0,3
853,Miami Heat,31,82,37.8,12,35,34.3,16,21,76.2,9,28,37,22,10,8,8,15,90,5,1,3
854,Milwaukee Bucks,38,82,46.3,8,27,29.6,27,33,81.8,8,32,40,17,12,7,14,34,111,-4,0,4
855,Houston Rockets,35,76,46.1,11,35,31.4,34,42,81,4,34,38,16,7,4,15,23,115,4,1,4
856,Phoenix Suns,33,72,45.8,11,24,45.8,31,35,88.6,13,39,52,22,4,3,23,21,108,2,0,5
857,Minnesota Timberwolves,40,95,42.1,9,27,33.3,17,24,70.8,10,21,31,21,14,8,6,19,106,-2,1,5
858,Dallas Mavericks,39,80,48.7,10,28,35.7,8,9,88.9,4,34,38,23,4,4,9,16,96,-2,0,6
859,San Antonio Spurs,39,86,45.3,5,25,20,15,18,83.3,9,32,41,14,5,2,7,14,98,2,1,6
860,Boston Celtics,39,80,48.7,14,30,46.7,10,14,71.4,14,28,42,21,6,6,16,19,102,9,0,7
861,Memphis Grizzlies,32,79,40.5,14,34,41.2,15,17,88.2,10,28,38,18,8,3,13,19,93,-9,1,7
862,Sacramento Kings,38,81,46.9,11,26,42.3,6,8,75,6,26,32,25,9,9,15,19,93,-15,0,0
863,Toronto Raptors,36,85,42.4,13,30,43.3,23,28,82.1,12,34,46,20,8,9,12,13,108,15,1,0
864,Orlando Magic,41,85,48.2,17,33,51.5,11,17,64.7,8,32,40,27,6,4,16,16,110,-4,0,1
865,Detroit Pistons,42,89,47.2,17,34,50,13,16,81.3,7,32,39,27,11,3,13,17,114,4,1,1
866,Indiana Pacers,43,76,56.6,8,18,44.4,15,19,78.9,6,37,43,21,6,7,15,20,109,12,0,2
867,Brooklyn Nets,34,81,42,12,33,36.4,17,21,81,7,22,29,26,7,2,9,17,97,-12,1,2
868,Cleveland Cavaliers,41,87,47.1,14,34,41.2,10,12,83.3,4,38,42,24,6,4,8,16,106,7,0,3
869,Washington Wizards,39,91,42.9,12,33,36.4,9,16,56.3,13,38,51,20,4,5,10,18,99,-7,1,3
870,New York Knicks,36,86,41.9,3,18,16.7,16,20,80,10,27,37,21,10,5,17,16,91,-18,0,0
871,Charlotte Hornets,43,88,48.9,9,20,45,14,16,87.5,12,35,47,30,10,6,19,16,109,18,1,0
872,Boston Celtics,44,79,55.7,16,26,61.5,8,14,57.1,6,32,38,26,6,4,19,31,112,1,0,1
873,Indiana Pacers,37,79,46.8,7,21,33.3,30,38,78.9,9,29,38,14,12,3,12,16,111,-1,1,1
