,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
367,Denver Nuggets,46,87,52.9,12,29,41.4,21,27,77.8,13,37,50,29,9,4,12,16,125,18,1,8
368,Minnesota Timberwolves,39,96,40.6,4,20,20,28,35,80,19,28,47,16,12,4,11,21,110,-8,0,9
369,Phoenix Suns,46,86,53.5,10,26,38.5,16,24,66.7,7,39,46,21,4,10,18,25,118,8,1,9
370,Brooklyn Nets,35,76,46.1,7,23,30.4,29,39,74.4,10,31,41,13,7,4,17,22,106,-8,0,10
371,Utah Jazz,41,85,48.2,11,29,37.9,21,25,84,12,32,44,19,12,3,16,29,114,8,1,10
372,Toronto Raptors,32,69,46.4,10,24,41.7,20,23,87,6,30,36,18,8,8,17,20,94,-1,0,0
373,Boston Celtics,35,87,40.2,10,26,38.5,15,19,78.9,15,31,46,24,9,2,14,18,95,1,1,0
374,Miami Heat,39,90,43.3,13,37,35.1,12,16,75,7,32,39,25,8,5,9,22,103,-9,0,1
375,Detroit Pistons,42,87,48.3,14,28,50,14,20,70,11,43,54,24,2,5,13,17,112,9,1,1
376,Houston Rockets,43,90,47.8,17,47,36.2,15,18,83.3,10,37,47,24,10,5,13,20,118,23,0,2
377,Indiana Pacers,37,83,44.6,8,22,36.4,13,21,61.9,7,34,41,18,5,7,13,15,95,-23,1,2
378,Dallas Mavericks,37,87,42.5,11,37,29.7,14,18,77.8,11,30,41,18,9,4,20,20,99,-13,0,3
379,Oklahoma City Thunder,36,72,50,15,32,46.9,25,33,75.8,3,34,37,21,10,4,15,23,112,13,1,3
380,Sacramento Kings,34,84,40.5,12,23,52.2,12,18,66.7,10,25,35,19,8,4,10,15,92,-18,0,0
381,Washington Wizards,44,86,51.2,11,34,32.4,11,12,91.7,10,40,50,30,7,1,11,21,110,18,1,0
382,Cleveland Cavaliers,35,88,39.8,16,45,35.6,18,22,81.8,14,34,48,21,7,7,20,21,104,3,0,1
383,New York Knicks,38,88,43.2,8,25,32,17,22,77.3,13,36,49,19,13,3,17,21,101,-3,1,1
384,Memphis Grizzlies,37,76,48.7,11,26,42.3,18,21,85.7,8,29,37,21,5,1,14,25,103,-7,0,2
385,Milwaukee Bucks,40,82,48.8,12,22,54.5,18,25,72,10,26,36,23,6,5,9,19,110,7,1,2
386,Atlanta Hawks,40,87,46,17,36,47.2,8,9,88.9,10,26,36,25,14,1,16,18,105,-1,0,3
387,New Orleans Pelicans,41,75,54.7,13,33,39.4,11,17,64.7,7,31,38,31,10,5,19,13,106,1,1,3
388,Los Angeles Lakers,39,92,42.4,14,33,42.4,8,13,61.5,9,44,53,17,6,6,16,20,100,7,0,4
389,Phoenix Suns,37,95,38.9,7,26,26.9,12,20,60,11,43,54,15,6,4,15,17,93,-7,1,4
390,Philadelphia 76ers,38,77,49.4,7,32,21.9,26,35,74.3,10,41,51,27,9,2,20,26,109,4,0,8
391,LA Clippers,36,82,43.9,12,32,37.5,21,32,65.6,9,25,34,16,8,4,15,26,105,-4,1,8
392,Boston Celtics,39,86,45.3,9,27,33.3,22,27,81.5,9,40,49,15,8,3,14,14,109,7,0,0
393,Brooklyn Nets,39,88,44.3,14,35,40,10,16,62.5,9,34,43,26,4,3,14,24,102,-7,1,0
394,Toronto Raptors,41,78,52.6,14,30,46.7,33,42,78.6,5,31,36,28,11,4,12,30,129,16,0,1
395,Houston Rockets,33,79,41.8,12,39,30.8,35,41,85.4,14,34,48,21,4,4,19,27,113,-16,1,1
396,San Antonio Spurs,35,79,44.3,6,26,23.1,21,27,77.8,8,39,47,18,9,7,12,16,97,6,0,2
397,Dallas Mavericks,33,81,40.7,10,34,29.4,15,18,83.3,5,35,40,18,7,4,15,23,91,-6,1,2
398,Sacramento Kings,31,88,35.2,6,28,21.4,12,20,60,11,18,29,18,12,2,12,19,80,-46,0,0
399,Atlanta Hawks,50,79,63.3,16,32,50,10,16,62.5,9,44,53,40,9,6,18,23,126,46,1,0
400,Washington Wizards,32,78,41,9,19,47.4,29,31,93.5,11,29,40,9,8,2,12,19,102,9,0,1
401,Miami Heat,32,78,41,13,30,43.3,16,19,84.2,12,30,42,15,3,3,17,20,93,-9,1,1
402,Utah Jazz,34,79,43,17,35,48.6,16,17,94.1,9,28,37,19,5,10,13,23,101,-5,0,2
403,New York Knicks,38,81,46.9,9,21,42.9,21,25,84,12,33,45,18,4,5,11,19,106,5,1,2
404,Cleveland Cavaliers,42,95,44.2,13,38,34.2,18,20,90,16,35,51,25,9,4,13,24,115,8,0,3
405,Charlotte Hornets,41,86,47.7,6,26,23.1,19,28,67.9,8,33,41,21,7,5,13,19,107,-8,1,3
406,Indiana Pacers,43,85,50.6,12,24,50,18,20,90,5,31,36,29,6,6,12,17,116,3,0,4
407,Memphis Grizzlies,44,86,51.2,8,32,25,17,22,77.3,11,32,43,29,5,10,14,19,113,-3,1,4
408,Detroit Pistons,30,85,35.3,15,37,40.5,20,23,87,17,28,45,23,7,3,16,20,95,-4,0,5
409,Milwaukee Bucks,38,78,48.7,8,22,36.4,15,20,75,11,32,43,24,10,16,15,19,99,4,1,5
410,San Antonio Spurs,33,79,41.8,7,24,29.2,13,15,86.7,13,32,45,20,4,4,16,18,86,-12,0,6
411,Minnesota Timberwolves,39,87,44.8,9,18,50,11,16,68.8,11,30,41,27,9,4,6,16,98,12,1,6
412,Toronto Raptors,45,76,59.2,16,34,47.1,19,20,95,6,31,37,27,8,6,21,20,125,9,0,7
413,New Orleans Pelicans,46,91,50.5,10,27,37,14,14,100,10,22,32,31,13,3,14,21,116,-9,1,7
414,Chicago Bulls,26,75,34.7,11,29,37.9,16,20,80,6,32,38,16,7,2,13,27,79,-13,0,8
415,Oklahoma City Thunder,26,72,36.1,8,30,26.7,32,37,86.5,11,37,48,15,7,2,13,19,92,13,1,8
416,Orlando Magic,37,79,46.8,11,29,37.9,9,9,100,7,34,41,19,6,4,15,16,94,-5,0,9
417,Portland Trail Blazers,38,87,43.7,14,27,51.9,9,13,69.2,10,31,41,21,7,2,12,10,99,5,1,9
418,Philadelphia 76ers,42,86,48.8,7,32,21.9,24,30,80,8,44,52,27,7,15,16,19,115,6,0,10
419,Los Angeles Lakers,42,109,38.5,3,27,11.1,22,27,81.5,22,35,57,18,7,6,9,23,109,-6,1,10
420,Golden State Warriors,33,82,40.2,10,32,31.3,12,19,63.2,7,40,47,22,9,10,15,24,88,-4,0,0
421,Boston Celtics,26,79,32.9,7,32,21.9,33,38,86.8,7,45,52,15,8,5,15,15,92,4,1,0
422,Houston Rockets,43,90,47.8,21,44,47.7,35,38,92.1,12,39,51,27,9,9,14,20,142,26,0,1
423,Phoenix Suns,47,104,45.2,10,30,33.3,12,21,57.1,16,31,47,28,9,5,14,22,116,-26,1,1
424,Detroit Pistons,39,93,41.9,14,33,42.4,8,10,80,11,32,43,20,4,8,11,18,100,-7,0,0
425,Indiana Pacers,39,89,43.8,15,28,53.6,14,21,66.7,13,38,51,22,4,5,10,13,107,7,1,0
426,Miami Heat,34,83,41,10,35,28.6,13,18,72.2,10,42,52,21,6,7,15,19,91,3,0,1
427,Washington Wizards,32,84,38.1,10,35,28.6,14,16,87.5,7,39,46,18,4,4,12,17,88,-3,1,1
428,Utah Jazz,39,79,49.4,12,26,46.2,17,24,70.8,10,29,39,21,6,6,16,19,107,-11,0,2
429,Brooklyn Nets,43,84,51.2,17,37,45.9,15,20,75,4,32,36,27,8,2,12,21,118,11,1,2
430,LA Clippers,46,103,44.7,10,35,28.6,11,14,78.6,13,42,55,29,7,10,15,26,113,-5,0,3
431,Cleveland Cavaliers,42,90,46.7,11,33,33.3,23,29,79.3,8,43,51,24,9,4,15,20,118,5,1,3
432,New York Knicks,30,91,33,9,23,39.1,15,17,88.2,14,29,43,17,7,4,9,12,84,-23,0,4
433,Toronto Raptors,44,78,56.4,9,26,34.6,10,11,90.9,3,37,40,29,4,11,12,19,107,23,1,4
434,Charlotte Hornets,42,81,51.9,10,21,47.6,26,34,76.5,5,37,42,19,3,2,12,15,120,-3,0,5
435,Chicago Bulls,47,91,51.6,17,34,50,12,13,92.3,4,31,35,26,9,2,11,23,123,3,1,5
436,Oklahoma City Thunder,39,89,43.8,9,23,39.1,14,21,66.7,13,28,41,24,7,3,8,22,101,-3,0,6
437,San Antonio Spurs,34,77,44.2,14,35,40,22,28,78.6,12,32,44,23,6,7,13,18,104,3,1,6
438,Minnesota Timberwolves,39,84,46.4,13,30,43.3,20,23,87,11,37,48,27,7,0,10,18,111,24,0,7
439,Dallas Mavericks,32,86,37.2,8,38,21.1,15,17,88.2,11,30,41,18,3,3,11,20,87,-24,1,7
440,Portland Trail Blazers,30,81,37,7,25,28,15,16,93.8,11,33,44,13,8,1,17,20,82,-4,0,8
441,Sacramento Kings,36,85,42.4,4,14,28.6,10,15,66.7,12,31,43,20,11,5,13,22,86,4,1,8
442,New Orleans Pelicans,48,91,52.7,12,33,36.4,6,10,60,8,21,29,32,2,0,13,19,114,-32,0,9
