,Unnamed: 0,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
579,579,Cleveland Cavaliers,34,75,45.3,9,18,50.0,35,44,79.5,6,26,32,23,8,7,12,23,112,-5,1,289
580,580,Philadelphia 76ers,41,92,44.6,6,18,33.3,18,18,100.0,13,34,47,23,6,4,8,16,106,14,0,290
581,581,New Jersey Nets,37,80,46.3,3,10,30.0,15,20,75.0,10,28,38,16,4,6,12,15,92,-14,1,290
582,582,Charlotte Bobcats,37,73,50.7,3,10,30.0,20,25,80.0,8,38,46,26,4,1,13,19,97,10,0,291
583,583,Detroit Pistons,34,78,43.6,7,19,36.8,12,17,70.6,6,24,30,23,7,8,10,21,87,-10,1,291
584,584,Dallas Mavericks,42,84,50.0,11,25,44.0,18,21,85.7,10,44,54,24,3,4,15,18,113,16,0,292
585,585,New York Knicks,37,88,42.0,6,23,26.1,17,20,85.0,5,29,34,20,12,6,8,14,97,-16,1,292
586,586,Memphis Grizzlies,43,88,48.9,6,13,46.2,10,11,90.9,10,37,47,27,12,7,17,15,102,18,0,293
587,587,Minnesota Timberwolves,37,85,43.5,5,19,26.3,5,10,50.0,10,28,38,22,7,7,17,14,84,-18,1,293
588,588,New Orleans Hornets,37,83,44.6,3,12,25.0,16,21,76.2,9,23,32,18,8,3,7,22,93,-11,0,294
589,589,Oklahoma City Thunder,36,68,52.9,10,24,41.7,22,30,73.3,8,36,44,22,3,10,14,21,104,11,1,294
590,590,Portland Trail Blazers,32,75,42.7,9,17,52.9,17,24,70.8,7,26,33,26,7,8,16,19,90,-19,0,295
591,591,Denver Nuggets,40,77,51.9,8,20,40.0,21,26,80.8,10,38,48,19,8,1,14,18,109,19,1,295
592,592,Milwaukee Bucks,28,90,31.1,5,23,21.7,16,20,80.0,14,25,39,13,12,3,7,16,77,-15,0,296
593,593,Phoenix Suns,36,72,50.0,3,13,23.1,17,23,73.9,10,44,54,20,4,11,15,20,92,15,1,296
594,594,Houston Rockets,34,76,44.7,11,22,50.0,18,25,72.0,12,27,39,20,6,4,10,22,97,1,0,297
595,595,Utah Jazz,39,86,45.3,1,11,9.1,17,23,73.9,17,27,44,18,8,8,11,23,96,-1,1,297
596,596,Chicago Bulls,40,78,51.3,12,26,46.2,14,20,70.0,11,30,41,27,6,5,11,23,106,18,0,298
597,597,Los Angeles Clippers,36,77,46.8,5,15,33.3,11,21,52.4,10,20,30,20,2,5,11,16,88,-18,1,298
598,598,Miami Heat,36,72,50.0,7,16,43.8,25,36,69.4,9,35,44,19,6,6,10,27,104,4,0,299
599,599,Orlando Magic,36,85,42.4,12,33,36.4,16,31,51.6,17,27,44,20,4,0,10,26,100,-4,1,299
600,600,Milwaukee Bucks,39,91,42.9,6,23,26.1,10,12,83.3,20,29,49,31,12,1,14,15,94,-6,0,300
601,601,Golden State Warriors,39,77,50.6,12,24,50.0,10,13,76.9,8,28,36,23,7,6,17,13,100,6,1,300
602,602,San Antonio Spurs,35,85,41.2,6,16,37.5,13,17,76.5,10,28,38,20,5,5,10,20,89,1,0,301
603,603,Los Angeles Lakers,34,80,42.5,2,14,14.3,18,22,81.8,12,32,44,24,6,5,10,16,88,-1,1,301
604,604,Miami Heat,43,78,55.1,9,19,47.4,14,19,73.7,9,27,36,24,12,3,8,25,109,12,0,302
605,605,Charlotte Bobcats,35,74,47.3,9,20,45.0,18,23,78.3,11,22,33,22,4,5,15,22,97,-12,1,302
606,606,Portland Trail Blazers,32,88,36.4,5,20,25.0,18,22,81.8,8,31,39,17,8,8,12,29,87,-13,0,303
607,607,Indiana Pacers,31,77,40.3,5,14,35.7,33,43,76.7,14,44,58,12,4,5,16,20,100,13,1,303
608,608,New York Knicks,35,87,40.2,8,27,29.6,20,26,76.9,14,34,48,17,4,5,13,16,98,-2,0,304
609,609,Philadelphia 76ers,39,83,47.0,5,13,38.5,17,18,94.4,7,34,41,25,6,9,13,19,100,2,1,304
610,610,Minnesota Timberwolves,35,85,41.2,12,30,40.0,18,22,81.8,13,26,39,18,8,4,15,17,100,-11,0,305
611,611,Toronto Raptors,46,84,54.8,3,11,27.3,16,18,88.9,9,32,41,35,11,6,15,22,111,11,1,305
612,612,Orlando Magic,42,92,45.7,12,31,38.7,14,23,60.9,17,37,54,24,10,2,12,15,110,18,0,306
613,613,Washington Wizards,38,84,45.2,3,10,30.0,13,15,86.7,7,33,40,22,6,8,14,20,92,-18,1,306
614,614,Los Angeles Clippers,38,75,50.7,6,18,33.3,18,28,64.3,11,33,44,22,6,5,15,15,100,-1,0,307
615,615,Atlanta Hawks,41,94,43.6,7,27,25.9,12,13,92.3,16,28,44,25,8,3,10,19,101,1,1,307
616,616,New Jersey Nets,34,77,44.2,4,16,25.0,10,14,71.4,11,23,34,21,4,5,11,18,82,-10,0,308
617,617,Detroit Pistons,40,83,48.2,3,10,30.0,9,18,50.0,14,26,40,18,6,7,7,15,92,10,1,308
618,618,Dallas Mavericks,39,79,49.4,8,17,47.1,15,17,88.2,10,23,33,22,5,3,14,16,101,4,0,309
619,619,Boston Celtics,40,79,50.6,6,17,35.3,11,16,68.8,10,24,34,21,7,6,14,18,97,-4,1,309
620,620,Cleveland Cavaliers,38,80,47.5,6,18,33.3,23,26,88.5,10,23,33,22,10,8,16,19,105,-7,0,310
621,621,Memphis Grizzlies,41,80,51.2,3,8,37.5,27,30,90.0,12,26,38,20,9,9,15,24,112,7,1,310
622,622,Oklahoma City Thunder,42,82,51.2,6,18,33.3,21,24,87.5,10,35,45,25,5,5,14,21,111,4,0,311
623,623,Phoenix Suns,39,85,45.9,13,33,39.4,16,23,69.6,11,27,38,19,9,3,12,19,107,-4,1,311
624,624,San Antonio Spurs,48,84,57.1,7,18,38.9,10,15,66.7,9,33,42,28,7,1,17,20,113,13,0,312
625,625,Sacramento Kings,40,92,43.5,2,12,16.7,18,24,75.0,15,28,43,19,8,0,13,17,100,-13,1,312
626,626,Utah Jazz,44,95,46.3,8,26,30.8,17,18,94.4,12,31,43,29,5,10,11,26,113,7,0,313
627,627,Denver Nuggets,35,80,43.8,4,20,20.0,32,36,88.9,11,31,42,18,8,4,13,22,106,-7,1,313
628,628,Dallas Mavericks,40,86,46.5,7,22,31.8,14,17,82.4,14,30,44,20,3,14,10,20,101,9,0,314
629,629,Charlotte Bobcats,33,89,37.1,5,21,23.8,21,24,87.5,15,25,40,16,6,8,7,17,92,-9,1,314
630,630,Atlanta Hawks,34,73,46.6,5,13,38.5,26,35,74.3,10,35,45,16,5,3,9,13,99,7,0,315
631,631,Washington Wizards,39,77,50.6,6,12,50.0,8,18,44.4,7,26,33,18,7,4,9,24,92,-7,1,315
632,632,Portland Trail Blazers,42,78,53.8,12,19,63.2,15,17,88.2,7,28,35,27,6,2,10,21,111,6,0,316
633,633,Cleveland Cavaliers,41,80,51.2,10,23,43.5,13,16,81.3,6,24,30,28,8,4,9,20,105,-6,1,316
634,634,Los Angeles Lakers,36,76,47.4,6,18,33.3,23,27,85.2,8,29,37,20,8,8,4,11,101,6,0,317
635,635,New Orleans Hornets,41,83,49.4,9,21,42.9,4,4,100.0,11,31,42,24,0,3,10,22,95,-6,1,317
636,636,Memphis Grizzlies,36,88,40.9,1,8,12.5,20,25,80.0,14,32,46,16,8,8,12,25,93,-2,0,318
637,637,Houston Rockets,34,86,39.5,5,19,26.3,22,25,88.0,14,37,51,17,5,8,13,22,95,2,1,318
638,638,Detroit Pistons,35,68,51.5,2,8,25.0,17,24,70.8,5,33,38,18,3,1,15,18,89,11,0,319
639,639,Milwaukee Bucks,31,79,39.2,4,17,23.5,12,13,92.3,9,27,36,16,6,4,13,23,78,-11,1,319
640,640,Denver Nuggets,43,79,54.4,11,27,40.7,16,22,72.7,5,41,46,30,4,2,15,22,113,13,0,320
641,641,Minnesota Timberwolves,37,95,38.9,7,27,25.9,19,26,73.1,14,31,45,23,6,5,8,20,100,-13,1,320
642,642,Chicago Bulls,38,80,47.5,8,25,32.0,6,13,46.2,9,30,39,28,4,2,16,16,90,-11,0,321
643,643,Golden State Warriors,38,79,48.1,6,18,33.3,19,23,82.6,5,30,35,26,8,4,7,15,101,11,1,321
644,644,Los Angeles Clippers,25,77,32.5,6,24,25.0,23,33,69.7,11,33,44,12,8,2,19,21,79,-18,0,322
645,645,Miami Heat,34,77,44.2,10,28,35.7,19,28,67.9,10,34,44,19,9,7,13,24,97,18,1,322
646,646,Indiana Pacers,39,83,47.0,9,22,40.9,18,22,81.8,15,31,46,18,6,4,15,15,105,19,0,323
647,647,New Jersey Nets,35,85,41.2,4,16,25.0,12,21,57.1,16,25,41,24,8,4,15,25,86,-19,1,323
648,648,Philadelphia 76ers,39,72,54.2,3,10,30.0,22,29,75.9,7,20,27,21,10,4,11,13,103,-14,0,324
649,649,New York Knicks,46,77,59.7,11,27,40.7,14,17,82.4,10,29,39,27,7,7,17,19,117,14,1,324
650,650,Orlando Magic,32,93,34.4,3,24,12.5,13,16,81.3,16,30,46,13,7,1,11,26,80,-11,0,325
651,651,Boston Celtics,30,63,47.6,3,9,33.3,28,34,82.4,4,37,41,21,7,4,15,22,91,11,1,325
652,652,Boston Celtics,31,76,40.8,5,14,35.7,22,27,81.5,5,32,37,25,12,5,14,23,89,-5,0,326
653,653,Charlotte Bobcats,33,79,41.8,5,16,31.3,23,30,76.7,11,39,50,16,7,7,16,17,94,5,1,326
654,654,Los Angeles Lakers,32,74,43.2,8,16,50.0,21,35,60.0,14,29,43,22,12,7,14,15,93,9,0,327
655,655,Memphis Grizzlies,33,83,39.8,4,10,40.0,14,17,82.4,14,31,45,18,10,4,15,25,84,-9,1,327
656,656,Minnesota Timberwolves,34,79,43.0,11,26,42.3,25,25,100.0,11,33,44,21,6,6,15,20,104,12,0,328
657,657,New Orleans Hornets,35,84,41.7,6,24,25.0,16,22,72.7,17,26,43,22,7,9,13,24,92,-12,1,328
658,658,Cleveland Cavaliers,40,91,44.0,3,14,21.4,13,17,76.5,12,31,43,18,9,5,11,20,96,-3,0,329
659,659,Dallas Mavericks,34,83,41.0,7,22,31.8,24,27,88.9,16,35,51,21,6,3,16,18,99,3,1,329
660,660,Houston Rockets,36,83,43.4,9,22,40.9,27,35,77.1,6,31,37,27,11,2,12,30,108,5,0,330
661,661,Denver Nuggets,35,77,45.5,3,13,23.1,30,43,69.8,10,37,47,14,2,7,20,31,103,-5,1,330
662,662,Chicago Bulls,44,89,49.4,4,16,25.0,11,18,61.1,17,24,41,16,5,1,12,25,103,-6,0,331
663,663,Portland Trail Blazers,35,68,51.5,2,8,25.0,37,40,92.5,8,23,31,21,8,4,11,15,109,6,1,331
664,664,Utah Jazz,43,88,48.9,1,9,11.1,20,30,66.7,10,28,38,19,8,4,11,26,107,3,0,332
665,665,Sacramento Kings,38,81,46.9,6,15,40.0,22,29,75.9,14,31,45,18,1,8,20,24,104,-3,1,332
666,666,Phoenix Suns,38,87,43.7,13,30,43.3,15,20,75.0,9,32,41,32,8,2,6,19,104,12,0,333
667,667,Golden State Warriors,36,83,43.4,2,18,11.1,18,26,69.2,14,36,50,20,4,3,12,14,92,-12,1,333
668,668,Philadelphia 76ers,43,79,54.4,3,13,23.1,28,34,82.4,8,42,50,26,9,5,8,14,117,34,0,334
669,669,Atlanta Hawks,35,86,40.7,3,18,16.7,10,15,66.7,11,24,35,20,2,5,14,25,83,-34,1,334
670,670,Los Angeles Clippers,31,79,39.2,5,16,31.3,18,22,81.8,10,27,37,18,12,3,16,25,85,-16,0,335
671,671,Orlando Magic,35,81,43.2,10,30,33.3,21,34,61.8,17,32,49,22,9,1,16,18,101,16,1,335
672,672,San Antonio Spurs,37,70,52.9,10,18,55.6,16,22,72.7,8,37,45,24,2,5,14,17,100,11,0,336
673,673,Detroit Pistons,36,83,43.4,3,11,27.3,14,19,73.7,9,26,35,14,8,2,6,15,89,-11,1,336
674,674,Indiana Pacers,44,86,51.2,7,22,31.8,17,20,85.0,11,26,37,18,8,2,13,24,112,-5,0,337
675,675,Miami Heat,44,83,53.0,8,24,33.3,21,28,75.0,10,26,36,20,10,3,11,14,117,5,1,337
676,676,Toronto Raptors,31,86,36.0,0,10,0.0,12,13,92.3,12,32,44,19,5,3,12,19,74,-18,0,338
677,677,Milwaukee Bucks,38,82,46.3,2,13,15.4,14,20,70.0,12,38,50,17,7,7,13,14,92,18,1,338
678,678,Memphis Grizzlies,37,81,45.7,2,5,40.0,29,39,74.4,6,30,36,17,11,5,9,24,105,4,0,339
679,679,Oklahoma City Thunder,35,85,41.2,7,19,36.8,24,32,75.0,18,40,58,19,3,7,21,34,101,-4,1,339
680,680,Minnesota Timberwolves,45,88,51.1,8,18,44.4,14,18,77.8,15,36,51,22,1,6,15,21,112,4,0,340
681,681,Houston Rockets,41,91,45.1,7,28,25.0,19,23,82.6,9,22,31,22,10,2,7,17,108,-4,1,340
682,682,Detroit Pistons,39,90,43.3,9,19,47.4,16,22,72.7,17,27,44,27,10,3,10,21,103,9,0,341
683,683,Cleveland Cavaliers,37,72,51.4,8,19,42.1,12,19,63.2,7,31,38,27,6,7,17,17,94,-9,1,341
684,684,Charlotte Bobcats,38,82,46.3,6,17,35.3,21,27,77.8,12,28,40,14,9,4,13,23,103,-1,0,342
685,685,Indiana Pacers,39,82,47.6,5,11,45.5,21,26,80.8,13,29,42,23,7,5,13,19,104,1,1,342
686,686,New Orleans Hornets,40,85,47.1,9,17,52.9,12,16,75.0,11,29,40,25,8,1,15,18,101,-2,0,343
687,687,New Jersey Nets,38,81,46.9,12,23,52.2,15,19,78.9,13,30,43,29,6,1,14,21,103,2,1,343
688,688,Orlando Magic,35,76,46.1,10,26,38.5,19,26,73.1,6,34,40,25,8,4,14,16,99,4,0,344
689,689,Philadelphia 76ers,37,88,42.0,6,19,31.6,15,22,68.2,15,30,45,22,6,3,13,21,95,-4,1,344
690,690,San Antonio Spurs,47,81,58.0,6,14,42.9,11,19,57.9,10,31,41,30,6,7,11,19,111,11,0,345
691,691,Toronto Raptors,42,84,50.0,3,9,33.3,13,18,72.2,9,23,32,22,4,3,8,18,100,-11,1,345
692,692,Milwaukee Bucks,38,88,43.2,4,14,28.6,5,12,41.7,12,27,39,20,6,4,12,15,85,-15,0,346
693,693,Washington Wizards,36,76,47.4,10,16,62.5,18,20,90.0,12,39,51,19,7,9,17,20,100,15,1,346
694,694,Los Angeles Clippers,47,86,54.7,9,17,52.9,13,16,81.3,12,26,38,28,7,1,15,17,116,8,0,347
695,695,New York Knicks,40,81,49.4,6,26,23.1,22,23,95.7,12,22,34,21,8,4,15,16,108,-8,1,347
696,696,Chicago Bulls,33,83,39.8,5,15,33.3,20,26,76.9,11,30,41,17,8,5,8,18,91,5,0,348
697,697,Utah Jazz,37,78,47.4,1,8,12.5,11,21,52.4,12,36,48,23,4,10,15,23,86,-5,1,348
698,698,Dallas Mavericks,38,81,46.9,9,25,36.0,17,22,77.3,9,30,39,22,2,5,12,21,102,2,0,349
699,699,Sacramento Kings,39,83,47.0,3,13,23.1,19,23,82.6,12,36,48,19,7,1,10,23,100,-2,1,349
700,700,Denver Nuggets,44,83,53.0,10,24,41.7,16,22,72.7,12,30,42,28,11,3,18,9,114,-2,0,350
701,701,Golden State Warriors,47,92,51.1,14,28,50.0,8,12,66.7,12,30,42,30,12,2,14,21,116,2,1,350
702,702,Los Angeles Lakers,35,73,47.9,3,10,30.0,19,25,76.0,12,35,47,20,3,6,14,22,92,6,0,351
703,703,Boston Celtics,33,82,40.2,5,16,31.3,15,19,78.9,12,24,36,25,4,7,9,25,86,-6,1,351
704,704,Golden State Warriors,36,90,40.0,6,20,30.0,10,17,58.8,9,23,32,19,11,6,12,15,88,-24,0,352
705,705,Phoenix Suns,44,84,52.4,12,22,54.5,12,14,85.7,12,35,47,25,5,6,17,16,112,24,1,352
706,706,Dallas Mavericks,45,84,53.6,11,25,44.0,19,25,76.0,11,28,39,21,8,3,11,18,120,-1,0,353
707,707,Denver Nuggets,44,84,52.4,15,31,48.4,18,24,75.0,10,26,36,25,8,5,12,25,121,1,1,353
708,708,New Jersey Nets,35,86,40.7,2,14,14.3,22,34,64.7,13,35,48,18,3,7,5,28,94,5,0,354
709,709,Charlotte Bobcats,29,68,42.6,4,14,28.6,27,39,69.2,5,37,42,16,2,5,13,21,89,-5,1,354
710,710,Minnesota Timberwolves,38,90,42.2,5,17,29.4,24,30,80.0,20,24,44,15,8,7,17,30,105,-11,0,355
711,711,Indiana Pacers,41,81,50.6,6,15,40.0,28,35,80.0,13,31,44,17,10,5,15,21,116,11,1,355
712,712,New Orleans Hornets,38,84,45.2,6,21,28.6,17,21,81.0,9,34,43,22,7,5,10,22,99,6,0,356
