,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
44,Goran Dragic,Phoenix Suns,36:43,4,12,33.3,1,5,20.0,8,10,80.0,1,5,6,8,3,1,3,3,17,6,9
45,Markieff Morris,Phoenix Suns,16:03,2,5,40.0,0,2,0.0,0,0,0.0,0,3,3,1,1,0,1,3,4,-2,9
46,P.J. Tucker,Phoenix Suns,23:04,5,9,55.6,0,0,0.0,0,0,0.0,2,0,2,0,1,1,1,2,10,5,9
47,Rudy Gay,Memphis Grizzlies,38:18,11,21,52.4,0,1,0.0,3,4,75.0,3,4,7,3,2,1,3,2,25,1,10
48,Mike Conley,Memphis Grizzlies,34:25,2,10,20.0,1,4,25.0,2,2,100,1,2,3,5,3,0,6,3,7,-4,10
49,Wayne Ellington,Memphis Grizzlies,15:31,2,5,40.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,2,4,3,10
50,Blake Griffin,Los Angeles Clippers,32:09,4,10,40.0,0,0,0.0,3,5,60.0,2,5,7,2,0,1,4,4,11,4,10
51,DeAndre Jordan,Los Angeles Clippers,23:23,6,8,75.0,0,0,0.0,0,0,0.0,3,4,7,1,2,1,9,4,12,7,10
52,Chris Paul,Los Angeles Clippers,34:14,4,10,40.0,0,2,0.0,4,6,66.7,0,4,4,12,4,0,2,2,12,-1,10
53,Eric Bledsoe,Los Angeles Clippers,17:11,5,8,62.5,0,1,0.0,3,4,75.0,1,3,4,4,0,0,1,1,13,9,10
54,Dwight Howard,Los Angeles Lakers,41:21,9,15,60.0,0,0,0.0,15,19,78.9,6,8,14,5,1,1,3,5,33,-2,11
55,Nicolas Batum,Portland Trail Blazers,40:25,9,16,56.3,3,9,33.3,5,7,71.4,4,2,6,1,3,1,1,2,26,0,11
56,LaMarcus Aldridge,Portland Trail Blazers,38:42,9,20,45.0,0,0,0.0,1,1,100,0,3,3,0,0,2,1,2,19,2,11
57,Damian Lillard,Portland Trail Blazers,34:59,7,17,41.2,1,4,25.0,8,8,100,0,3,3,11,1,0,6,2,23,16,11
58,Serge Ibaka,Oklahoma City Thunder,31:02,2,7,28.6,0,1,0.0,0,0,0.0,1,8,9,0,0,2,1,5,4,-8,12
59,Kevin Durant,Oklahoma City Thunder,40:39,9,18,50.0,1,2,50.0,4,5,80.0,2,12,14,5,2,0,4,1,23,2,12
60,Russell Westbrook,Oklahoma City Thunder,37:27,6,21,28.6,0,3,0.0,6,8,75.0,3,5,8,5,0,0,6,3,18,2,12
61,Reggie Jackson,Oklahoma City Thunder,0:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,12
62,Kawhi Leonard,San Antonio Spurs,32:06,2,8,25.0,0,3,0.0,2,2,100,1,3,4,1,5,0,4,4,6,1,12
63,Danny Green,San Antonio Spurs,34:35,5,9,55.6,3,6,50.0,0,0,0.0,0,5,5,2,1,0,0,2,13,0,12
64,Patty Mills,San Antonio Spurs,2:15,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2,12
65,Paul George,Indiana Pacers,36:00,4,11,36.4,2,5,40.0,2,2,100,1,6,7,6,1,0,5,3,12,-4,13
66,George Hill,Indiana Pacers,33:54,3,9,33.3,1,6,16.7,1,1,100,0,4,4,1,0,0,2,2,8,-8,13
67,D.J. Augustin,Indiana Pacers,16:46,1,7,14.3,1,5,20.0,0,0,0.0,0,4,4,5,0,0,0,1,3,11,13
68,Kemba Walker,Charlotte Bobcats,33:01,10,21,47.6,1,1,100,9,10,90.0,3,2,5,3,1,1,1,1,30,13,13
69,Tobias Harris,Milwaukee Bucks,32:53,8,11,72.7,2,2,100,0,0,0.0,0,6,6,2,0,1,3,1,18,9,15
70,Rajon Rondo,Boston Celtics,40:30,6,12,50.0,0,1,0.0,2,4,50.0,0,4,4,11,3,0,2,3,14,-14,15
71,Jeff Green,Boston Celtics,26:42,5,9,55.6,1,4,25.0,0,0,0.0,0,1,1,0,2,1,1,0,11,-16,15
72,James Harden,Houston Rockets,39:49,14,19,73.7,2,4,50.0,15,17,88.2,1,6,7,2,0,0,5,3,45,17,16
73,Al Horford,Atlanta Hawks,37:28,6,10,60.0,0,0,0.0,2,2,100,0,5,5,3,1,0,2,1,14,-11,16
74,Lou Williams,Atlanta Hawks,30:38,7,17,41.2,2,5,40.0,6,7,85.7,0,4,4,5,3,0,3,2,22,4,16
75,Taj Gibson,Chicago Bulls,18:12,3,7,42.9,0,0,0.0,2,4,50.0,0,6,6,1,0,1,1,2,8,9,17
76,Jimmy Butler,Chicago Bulls,17:10,3,4,75.0,0,0,0.0,2,2,100,1,3,4,1,0,0,1,0,8,2,17
77,Tristan Thompson,Cleveland Cavaliers,23:32,2,6,33.3,0,0,0.0,2,2,100,2,3,5,1,0,0,1,3,6,-5,17
78,Kyrie Irving,Cleveland Cavaliers,30:01,6,15,40.0,0,1,0.0,3,6,50.0,1,1,2,4,1,0,4,2,15,-21,17
79,LeBron James,Miami Heat,36:41,8,16,50.0,2,3,66.7,5,6,83.3,0,7,7,5,0,3,5,2,23,-21,18
80,Udonis Haslem,Miami Heat,19:29,1,3,33.3,0,0,0.0,0,0,0.0,0,5,5,1,0,0,0,1,2,-5,18
81,Carmelo Anthony,New York Knicks,38:55,10,28,35.7,4,8,50.0,6,7,85.7,4,6,10,2,2,0,1,3,30,24,18
82,Paul Millsap,Utah Jazz,25:26,5,9,55.6,1,1,100,0,2,0.0,3,3,6,3,1,1,3,4,11,-7,19
83,Gordon Hayward,Utah Jazz,25:55,4,8,50.0,2,3,66.7,4,5,80.0,2,2,4,3,1,0,1,1,14,-8,19
84,Derrick Favors,Utah Jazz,22:34,2,5,40.0,0,0,0.0,0,2,0.0,5,4,9,0,1,2,2,1,4,5,19
85,Enes Kanter,Utah Jazz,19:43,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,0,2,0,3,4,2,6,19
86,Anthony Davis,New Orleans Hornets,14:25,4,6,66.7,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,0,8,6,19
87,Robin Lopez,New Orleans Hornets,35:53,9,16,56.3,0,0,0.0,1,1,100,3,4,7,0,0,1,1,3,19,4,19
88,Austin Rivers,New Orleans Hornets,28:41,0,4,0.0,0,0,0.0,2,2,100,0,2,2,6,2,0,2,2,2,8,19
89,Nicolas Batum,Portland Trail Blazers,36:41,1,11,9.1,1,5,20.0,0,0,0.0,0,1,1,2,1,0,1,4,3,-17,20
