,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
213,Hassan Whiteside,Sacramento Kings,17:34,2,6,33.3,0,0,0,0,2,0,2,7,9,1,0,1,2,2,4,3,127
214,Tyrese Haliburton,Sacramento Kings,30:00:00,3,7,42.9,2,5,40,4,4,100,1,1,2,4,0,1,0,0,12,1,127
215,Paul Millsap,Denver Nuggets,36:06:00,7,13,53.8,2,5,40,0,0,0,2,5,7,3,0,0,1,3,16,-6,127
216,Nikola Jokic,Denver Nuggets,41:51:00,11,18,61.1,1,2,50,6,9,66.7,3,12,15,14,0,2,6,3,29,5,127
217,Gary Harris,Denver Nuggets,41:33:00,4,9,44.4,0,4,0,2,2,100,0,2,2,2,0,1,0,2,10,5,127
218,Jamal Murray,Denver Nuggets,34:27:00,1,9,11.1,0,5,0,7,7,100,0,4,4,1,2,0,2,6,9,3,127
219,Will Barton,Denver Nuggets,33:27:00,7,16,43.8,1,3,33.3,1,2,50,0,2,2,4,2,1,0,2,16,1,127
220,P.J. Dozier,Denver Nuggets,14:40,3,5,60,0,1,0,1,1,100,2,3,5,2,0,2,1,1,7,-6,127
221,Monte Morris,Denver Nuggets,16:19,1,6,16.7,0,1,0,0,0,0,0,2,2,0,0,0,1,0,2,-7,127
222,Facundo Campazzo,Denver Nuggets,8:08,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,1,3,-4,127
223,Isaiah Hartenstein,Denver Nuggets,8:53,3,6,50,0,0,0,0,0,0,2,1,3,0,0,2,2,4,6,-1,127
224,Bojan Bogdanovic,Utah Jazz,33:12:00,5,14,35.7,4,11,36.4,1,1,100,1,5,6,2,0,0,3,2,15,22,128
225,Royce O'Neale,Utah Jazz,28:04:00,0,5,0,0,4,0,0,0,0,3,4,7,0,0,1,0,3,0,6,128
226,Rudy Gobert,Utah Jazz,28:07:00,8,10,80,0,0,0,4,6,66.7,4,13,17,2,1,0,2,2,20,15,128
227,Donovan Mitchell,Utah Jazz,30:47:00,6,16,37.5,4,10,40,4,4,100,0,3,3,5,1,0,2,2,20,11,128
228,Mike Conley,Utah Jazz,29:35:00,6,15,40,4,7,57.1,2,3,66.7,0,3,3,2,0,0,2,3,18,14,128
229,Joe Ingles,Utah Jazz,26:43:00,5,10,50,3,8,37.5,1,1,100,0,5,5,7,1,1,1,0,14,14,128
230,Derrick Favors,Utah Jazz,16:18,5,5,100,0,0,0,0,0,0,2,5,7,3,0,0,0,3,10,5,128
231,Jordan Clarkson,Utah Jazz,22:09,6,12,50,3,6,50,0,0,0,1,6,7,1,0,1,1,0,15,16,128
232,Georges Niang,Utah Jazz,8:31,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,128
233,Miye Oni,Utah Jazz,3:52,1,2,50,1,1,100,0,0,0,0,1,1,1,0,0,0,0,3,-2,128
234,Udoka Azubuike,Utah Jazz,3:35,1,1,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,128
235,Elijah Hughes,Utah Jazz,3:09,0,1,0,0,0,0,3,4,75,0,1,1,1,0,0,0,0,3,-2,128
236,Robert Covington,Portland Trail Blazers,21:25,0,3,0,0,3,0,1,2,50,0,4,4,3,1,0,0,2,1,-18,128
237,Jusuf Nurkic,Portland Trail Blazers,21:52,5,9,55.6,1,2,50,2,2,100,1,2,3,3,1,0,2,3,13,-10,128
238,CJ McCollum,Portland Trail Blazers,34:10:00,7,19,36.8,3,8,37.5,6,6,100,1,3,4,3,0,1,0,3,23,-11,128
239,Damian Lillard,Portland Trail Blazers,33:41:00,4,12,33.3,1,7,14.3,0,1,0,0,4,4,7,1,1,1,1,9,-21,128
240,Carmelo Anthony,Portland Trail Blazers,24:04:00,5,12,41.7,0,0,0,5,6,83.3,1,3,4,0,1,0,1,2,15,-3,128
241,Enes Kanter,Portland Trail Blazers,25:54:00,7,7,100,0,0,0,0,0,0,1,7,8,0,0,0,0,0,14,-10,128
242,Rodney Hood,Portland Trail Blazers,13:50,0,3,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,-1,128
243,Keljin Blevins,Portland Trail Blazers,4:27,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,128
244,CJ Elleby,Portland Trail Blazers,4:27,1,2,50,0,1,0,0,0,0,1,1,2,1,0,0,0,2,2,0,128
245,Dorian Finney-Smith,Dallas Mavericks,35:48:00,4,11,36.4,1,6,16.7,2,2,100,1,7,8,3,2,0,0,3,11,11,129
246,Dwight Powell,Dallas Mavericks,17:32,1,3,33.3,0,0,0,0,0,0,1,1,2,1,1,0,2,3,2,-3,129
247,Josh Richardson,Dallas Mavericks,36:16:00,5,11,45.5,2,7,28.6,0,0,0,1,6,7,1,1,0,2,4,12,-9,129
248,Luka Doncic,Dallas Mavericks,35:57:00,11,26,42.3,0,6,0,10,12,83.3,2,6,8,5,0,0,1,2,32,-9,129
249,Maxi Kleber,Dallas Mavericks,26:53:00,2,8,25,2,7,28.6,4,4,100,1,2,3,1,0,0,1,4,10,-19,129
250,Trey Burke,Dallas Mavericks,19:36,3,6,50,1,1,100,0,0,0,0,0,0,0,0,0,1,0,7,-1,129
251,James Johnson,Dallas Mavericks,13:42,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,3,0,2,129
252,Jalen Brunson,Dallas Mavericks,18:11,5,8,62.5,0,2,0,2,2,100,0,2,2,4,0,0,3,2,12,3,129
253,Josh Green,Dallas Mavericks,3:16,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,129
254,Willie Cauley-Stein,Dallas Mavericks,6:02,1,1,100,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,14,129
255,Mikal Bridges,Phoenix Suns,35:57:00,5,11,45.5,4,7,57.1,4,4,100,2,5,7,0,0,2,0,2,18,9,129
256,Jae Crowder,Phoenix Suns,25:58:00,1,6,16.7,1,5,20,1,2,50,0,9,9,4,0,0,1,0,4,-12,129
257,Deandre Ayton,Phoenix Suns,24:10:00,5,9,55.6,0,0,0,3,6,50,1,7,8,1,1,2,2,4,13,-4,129
258,Devin Booker,Phoenix Suns,34:07:00,8,15,53.3,2,6,33.3,4,6,66.7,0,5,5,3,2,0,8,4,22,7,129
259,Chris Paul,Phoenix Suns,27:45:00,3,9,33.3,0,2,0,2,2,100,1,3,4,5,2,0,3,3,8,-10,129
260,Damian Jones,Phoenix Suns,7:37,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5,0,2,129
261,Cameron Payne,Phoenix Suns,20:15,5,9,55.6,1,2,50,0,0,0,1,2,3,3,0,1,1,2,11,14,129
262,Cameron Johnson,Phoenix Suns,25:32:00,5,9,55.6,1,3,33.3,4,4,100,0,5,5,1,1,0,0,2,15,9,129
263,Jevon Carter,Phoenix Suns,13:53,0,3,0,0,3,0,0,0,0,0,2,2,2,0,0,1,2,0,-3,129
264,Jalen Smith,Phoenix Suns,16:13,2,3,66.7,0,0,0,0,2,0,1,2,3,1,0,1,1,1,4,6,129
265,Brandon Ingram,New Orleans Pelicans,37:03:00,7,17,41.2,4,8,50,10,11,90.9,0,2,2,3,0,0,4,0,28,2,130
266,Zion Williamson,New Orleans Pelicans,38:17:00,11,20,55,0,1,0,10,15,66.7,4,10,14,1,1,0,3,1,32,-13,130
267,Steven Adams,New Orleans Pelicans,32:22:00,3,3,100,0,0,0,0,0,0,4,5,9,1,2,1,2,2,6,5,130
268,Lonzo Ball,New Orleans Pelicans,33:26:00,2,8,25,2,8,25,0,0,0,0,2,2,6,2,1,3,4,6,-3,130
269,Eric Bledsoe,New Orleans Pelicans,33:10:00,2,10,20,1,6,16.7,0,0,0,0,2,2,6,1,0,5,2,5,-3,130
270,Josh Hart,New Orleans Pelicans,28:40:00,5,10,50,2,6,33.3,0,0,0,2,7,9,0,1,0,0,3,12,-10,130
271,Jaxson Hayes,New Orleans Pelicans,3:15,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,-9,130
