,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
0,Los Angeles Lakers,42,82,51.2,8,17,47.1,17,24,70.8,12,39,51,25,2,5,8,22,109,15,0,0
1,Indiana Pacers,38,81,46.9,6,21,28.6,12,16,75.0,4,25,29,23,3,6,6,16,94,-15,1,0
2,Boston Celtics,45,86,52.3,7,14,50.0,21,21,100.0,11,28,39,26,11,2,13,19,118,2,0,1
3,New York Knicks,43,81,53.1,9,23,39.1,21,26,80.8,9,26,35,19,5,5,17,18,116,-2,1,1
4,Los Angeles Clippers,33,83,39.8,5,19,26.3,20,27,74.1,14,34,48,16,3,4,14,18,91,-14,0,2
5,Philadelphia 76ers,40,91,44.0,6,17,35.3,19,23,82.6,16,25,41,22,7,9,3,17,105,14,1,2
6,Chicago Bulls,43,81,53.1,7,18,38.9,17,24,70.8,14,33,47,28,7,8,14,15,110,17,0,3
7,Toronto Raptors,38,86,44.2,3,12,25.0,14,16,87.5,13,24,37,19,5,6,10,20,93,-17,1,3
8,Cleveland Cavaliers,35,87,40.2,9,33,27.3,16,20,80.0,10,28,38,19,6,0,8,28,95,-6,0,4
9,Miami Heat,32,70,45.7,10,23,43.5,27,41,65.9,9,36,45,17,4,8,13,20,101,6,1,4
10,Charlotte Bobcats,28,68,41.2,5,10,50.0,19,26,73.1,5,30,35,15,7,7,20,20,80,-33,0,5
11,Memphis Grizzlies,43,82,52.4,4,15,26.7,23,29,79.3,6,33,39,30,12,6,11,22,113,33,1,5
12,Sacramento Kings,39,84,46.4,6,20,30.0,7,12,58.3,9,32,41,19,5,2,15,25,91,-3,0,6
13,New Orleans Hornets,34,78,43.6,4,11,36.4,22,30,73.3,13,30,43,25,5,6,11,19,94,3,1,6
14,Houston Rockets,38,82,46.3,9,22,40.9,20,28,71.4,9,19,28,22,13,4,10,21,105,-12,0,7
15,Oklahoma City Thunder,41,71,57.7,7,11,63.6,28,29,96.6,8,33,41,25,7,2,16,25,117,12,1,7
16,Milwaukee Bucks,35,79,44.3,6,11,54.5,14,16,87.5,7,33,40,17,8,10,15,18,90,-2,0,8
17,San Antonio Spurs,36,69,52.2,3,8,37.5,17,25,68.0,3,36,39,24,5,10,17,20,92,2,1,8
18,Minnesota Timberwolves,50,93,53.8,8,22,36.4,14,19,73.7,8,31,39,30,9,5,16,22,122,-6,0,9
19,Phoenix Suns,44,87,50.6,15,27,55.6,25,33,75.8,14,32,46,32,7,2,16,19,128,6,1,9
20,Portland Trail Blazers,42,85,49.4,3,14,21.4,11,18,61.1,12,25,37,26,5,1,8,17,98,-5,0,10
21,Dallas Mavericks,40,74,54.1,3,16,18.8,20,21,95.2,5,31,36,20,7,4,11,16,103,5,1,10
22,Washington Wizards,31,78,39.7,5,17,29.4,22,28,78.6,8,29,37,17,10,4,20,37,89,-8,0,11
23,New Jersey Nets,30,74,40.5,2,8,25.0,35,47,74.5,17,35,52,15,5,7,20,25,97,8,1,11
24,Atlanta Hawks,34,68,50.0,3,10,30.0,19,24,79.2,10,27,37,16,10,2,18,15,90,-12,0,12
25,Boston Celtics,44,83,53.0,6,18,33.3,8,11,72.7,9,24,33,28,12,1,12,17,102,12,1,12
26,San Antonio Spurs,43,83,51.8,9,26,34.6,18,25,72.0,8,34,42,26,4,7,9,29,113,1,0,13
27,Denver Nuggets,39,81,48.1,7,14,50.0,27,35,77.1,7,29,36,20,1,1,9,23,112,-1,1,13
28,Cleveland Cavaliers,34,82,41.5,6,13,46.2,25,34,73.5,4,34,38,21,5,3,14,25,99,-9,0,14
29,Indiana Pacers,38,81,46.9,9,22,40.9,23,31,74.2,7,42,49,20,5,11,17,27,108,9,1,14
30,Miami Heat,45,82,54.9,10,18,55.6,13,18,72.2,8,37,45,19,10,9,18,20,113,22,0,15
31,New York Knicks,35,89,39.3,8,24,33.3,13,23,56.5,13,28,41,24,7,3,13,14,91,-22,1,15
32,Los Angeles Lakers,33,79,41.8,3,15,20.0,24,28,85.7,9,38,47,22,8,2,14,17,93,12,0,16
33,Philadelphia 76ers,33,88,37.5,3,21,14.3,12,14,85.7,16,32,48,22,9,6,13,22,81,-12,1,16
34,New Jersey Nets,36,80,45.0,2,12,16.7,18,23,78.3,9,30,39,19,3,6,12,18,92,-6,0,17
35,Toronto Raptors,40,86,46.5,7,18,38.9,11,16,68.8,11,32,43,26,4,4,9,20,98,6,1,17
36,Charlotte Bobcats,33,87,37.9,2,14,14.3,17,20,85.0,18,30,48,18,8,3,7,15,85,-5,0,18
37,Atlanta Hawks,36,78,46.2,6,25,24.0,12,13,92.3,11,31,42,24,4,8,14,20,90,5,1,18
38,Los Angeles Clippers,46,81,56.8,10,19,52.6,7,13,53.8,12,33,45,31,9,3,17,16,109,21,0,19
39,Detroit Pistons,33,82,40.2,4,14,28.6,18,27,66.7,14,21,35,19,6,4,14,15,88,-21,1,19
40,Utah Jazz,29,81,35.8,3,19,15.8,10,20,50.0,7,17,24,13,7,5,10,17,71,-29,0,20
41,New Orleans Hornets,38,75,50.7,5,16,31.3,19,22,86.4,13,40,53,23,6,7,16,24,100,29,1,20
42,Sacramento Kings,35,82,42.7,2,11,18.2,15,23,65.2,14,28,42,15,3,3,15,26,87,-15,0,21
43,Oklahoma City Thunder,39,81,48.1,3,15,20.0,21,33,63.6,14,29,43,23,8,8,13,21,102,15,1,21
44,Memphis Grizzlies,31,85,36.5,2,5,40.0,23,29,79.3,11,25,36,12,13,9,15,17,87,-16,0,22
45,Houston Rockets,39,81,48.1,10,22,45.5,15,18,83.3,9,38,47,27,7,12,20,21,103,16,1,22
46,Phoenix Suns,35,89,39.3,5,21,23.8,16,22,72.7,10,41,51,22,5,9,11,25,91,-15,0,23
47,Dallas Mavericks,39,86,45.3,8,18,44.4,20,31,64.5,11,43,54,27,9,4,9,18,106,15,1,23
48,Minnesota Timberwolves,41,92,44.6,3,17,17.6,17,19,89.5,21,28,49,17,10,6,17,20,102,-5,0,24
49,Portland Trail Blazers,42,83,50.6,7,21,33.3,16,19,84.2,12,25,37,23,12,11,17,17,107,5,1,24
50,Philadelphia 76ers,34,77,44.2,3,11,27.3,26,31,83.9,7,32,39,18,11,6,12,20,97,8,0,25
51,Orlando Magic,36,87,41.4,3,15,20.0,14,22,63.6,17,36,53,19,6,3,16,23,89,-8,1,25
52,Miami Heat,31,72,43.1,8,22,36.4,25,32,78.1,8,36,44,18,8,9,17,20,95,1,0,26
53,Washington Wizards,37,87,42.5,2,9,22.2,18,26,69.2,12,32,44,22,11,6,13,23,94,-1,1,26
54,New York Knicks,39,95,41.1,11,34,32.4,13,14,92.9,6,41,47,22,11,7,19,20,102,-7,0,27
55,Cleveland Cavaliers,42,102,41.2,10,27,37.0,15,20,75.0,13,43,56,28,8,7,13,11,109,7,1,27
56,Los Angeles Clippers,37,73,50.7,8,17,47.1,18,30,60.0,9,29,38,20,6,4,14,24,100,1,0,28
57,Chicago Bulls,39,82,47.6,6,15,40.0,15,23,65.2,12,25,37,17,5,5,15,25,99,-1,1,28
58,Utah Jazz,35,83,42.2,7,15,46.7,18,26,69.2,14,32,46,25,8,7,9,15,95,9,0,29
59,Milwaukee Bucks,32,71,45.1,7,18,38.9,15,18,83.3,3,28,31,21,6,5,12,20,86,-9,1,29
60,Memphis Grizzlies,42,95,44.2,8,14,57.1,14,21,66.7,16,32,48,23,8,4,13,17,106,-6,0,30
61,San Antonio Spurs,44,86,51.2,10,23,43.5,14,19,73.7,9,32,41,31,8,6,14,19,112,6,1,30
62,Minnesota Timberwolves,39,84,46.4,6,22,27.3,29,35,82.9,12,37,49,24,6,9,16,23,113,-2,0,31
63,Denver Nuggets,39,86,45.3,10,27,37.0,27,33,81.8,7,28,35,25,7,4,12,26,115,2,1,31
64,Golden State Warriors,36,81,44.4,6,17,35.3,17,23,73.9,15,27,42,17,11,4,17,23,95,-1,0,32
65,Portland Trail Blazers,38,78,48.7,6,15,40.0,14,22,63.6,11,29,40,24,10,0,13,19,96,1,1,32
66,Indiana Pacers,34,96,35.4,4,18,22.2,16,18,88.9,16,27,43,17,10,3,13,18,88,-11,0,33
67,Boston Celtics,41,76,53.9,3,14,21.4,14,18,77.8,4,41,45,23,9,4,18,23,99,11,1,33
68,Atlanta Hawks,29,74,39.2,5,17,29.4,19,23,82.6,7,32,39,22,6,5,16,22,82,-7,0,34
69,New Jersey Nets,35,84,41.7,4,13,30.8,15,19,78.9,10,36,46,19,6,2,16,20,89,7,1,34
70,Los Angeles Lakers,41,79,51.9,7,19,36.8,31,39,79.5,14,32,46,20,9,4,17,21,120,10,0,35
71,Toronto Raptors,41,87,47.1,7,22,31.8,21,25,84.0,11,24,35,27,13,0,15,28,110,-10,1,35
72,New Orleans Hornets,39,87,44.8,6,15,40.0,24,30,80.0,14,33,47,18,12,2,15,23,108,-3,0,36
73,Detroit Pistons,44,83,53.0,10,23,43.5,13,23,56.5,7,30,37,26,8,7,17,23,111,3,1,36
74,Houston Rockets,37,83,44.6,11,25,44.0,17,22,77.3,16,34,50,28,5,11,20,17,102,9,0,37
75,Sacramento Kings,35,91,38.5,7,14,50.0,16,19,84.2,15,23,38,18,9,10,13,19,93,-9,1,37
76,Phoenix Suns,42,73,57.5,4,12,33.3,25,30,83.3,7,30,37,23,5,3,19,30,113,3,0,38
77,Oklahoma City Thunder,33,77,42.9,6,21,28.6,38,46,82.6,12,20,32,20,10,4,12,23,110,-3,1,38
78,Orlando Magic,25,71,35.2,4,17,23.5,27,35,77.1,6,32,38,15,9,2,12,27,81,-10,0,39
79,Atlanta Hawks,33,80,41.2,6,18,33.3,19,29,65.5,13,38,51,23,3,6,15,26,91,10,1,39
80,Utah Jazz,39,82,47.6,10,23,43.5,13,16,81.3,13,31,44,28,3,3,10,20,101,11,0,40
81,Cleveland Cavaliers,30,72,41.7,12,28,42.9,18,25,72.0,6,28,34,21,8,2,8,14,90,-11,1,40
82,New Orleans Hornets,33,83,39.8,4,15,26.7,23,32,71.9,18,35,53,18,9,5,13,14,93,-1,0,41
83,Indiana Pacers,34,80,42.5,11,23,47.8,15,19,78.9,8,31,39,22,8,11,14,23,94,1,1,41
84,Charlotte Bobcats,28,62,45.2,2,9,22.2,17,25,68.0,9,25,34,18,6,2,27,25,75,-33,0,42
85,Washington Wizards,38,73,52.1,7,16,43.8,25,30,83.3,6,25,31,22,10,7,14,26,108,33,1,42
86,Dallas Mavericks,33,74,44.6,8,21,38.1,24,28,85.7,10,38,48,19,6,1,13,23,98,2,0,43
87,Miami Heat,34,84,40.5,11,31,35.5,17,25,68.0,16,28,44,18,7,5,12,20,96,-2,1,43
88,Phoenix Suns,46,86,53.5,6,22,27.3,12,16,75.0,10,25,35,23,5,6,13,24,110,-8,0,44
89,San Antonio Spurs,43,89,48.3,8,29,27.6,24,30,80.0,17,26,43,27,9,7,11,20,118,8,1,44
90,Milwaukee Bucks,30,79,38.0,4,14,28.6,16,22,72.7,12,23,35,13,7,0,11,22,80,-26,0,45
91,Portland Trail Blazers,39,78,50.0,8,22,36.4,20,25,80.0,14,29,43,27,5,6,10,18,106,26,1,45
92,Houston Rockets,42,84,50.0,11,24,45.8,26,34,76.5,17,28,45,31,7,2,16,20,121,9,0,46
93,Golden State Warriors,43,84,51.2,7,22,31.8,19,27,70.4,13,22,35,29,9,6,14,30,112,-9,1,46
94,Minnesota Timberwolves,32,80,40.0,7,18,38.9,19,27,70.4,7,26,33,20,7,1,13,21,90,-23,0,47
95,Los Angeles Clippers,43,83,51.8,7,23,30.4,20,33,60.6,14,42,56,31,9,4,12,20,113,23,1,47
96,Oklahoma City Thunder,31,71,43.7,7,16,43.8,30,36,83.3,10,34,44,17,9,3,12,24,99,18,0,48
97,Charlotte Bobcats,30,75,40.0,4,14,28.6,17,26,65.4,8,24,32,18,6,10,15,27,81,-18,1,48
98,Dallas Mavericks,38,76,50.0,12,26,46.2,17,21,81.0,4,34,38,28,5,0,13,18,105,6,0,49
99,Orlando Magic,38,86,44.2,11,29,37.9,12,12,100.0,11,29,40,22,6,3,12,22,99,-6,1,49
100,Philadelphia 76ers,28,80,35.0,2,15,13.3,18,23,78.3,14,23,37,13,7,2,18,14,76,-45,0,50
101,Chicago Bulls,49,76,64.5,6,11,54.5,17,21,81.0,4,36,40,32,11,9,12,16,121,45,1,50
102,New Jersey Nets,40,76,52.6,4,13,30.8,17,23,73.9,7,42,49,15,3,3,14,24,101,7,0,51
103,Memphis Grizzlies,35,88,39.8,4,13,30.8,20,29,69.0,12,27,39,16,11,6,8,21,94,-7,1,51
104,Golden State Warriors,42,89,47.2,10,25,40.0,23,33,69.7,10,38,48,24,12,8,19,28,117,8,0,52
105,Sacramento Kings,39,100,39.0,7,23,30.4,24,28,85.7,17,39,56,18,9,7,19,27,109,-8,1,52
106,Milwaukee Bucks,37,73,50.7,8,14,57.1,16,18,88.9,13,26,39,19,8,4,16,18,98,19,0,53
107,Los Angeles Lakers,35,77,45.5,2,13,15.4,7,13,53.8,15,20,35,17,6,5,16,19,79,-19,1,53
108,Cleveland Cavaliers,34,81,42.0,5,22,22.7,11,13,84.6,10,25,35,22,2,2,9,11,84,-14,0,54
109,Atlanta Hawks,42,83,50.6,8,22,36.4,6,10,60.0,9,31,40,29,5,2,6,14,98,14,1,54
110,Detroit Pistons,46,90,51.1,8,23,34.8,15,19,78.9,8,26,34,27,13,4,8,18,115,22,0,55
111,Toronto Raptors,35,67,52.2,5,14,35.7,18,23,78.3,2,30,32,26,3,2,23,15,93,-22,1,55
112,Chicago Bulls,31,73,42.5,2,16,12.5,23,29,79.3,9,32,41,18,6,8,21,23,87,7,0,56
113,Washington Wizards,30,79,38.0,4,14,28.6,16,19,84.2,9,24,33,17,10,4,15,24,80,-7,1,56
114,Philadelphia 76ers,28,65,43.1,2,10,20.0,22,31,71.0,6,34,40,14,4,5,13,18,80,-4,0,57
115,Boston Celtics,31,80,38.8,6,20,30.0,16,21,76.2,12,31,43,19,8,4,10,23,84,4,1,57
116,Oklahoma City Thunder,38,97,39.2,3,17,17.6,19,25,76.0,22,31,53,15,7,6,14,17,98,-14,0,58
117,New York Knicks,42,86,48.8,10,21,47.6,18,21,85.7,7,36,43,30,6,9,11,22,112,14,1,58
118,Utah Jazz,37,75,49.3,1,10,10.0,37,44,84.1,11,34,45,25,14,11,16,24,112,5,0,59
119,Minnesota Timberwolves,37,87,42.5,10,20,50.0,23,29,79.3,15,28,43,19,7,6,18,30,107,-5,1,59
120,New Jersey Nets,37,81,45.7,4,15,26.7,13,14,92.9,8,22,30,21,5,4,7,19,91,-14,0,60
121,New Orleans Hornets,41,76,53.9,8,16,50.0,15,21,71.4,15,33,48,27,4,6,13,14,105,14,1,60
122,Denver Nuggets,35,78,44.9,8,25,32.0,25,29,86.2,13,30,43,22,10,3,13,18,103,-6,0,61
123,San Antonio Spurs,40,76,52.6,14,28,50.0,15,24,62.5,11,29,40,26,5,4,13,19,109,6,1,61
124,Houston Rockets,35,82,42.7,9,29,31.0,18,23,78.3,10,35,45,28,10,7,18,24,97,5,0,62
125,Los Angeles Clippers,35,87,40.2,4,15,26.7,18,26,69.2,14,32,46,22,10,6,16,19,92,-5,1,62
126,San Antonio Spurs,38,90,42.2,8,22,36.4,17,25,68.0,16,30,46,17,7,2,10,16,101,-22,0,63
127,Orlando Magic,50,84,59.5,13,25,52.0,10,17,58.8,4,35,39,31,5,3,13,20,123,22,1,63
128,Milwaukee Bucks,35,81,43.2,2,9,22.2,12,18,66.7,7,30,37,13,7,9,12,20,84,5,0,64
129,Sacramento Kings,31,85,36.5,7,21,33.3,10,15,66.7,19,38,57,18,3,4,25,28,79,-5,1,64
130,Miami Heat,37,82,45.1,5,18,27.8,16,17,94.1,11,33,44,12,9,4,16,22,95,12,0,65
131,Phoenix Suns,30,75,40.0,10,26,38.5,13,19,68.4,11,28,39,25,7,2,19,21,83,-12,1,65
132,Chicago Bulls,40,91,44.0,4,14,28.6,11,20,55.0,17,31,48,15,14,5,21,20,95,-8,0,66
133,New York Knicks,42,79,53.2,12,22,54.5,7,12,58.3,6,38,44,25,12,10,24,16,103,8,1,66
134,Boston Celtics,28,81,34.6,4,17,23.5,18,21,85.7,6,33,39,15,8,3,11,24,78,-8,0,67
135,Orlando Magic,28,71,39.4,11,29,37.9,19,29,65.5,8,37,45,16,6,9,16,18,86,8,1,67
136,Miami Heat,35,79,44.3,9,25,36.0,17,20,85.0,9,35,44,25,9,4,9,17,96,16,0,68
137,Los Angeles Lakers,32,79,40.5,6,19,31.6,10,15,66.7,9,34,43,22,4,1,12,23,80,-16,1,68
138,Denver Nuggets,37,70,52.9,8,17,47.1,24,30,80.0,5,30,35,15,5,1,17,25,106,-8,0,69
139,Oklahoma City Thunder,40,81,49.4,6,17,35.3,28,35,80.0,9,27,36,22,10,8,8,21,114,8,1,69
140,Portland Trail Blazers,41,97,42.3,5,18,27.8,15,20,75.0,24,29,53,27,7,4,15,20,102,-7,0,70
141,Golden State Warriors,40,83,48.2,10,22,45.5,19,21,90.5,7,25,32,31,7,8,12,16,109,7,1,70
142,Phoenix Suns,39,87,44.8,9,25,36.0,16,18,88.9,8,25,33,26,8,1,11,26,103,-5,0,71
143,Los Angeles Clippers,40,75,53.3,7,21,33.3,21,34,61.8,8,32,40,26,6,3,13,22,108,5,1,71
144,Minnesota Timberwolves,33,85,38.8,12,23,52.2,20,22,90.9,11,37,48,15,9,4,13,19,98,1,0,72
145,Cleveland Cavaliers,40,87,46.0,10,26,38.5,7,13,53.8,9,36,45,30,5,4,16,15,97,-1,1,72
146,Chicago Bulls,36,91,39.6,4,12,33.3,19,28,67.9,19,36,55,17,5,2,12,20,95,3,0,73
147,Detroit Pistons,38,89,42.7,3,13,23.1,13,16,81.3,11,28,39,19,4,8,9,23,92,-3,1,73
148,Memphis Grizzlies,39,88,44.3,5,10,50.0,21,30,70.0,9,42,51,26,7,4,10,25,104,14,0,74
149,Indiana Pacers,32,90,35.6,7,25,28.0,19,27,70.4,13,41,54,20,9,5,13,24,90,-14,1,74
150,Atlanta Hawks,29,73,39.7,9,24,37.5,19,24,79.2,8,30,38,17,3,3,14,15,86,-7,0,75
151,New Orleans Hornets,41,84,48.8,2,17,11.8,9,15,60.0,12,35,47,15,5,1,8,20,93,7,1,75
152,Washington Wizards,33,88,37.5,5,15,33.3,9,11,81.8,14,37,51,18,4,3,14,17,80,-14,0,76
153,San Antonio Spurs,37,82,45.1,10,24,41.7,10,12,83.3,8,36,44,27,10,5,11,15,94,14,1,76
154,Philadelphia 76ers,36,91,39.6,3,14,21.4,20,32,62.5,17,32,49,18,11,6,7,19,95,6,0,77
155,Denver Nuggets,30,75,40.0,8,27,29.6,21,23,91.3,9,39,48,12,4,5,13,22,89,-6,1,77
156,Detroit Pistons,38,87,43.7,11,19,57.9,13,16,81.3,10,22,32,22,13,5,13,16,100,-5,0,78
157,Charlotte Bobcats,40,76,52.6,10,17,58.8,15,19,78.9,11,35,46,24,8,13,23,15,105,5,1,78
158,Orlando Magic,39,82,47.6,12,30,40.0,14,19,73.7,12,36,48,26,9,8,14,22,104,16,0,79
159,New Jersey Nets,31,79,39.2,4,11,36.4,22,29,75.9,9,31,40,12,9,3,14,19,88,-16,1,79
160,Toronto Raptors,38,76,50.0,4,19,21.1,5,14,35.7,10,24,34,21,8,4,25,23,85,-11,0,80
161,Memphis Grizzlies,35,69,50.7,3,12,25.0,23,28,82.1,7,26,33,19,15,4,21,19,96,11,1,80
162,Atlanta Hawks,38,75,50.7,6,14,42.9,13,20,65.0,11,36,47,23,7,2,15,17,95,15,0,81
163,Milwaukee Bucks,28,75,37.3,4,15,26.7,20,26,76.9,9,24,33,16,5,4,14,17,80,-15,1,81
164,New Orleans Hornets,36,85,42.4,3,11,27.3,23,27,85.2,13,26,39,23,8,4,10,25,98,-15,0,82
165,Minnesota Timberwolves,41,77,53.2,11,23,47.8,20,25,80.0,6,33,39,29,8,6,14,17,113,15,1,82
166,Dallas Mavericks,41,84,48.8,11,23,47.8,10,11,90.9,6,37,43,29,7,2,14,20,103,10,0,83
167,Oklahoma City Thunder,34,81,42.0,6,17,35.3,19,23,82.6,8,31,39,20,9,6,11,14,93,-10,1,83
168,Washington Wizards,34,85,40.0,3,8,37.5,22,29,75.9,15,27,42,15,8,7,14,21,93,-7,0,84
169,Houston Rockets,37,81,45.7,6,20,30.0,20,25,80.0,12,32,44,20,5,6,13,24,100,7,1,84
170,Portland Trail Blazers,33,70,47.1,5,17,29.4,25,30,83.3,10,31,41,20,10,8,16,22,96,5,0,85
171,Utah Jazz,32,74,43.2,10,20,50.0,17,19,89.5,8,23,31,17,6,5,17,19,91,-5,1,85
172,Los Angeles Clippers,40,83,48.2,9,22,40.9,11,15,73.3,16,32,48,23,6,5,19,14,100,1,0,86
173,Sacramento Kings,36,87,41.4,13,26,50.0,14,17,82.4,15,19,34,18,10,7,9,16,99,-1,1,86
174,Philadelphia 76ers,38,88,43.2,4,17,23.5,15,20,75.0,18,36,54,25,4,3,17,15,95,-15,0,87
175,Golden State Warriors,39,83,47.0,15,23,65.2,17,21,81.0,10,34,44,31,9,6,12,17,110,15,1,87
176,Orlando Magic,40,79,50.6,19,31,61.3,11,15,73.3,6,29,35,27,11,2,20,25,110,15,0,88
177,Cleveland Cavaliers,33,72,45.8,6,19,31.6,23,33,69.7,6,29,35,22,13,5,19,19,95,-15,1,88
178,Boston Celtics,37,73,50.7,6,11,54.5,15,22,68.2,5,34,39,18,6,5,12,19,95,12,0,89
179,Indiana Pacers,29,78,37.2,5,17,29.4,20,25,80.0,10,31,41,15,7,1,15,24,83,-12,1,89
180,New York Knicks,34,82,41.5,7,24,29.2,23,32,71.9,9,23,32,14,4,5,9,22,98,-8,0,90
181,Miami Heat,38,79,48.1,3,13,23.1,27,34,79.4,13,37,50,15,2,5,10,20,106,8,1,90
182,Milwaukee Bucks,27,84,32.1,5,14,35.7,18,25,72.0,19,32,51,11,4,7,13,15,77,-13,0,91
183,Chicago Bulls,36,76,47.4,6,15,40.0,12,16,75.0,6,36,42,24,6,11,12,21,90,13,1,91
184,Toronto Raptors,33,69,47.8,2,10,20.0,16,22,72.7,10,32,42,20,9,5,17,14,84,8,0,92
185,Dallas Mavericks,31,75,41.3,5,22,22.7,9,12,75.0,11,24,35,19,6,6,17,17,76,-8,1,92
186,Los Angeles Lakers,29,82,35.4,8,23,34.8,16,22,72.7,12,39,51,15,5,6,16,19,82,-15,0,93
187,San Antonio Spurs,37,87,42.5,9,32,28.1,14,21,66.7,12,38,50,20,9,8,9,23,97,15,1,93
188,Portland Trail Blazers,32,80,40.0,6,13,46.2,7,8,87.5,11,27,38,17,9,10,14,20,77,-18,0,94
189,Denver Nuggets,34,75,45.3,6,16,37.5,21,26,80.8,10,35,45,22,6,6,15,15,95,18,1,94
190,Golden State Warriors,37,83,44.6,8,24,33.3,11,15,73.3,10,33,43,22,8,2,15,13,93,-10,0,95
191,Atlanta Hawks,44,86,51.2,8,19,42.1,7,12,58.3,10,34,44,31,8,4,12,14,103,10,1,95
192,Cleveland Cavaliers,32,79,40.5,4,22,18.2,24,29,82.8,11,27,38,17,6,6,14,23,92,-9,0,96
193,Charlotte Bobcats,34,76,44.7,9,19,47.4,24,34,70.6,14,27,41,20,7,4,11,22,101,9,1,96
194,Indiana Pacers,35,85,41.2,8,21,38.1,12,18,66.7,13,34,47,17,6,7,17,26,90,-14,0,97
195,Washington Wizards,39,98,39.8,9,21,42.9,17,24,70.8,21,33,54,24,9,11,8,14,104,14,1,97
196,Boston Celtics,34,66,51.5,6,15,40.0,18,19,94.7,5,23,28,18,9,3,21,17,92,-12,0,98
197,Detroit Pistons,39,70,55.7,10,15,66.7,16,21,76.2,5,24,29,27,11,4,14,18,104,12,1,98
198,Denver Nuggets,39,85,45.9,8,22,36.4,33,43,76.7,13,21,34,25,13,4,12,21,119,6,0,99
199,Minnesota Timberwolves,42,86,48.8,7,17,41.2,22,25,88.0,13,29,42,29,6,6,19,26,113,-6,1,99
200,Los Angeles Lakers,41,70,58.6,5,17,29.4,16,20,80.0,10,34,44,25,7,3,20,23,103,15,0,100
201,New Orleans Hornets,33,79,41.8,4,16,25.0,18,22,81.8,6,18,24,18,8,4,14,26,88,-15,1,100
202,New Jersey Nets,34,71,47.9,2,7,28.6,23,27,85.2,7,28,35,14,9,7,23,24,93,-21,0,101
203,Oklahoma City Thunder,45,82,54.9,6,18,33.3,18,27,66.7,8,26,34,31,10,4,15,21,114,21,1,101
204,Miami Heat,43,74,58.1,5,16,31.3,34,37,91.9,4,36,40,20,3,9,16,26,125,6,0,102
205,Houston Rockets,39,93,41.9,9,27,33.3,32,40,80.0,16,28,44,29,11,0,6,23,119,-6,1,102
206,Philadelphia 76ers,45,82,54.9,3,10,30.0,30,35,85.7,12,34,46,18,6,2,10,16,123,13,0,103
207,Phoenix Suns,43,87,49.4,9,20,45.0,15,17,88.2,10,21,31,31,4,6,9,22,110,-13,1,103
208,Memphis Grizzlies,38,87,43.7,1,3,33.3,21,28,75.0,14,26,40,18,9,1,15,23,98,-2,0,104
209,Sacramento Kings,35,76,46.1,8,17,47.1,22,28,78.6,10,31,41,20,10,4,21,24,100,2,1,104
210,Utah Jazz,40,85,47.1,5,15,33.3,18,21,85.7,15,27,42,25,4,4,12,23,103,8,0,105
211,Los Angeles Clippers,35,72,48.6,8,22,36.4,17,26,65.4,10,24,34,23,4,10,13,20,95,-8,1,105
212,New York Knicks,38,82,46.3,8,22,36.4,19,26,73.1,11,24,35,20,5,8,15,27,103,-9,0,106
