,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
1608,Milwaukee Bucks,34,76,44.7,7,20,35.0,15,15,100.0,6,32,38,16,11,4,9,16,90,5,0,804
1609,Miami Heat,30,74,40.5,8,23,34.8,17,21,81.0,12,31,43,14,6,6,16,15,85,-6,1,804
1610,Phoenix Suns,44,84,52.4,5,23,21.7,15,18,83.3,7,37,44,26,9,3,14,14,108,10,0,805
1611,Minnesota Timberwolves,38,87,43.7,6,13,46.2,16,18,88.9,9,29,38,20,11,3,13,16,98,-10,1,805
1612,Houston Rockets,36,78,46.2,9,24,37.5,12,13,92.3,8,30,38,26,3,0,17,25,93,-8,0,806
1613,New Orleans Hornets,37,81,45.7,5,10,50.0,22,26,84.6,11,27,38,20,13,2,11,19,101,8,1,806
1614,Los Angeles Clippers,42,83,50.6,6,13,46.2,18,26,69.2,13,31,44,24,7,8,15,19,108,-4,0,807
1615,Oklahoma City Thunder,41,95,43.2,5,19,26.3,25,29,86.2,19,29,48,23,8,5,12,23,112,4,1,807
1616,Sacramento Kings,37,93,39.8,7,20,35.0,11,15,73.3,14,24,38,21,4,4,9,17,92,-32,0,808
1617,San Antonio Spurs,46,76,60.5,12,19,63.2,20,25,80.0,7,40,47,26,7,6,12,15,124,32,1,808
1618,Denver Nuggets,41,86,47.7,8,23,34.8,14,18,77.8,12,28,40,23,9,4,14,17,104,8,0,809
1619,Dallas Mavericks,39,80,48.7,5,22,22.7,13,20,65.0,15,30,45,20,9,9,16,18,96,-8,1,809
1620,Los Angeles Lakers,33,77,42.9,5,19,26.3,16,27,59.3,12,35,47,17,9,1,17,16,87,-8,0,810
1621,Golden State Warriors,36,93,38.7,7,25,28.0,16,19,84.2,18,32,50,23,10,2,11,18,95,8,1,810
1622,Boston Celtics,28,73,38.4,2,10,20.0,23,26,88.5,8,27,35,14,3,3,11,12,81,-16,0,811
1623,Chicago Bulls,37,78,47.4,9,22,40.9,14,15,93.3,9,35,44,21,9,5,12,21,97,16,1,811
1624,Portland Trail Blazers,36,79,45.6,8,18,44.4,18,19,94.7,13,28,41,24,6,3,10,19,98,11,0,812
1625,Utah Jazz,31,74,41.9,6,20,30.0,19,22,86.4,14,27,41,19,4,6,12,19,87,-11,1,812
1626,Atlanta Hawks,36,76,47.4,5,13,38.5,25,36,69.4,9,27,36,11,6,4,12,21,102,-12,0,813
1627,Indiana Pacers,42,86,48.8,4,13,30.8,26,33,78.8,15,34,49,23,9,2,11,23,114,12,1,813
1628,New York Knicks,43,87,49.4,15,36,41.7,15,19,78.9,11,37,48,27,10,4,16,18,116,23,0,814
1629,New Jersey Nets,39,82,47.6,6,19,31.6,9,15,60.0,6,32,38,22,8,5,16,19,93,-23,1,814
1630,Toronto Raptors,34,73,46.6,5,14,35.7,20,23,87.0,9,32,41,22,8,5,18,25,93,-5,0,815
1631,Philadelphia 76ers,36,75,48.0,3,11,27.3,23,31,74.2,5,25,30,20,9,5,11,18,98,5,1,815
1632,Washington Wizards,35,77,45.5,1,7,14.3,17,26,65.4,13,25,38,14,10,3,21,25,88,-16,0,816
1633,Boston Celtics,36,71,50.7,1,12,8.3,31,35,88.6,8,30,38,25,12,6,17,17,104,16,1,816
1634,Chicago Bulls,39,80,48.7,4,16,25.0,11,15,73.3,7,34,41,30,10,8,14,15,93,11,0,817
1635,Cleveland Cavaliers,36,82,43.9,2,15,13.3,8,11,72.7,9,30,39,14,7,3,16,19,82,-11,1,817
1636,Milwaukee Bucks,41,89,46.1,3,18,16.7,15,17,88.2,10,22,32,18,8,3,9,23,100,-10,0,818
1637,Detroit Pistons,40,80,50.0,2,11,18.2,28,31,90.3,15,34,49,21,3,4,14,14,110,10,1,818
1638,Charlotte Bobcats,41,86,47.7,5,16,31.3,16,21,76.2,11,22,33,17,10,4,10,25,103,-9,0,819
1639,Miami Heat,39,69,56.5,3,9,33.3,31,35,88.6,5,29,34,26,7,4,16,20,112,9,1,819
1640,Sacramento Kings,40,95,42.1,3,18,16.7,13,18,72.2,16,33,49,18,4,4,16,26,96,-5,0,820
