,Visitor,VisitorScore,Home,HomeScore,Date
0,Celtics,99,Cavaliers,102,10/17/2017
1,Rockets,122,Warriors,121,10/17/2017
2,Hornets,90,Pistons,102,10/18/2017
3,Nets,131,Pacers,140,10/18/2017
4,Heat,109,Magic,116,10/18/2017
5,76ers,115,Wizards,120,10/18/2017
6,Bucks,108,Celtics,100,10/18/2017
7,Pelicans,91,Grizzlies,103,10/18/2017
8,Hawks,117,Mavericks,111,10/18/2017
9,Nuggets,96,Jazz,106,10/18/2017
10,Timberwolves,99,Spurs,107,10/18/2017
11,Trail Blazers,124,Suns,76,10/18/2017
12,Rockets,105,Kings,100,10/18/2017
13,Bulls,100,Raptors,117,10/19/2017
14,Knicks,84,Thunder,105,10/19/2017
15,Clippers,108,Lakers,92,10/19/2017
16,Hawks,91,Hornets,109,10/20/2017
17,Trail Blazers,114,Pacers,96,10/20/2017
18,Celtics,102,76ers,92,10/20/2017
19,Pistons,111,Wizards,115,10/20/2017
20,Cavaliers,116,Bucks,97,10/20/2017
21,Magic,121,Nets,126,10/20/2017
22,Jazz,97,Timberwolves,100,10/20/2017
23,Kings,93,Mavericks,88,10/20/2017
24,Warriors,128,Pelicans,120,10/20/2017
25,Lakers,132,Suns,130,10/20/2017
26,76ers,94,Raptors,128,10/21/2017
27,Magic,114,Cavaliers,93,10/21/2017
28,Pacers,108,Heat,112,10/21/2017
29,Pistons,111,Knicks,107,10/21/2017
30,Spurs,87,Bulls,77,10/21/2017
31,Mavericks,91,Rockets,107,10/21/2017
32,Warriors,101,Grizzlies,111,10/21/2017
33,Trail Blazers,110,Bucks,113,10/21/2017
34,Kings,79,Nuggets,96,10/21/2017
35,Thunder,87,Jazz,96,10/21/2017
36,Suns,88,Clippers,130,10/21/2017
37,Hawks,104,Nets,116,10/22/2017
38,Timberwolves,115,Thunder,113,10/22/2017
39,Pelicans,119,Lakers,112,10/22/2017
40,76ers,97,Pistons,86,10/23/2017
41,Hawks,93,Heat,104,10/23/2017
42,Grizzlies,98,Rockets,90,10/23/2017
