,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
487,Clippers,33,72,45.8,8,19,42.1,23,30,76.7,14,25,39,24,4,3,17,22,97,-12,1,243
488,Trail Blazers,33,78,42.3,7,13,53.8,23,30,76.7,12,24,36,19,8,6,12,23,96,-2,0,244
489,Nets,31,59,52.5,7,14,50.0,29,35,82.9,3,30,33,22,5,5,16,25,98,2,1,244
490,Thunder,39,79,49.4,5,12,41.7,15,23,65.2,11,25,36,19,9,5,10,22,98,-1,0,245
491,Rockets,38,84,45.2,10,17,58.8,13,20,65.0,16,28,44,26,5,5,11,16,99,1,1,245
492,Suns,52,102,51.0,13,32,40.6,16,24,66.7,13,29,42,34,3,5,6,31,133,-5,0,246
493,Nuggets,43,83,51.8,16,30,53.3,36,52,69.2,15,34,49,28,5,7,10,26,138,5,1,246
494,Pacers,38,88,43.2,4,23,17.4,15,19,78.9,15,33,48,26,7,6,14,22,95,3,0,247
495,Lakers,34,88,38.6,7,23,30.4,17,21,81.0,14,31,45,21,8,5,14,17,92,-3,1,247
496,Wizards,35,84,41.7,3,17,17.6,21,29,72.4,11,28,39,14,6,5,13,31,94,-11,0,248
497,Heat,34,74,45.9,4,12,33.3,33,42,78.6,9,36,45,15,6,6,15,21,105,11,1,248
498,Pelicans,36,82,43.9,6,14,42.9,11,17,64.7,5,31,36,21,11,4,13,26,89,-6,0,249
499,Thunder,31,82,37.8,7,20,35.0,26,29,89.7,16,40,56,17,10,9,18,17,95,6,1,249
500,Rockets,29,81,35.8,9,23,39.1,24,28,85.7,11,28,39,22,8,5,13,17,91,-10,0,250
501,Mavericks,39,79,49.4,6,16,37.5,17,19,89.5,9,38,47,23,4,5,15,18,101,10,1,250
502,Bucks,26,75,34.7,10,23,43.5,26,34,76.5,9,17,26,16,11,2,12,15,88,-21,0,251
503,Jazz,46,84,54.8,5,17,29.4,12,14,85.7,16,32,48,28,8,10,18,30,109,21,1,251
504,Celtics,44,87,50.6,5,13,38.5,13,23,56.5,8,41,49,29,7,8,13,19,106,19,0,252
505,Cavaliers,32,82,39.0,5,15,33.3,18,24,75.0,10,35,45,19,10,6,14,22,87,-19,1,252
506,Pistons,32,75,42.7,4,16,25.0,11,12,91.7,8,28,36,22,9,5,13,20,79,-11,0,253
507,Magic,34,73,46.6,10,24,41.7,12,18,66.7,10,31,41,20,7,3,13,12,90,11,1,253
508,Trail Blazers,30,81,37.0,5,18,27.8,14,17,82.4,15,30,45,19,7,3,16,17,79,-9,0,254
509,76ers,31,66,47.0,6,14,42.9,20,26,76.9,6,34,40,22,9,2,13,18,88,9,1,254
510,Nets,38,82,46.3,7,14,50.0,17,22,77.3,9,28,37,17,4,5,11,24,100,-11,0,255
511,Knicks,41,80,51.2,4,19,21.1,25,29,86.2,8,34,42,21,6,6,12,17,111,11,1,255
512,Lakers,34,78,43.6,7,22,31.8,21,25,84.0,13,29,42,16,5,7,14,23,96,-2,0,256
513,Grizzlies,39,80,48.7,8,12,66.7,12,16,75.0,5,24,29,16,4,11,6,20,98,2,1,256
514,Pacers,36,79,45.6,6,19,31.6,29,34,85.3,6,35,41,22,8,6,12,26,107,9,0,257
515,Kings,39,88,44.3,5,20,25.0,15,23,65.2,14,33,47,17,4,3,14,29,98,-9,1,257
516,Spurs,42,91,46.2,7,21,33.3,27,31,87.1,13,37,50,31,13,3,11,18,118,20,0,258
517,Warriors,41,87,47.1,5,18,27.8,11,18,61.1,10,34,44,20,5,4,16,18,98,-20,1,258
518,Grizzlies,44,84,52.4,3,10,30.0,18,24,75.0,12,28,40,24,5,5,13,26,109,-3,0,259
519,Hawks,42,79,53.2,7,12,58.3,21,26,80.8,8,20,28,33,6,4,11,20,112,3,1,259
520,Thunder,43,101,42.6,5,12,41.7,32,41,78.0,12,38,50,19,10,5,13,31,123,3,0,260
521,Nets,43,93,46.2,8,16,50.0,26,32,81.3,10,35,45,17,6,6,15,30,120,-3,1,260
522,Wizards,38,83,45.8,3,9,33.3,29,41,70.7,9,21,30,22,8,5,11,22,108,-19,0,261
523,Raptors,51,88,58.0,6,11,54.5,19,27,70.4,14,38,52,28,6,7,11,29,127,19,1,261
