,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
431,Montrezl Harrell,LA Clippers,7:29,2,3,66.7,0,0,0,0,0,0,1,1,2,1,0,1,0,0,4,11,36,10/21/2017
432,Taurean Prince,Atlanta Hawks,22:40,3,8,37.5,1,1,100,2,2,100,1,0,1,1,1,0,3,3,9,-9,37,10/22/2017
433,Dewayne Dedmon,Atlanta Hawks,20:42,3,5,60,1,3,33.3,0,0,0,1,6,7,0,1,0,0,4,7,-8,37,10/22/2017
434,Kent Bazemore,Atlanta Hawks,31:43:00,4,12,33.3,0,3,0,8,8,100,0,3,3,3,0,1,5,3,16,-3,37,10/22/2017
435,Dennis Schroder,Atlanta Hawks,31:18:00,5,22,22.7,0,4,0,7,7,100,3,1,4,8,2,0,2,3,17,-12,37,10/22/2017
436,John Collins,Atlanta Hawks,21:00,5,11,45.5,0,0,0,4,4,100,6,7,13,0,0,1,2,5,14,1,37,10/22/2017
437,Mike Muscala,Atlanta Hawks,25:19:00,3,6,50,0,1,0,2,3,66.7,3,3,6,1,0,0,1,1,8,-2,37,10/22/2017
438,Caris LeVert,Brooklyn Nets,30:04:00,5,9,55.6,0,2,0,6,9,66.7,0,6,6,4,3,0,4,5,16,6,37,10/22/2017
439,D'Angelo Russell,Brooklyn Nets,29:07:00,6,13,46.2,1,3,33.3,3,4,75,1,6,7,10,1,0,4,3,16,11,37,10/22/2017
440,Spencer Dinwiddie,Brooklyn Nets,18:53,2,6,33.3,1,3,33.3,0,0,0,1,2,3,5,1,0,0,0,5,1,37,10/22/2017
441,Joe Harris,Brooklyn Nets,17:18,2,5,40,2,3,66.7,0,0,0,0,3,3,1,1,1,1,3,6,-2,37,10/22/2017
442,Jarrett Allen,Brooklyn Nets,14:45,1,5,20,0,1,0,2,4,50,3,1,4,0,0,4,0,2,4,0,37,10/22/2017
443,Andrew Wiggins,Minnesota Timberwolves,39:24:00,10,20,50,2,7,28.6,5,8,62.5,1,6,7,4,2,0,1,2,27,15,38,10/22/2017
