,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
26,Chicago Bulls,37,89,41.6,10,32,31.3,16,18,88.9,10,29,39,22,7,2,19,23,100,-17,0,0
27,Toronto Raptors,39,83,47,13,29,44.8,26,28,92.9,13,36,49,26,10,4,17,19,117,17,1,0
28,New York Knicks,32,79,40.5,7,24,29.2,13,19,68.4,11,30,41,19,8,4,25,23,84,-21,0,1
29,Oklahoma City Thunder,39,90,43.3,11,38,28.9,16,22,72.7,13,28,41,26,14,7,18,22,105,21,1,1
30,LA Clippers,42,107,39.3,12,33,36.4,12,13,92.3,17,42,59,23,12,3,14,20,108,16,0,2
31,Los Angeles Lakers,37,91,40.7,4,16,25,14,23,60.9,12,40,52,21,8,7,19,15,92,-16,1,2
32,Atlanta Hawks,36,95,37.9,7,30,23.3,12,14,85.7,6,32,38,19,11,4,13,29,91,-18,0,0
33,Charlotte Hornets,37,86,43,11,36,30.6,24,30,80,12,45,57,17,5,4,21,18,109,18,1,0
34,Portland Trail Blazers,46,95,48.4,9,19,47.4,13,17,76.5,11,40,51,19,5,6,9,26,114,18,0,1
35,Indiana Pacers,35,78,44.9,4,18,22.2,22,33,66.7,6,33,39,15,1,4,12,17,96,-18,1,1
36,Boston Celtics,35,84,41.7,10,29,34.5,22,32,68.8,14,41,55,16,4,5,19,24,102,10,0,2
37,Philadelphia 76ers,35,92,38,10,32,31.3,12,16,75,14,33,47,20,7,4,16,30,92,-10,1,2
38,Detroit Pistons,43,87,49.4,10,23,43.5,15,20,75,10,23,33,19,12,1,19,32,111,-4,0,3
39,Washington Wizards,40,75,53.3,6,17,35.3,29,35,82.9,7,30,37,25,12,7,16,18,115,4,1,3
40,Cleveland Cavaliers,44,81,54.3,11,26,42.3,17,17,100,9,35,44,25,8,3,17,11,116,19,0,4
41,Milwaukee Bucks,38,82,46.3,11,35,31.4,10,12,83.3,8,22,30,23,9,2,14,17,97,-19,1,4
42,Orlando Magic,45,89,50.6,18,33,54.5,13,15,86.7,9,31,40,30,9,3,22,27,121,-5,0,5
43,Brooklyn Nets,46,92,50,9,27,33.3,25,35,71.4,15,33,48,22,13,6,18,17,126,5,1,5
44,Utah Jazz,37,77,48.1,9,22,40.9,14,17,82.4,7,31,38,23,10,8,19,21,97,-3,0,6
45,Minnesota Timberwolves,36,81,44.4,7,22,31.8,21,26,80.8,10,34,44,17,11,2,15,17,100,3,1,6
46,Sacramento Kings,37,87,42.5,10,23,43.5,9,13,69.2,16,41,57,20,8,3,14,18,93,5,0,7
47,Dallas Mavericks,31,75,41.3,11,33,33.3,15,21,71.4,7,29,36,19,8,7,12,13,88,-5,1,7
48,Golden State Warriors,47,91,51.6,18,40,45,16,20,80,10,39,49,29,6,8,18,23,128,8,0,8
49,New Orleans Pelicans,45,98,45.9,16,36,44.4,14,22,63.6,16,34,50,26,8,4,17,19,120,-8,1,8
50,Los Angeles Lakers,48,93,51.6,12,26,46.2,24,33,72.7,5,37,42,22,8,3,18,31,132,2,0,9
51,Phoenix Suns,45,92,48.9,14,29,48.3,26,38,68.4,10,40,50,17,8,9,19,25,130,-2,1,9
52,Philadelphia 76ers,32,82,39,8,24,33.3,22,36,61.1,8,33,41,18,5,4,20,26,94,-34,0,0
53,Toronto Raptors,42,89,47.2,13,44,29.5,31,37,83.8,8,43,51,23,5,10,13,29,128,34,1,0
54,Orlando Magic,40,90,44.4,17,35,48.6,17,20,85,12,38,50,28,7,6,12,28,114,21,0,1
55,Cleveland Cavaliers,33,86,38.4,7,25,28,20,27,74.1,11,33,44,15,4,7,16,14,93,-21,1,1
56,Indiana Pacers,43,96,44.8,7,19,36.8,15,21,71.4,13,32,45,18,9,4,10,18,108,-4,0,2
57,Miami Heat,45,87,51.7,14,34,41.2,8,14,57.1,6,39,45,24,6,11,14,19,112,4,1,2
58,Detroit Pistons,44,91,48.4,9,30,30,14,15,93.3,15,28,43,21,5,2,12,25,111,4,0,3
59,New York Knicks,37,81,45.7,8,30,26.7,25,31,80.6,12,27,39,20,6,2,12,21,107,-4,1,3
60,San Antonio Spurs,38,93,40.9,1,12,8.3,10,16,62.5,14,38,52,25,8,3,11,14,87,10,0,4
61,Chicago Bulls,31,82,37.8,8,28,28.6,7,9,77.8,8,40,48,18,3,5,19,15,77,-10,1,4
62,Dallas Mavericks,31,84,36.9,13,31,41.9,16,21,76.2,8,33,41,19,6,0,14,19,91,-16,0,5
63,Houston Rockets,39,82,47.6,11,47,23.4,18,22,81.8,8,46,54,17,12,4,13,24,107,16,1,5
64,Golden State Warriors,33,84,39.3,12,38,31.6,23,27,85.2,12,34,46,20,10,7,17,28,101,-10,0,6
65,Memphis Grizzlies,36,77,46.8,10,27,37,29,37,78.4,6,34,40,20,8,4,14,25,111,10,1,6
66,Portland Trail Blazers,34,81,42,11,28,39.3,31,35,88.6,13,29,42,18,10,6,16,22,110,-3,0,7
67,Milwaukee Bucks,42,80,52.5,7,18,38.9,22,30,73.3,7,28,35,22,9,8,14,23,113,3,1,7
68,Sacramento Kings,31,85,36.5,8,22,36.4,9,13,69.2,12,27,39,15,6,3,13,21,79,-17,0,8
69,Denver Nuggets,37,85,43.5,10,30,33.3,12,20,60,18,40,58,25,7,2,16,19,96,17,1,8
70,Oklahoma City Thunder,32,78,41,11,33,33.3,12,19,63.2,8,30,38,15,14,4,17,16,87,-9,0,9
71,Utah Jazz,38,77,49.4,9,29,31,11,14,78.6,7,34,41,22,11,4,18,21,96,9,1,9
72,Phoenix Suns,27,71,38,6,24,25,28,38,73.7,4,32,36,19,8,3,19,27,88,-42,0,10
73,LA Clippers,48,88,54.5,12,26,46.2,22,30,73.3,10,42,52,26,12,2,12,32,130,42,1,10
74,Atlanta Hawks,32,94,34,7,27,25.9,33,36,91.7,16,32,48,21,6,2,16,25,104,-12,0,0
75,Brooklyn Nets,41,87,47.1,11,27,40.7,23,34,67.6,13,38,51,27,12,8,18,27,116,12,1,0
76,Minnesota Timberwolves,43,86,50,10,25,40,19,23,82.6,10,35,45,25,5,1,17,17,115,2,0,1
77,Oklahoma City Thunder,46,96,47.9,11,31,35.5,10,16,62.5,9,27,36,26,9,6,11,22,113,-2,1,1
78,New Orleans Pelicans,47,83,56.6,10,32,31.3,15,21,71.4,6,36,42,26,14,5,18,20,119,7,0,2
79,Los Angeles Lakers,44,90,48.9,9,27,33.3,15,20,75,9,29,38,27,7,6,17,24,112,-7,1,2
80,Philadelphia 76ers,35,75,46.7,9,24,37.5,18,24,75,8,41,49,25,11,0,21,24,97,11,0,0
81,Detroit Pistons,33,85,38.8,6,30,20,14,19,73.7,9,30,39,14,5,2,14,21,86,-11,1,0
82,Atlanta Hawks,36,76,47.4,7,17,41.2,14,18,77.8,6,35,41,14,9,1,20,17,93,-11,0,1
83,Miami Heat,39,85,45.9,14,37,37.8,12,18,66.7,10,31,41,21,12,6,19,19,104,11,1,1
84,Memphis Grizzlies,29,68,42.6,6,19,31.6,34,37,91.9,3,35,38,16,5,2,12,21,98,8,0,2
85,Houston Rockets,32,77,41.6,9,38,23.7,17,23,73.9,9,30,39,25,5,2,16,31,90,-8,1,2
86,Charlotte Hornets,33,78,42.3,7,26,26.9,21,36,58.3,10,38,48,17,3,5,14,21,94,-9,0,3
87,Milwaukee Bucks,40,85,47.1,9,26,34.6,14,16,87.5,5,37,42,24,8,4,13,27,103,9,1,3
88,Golden State Warriors,48,86,55.8,15,39,38.5,22,26,84.6,10,40,50,33,6,8,16,23,133,30,0,4
89,Dallas Mavericks,38,96,39.6,9,29,31,18,30,60,14,28,42,21,11,0,12,20,103,-30,1,4
90,Toronto Raptors,34,80,42.5,10,37,27,19,24,79.2,5,29,34,17,11,4,14,30,97,-4,0,5
91,San Antonio Spurs,40,90,44.4,5,20,25,16,23,69.6,18,37,55,19,4,12,20,22,101,4,1,5
92,Washington Wizards,37,84,44,9,30,30,26,28,92.9,10,28,38,24,13,3,15,24,109,5,0,6
93,Denver Nuggets,39,80,48.7,8,23,34.8,18,23,78.3,9,35,44,27,5,2,23,22,104,-5,1,6
94,Sacramento Kings,43,99,43.4,9,22,40.9,20,29,69,13,24,37,19,13,2,9,25,115,-2,0,7
95,Phoenix Suns,42,77,54.5,10,30,33.3,23,27,85.2,6,39,45,20,6,5,20,25,117,2,1,7
96,Chicago Bulls,42,88,47.7,17,33,51.5,11,13,84.6,8,31,39,28,3,3,9,20,112,-7,0,0
97,Cleveland Cavaliers,43,83,51.8,16,38,42.1,17,22,77.3,8,31,39,28,5,3,9,14,119,7,1,0
98,Brooklyn Nets,40,96,41.7,11,35,31.4,30,34,88.2,14,35,49,21,8,4,15,27,121,-4,0,1
99,Orlando Magic,41,83,49.4,8,23,34.8,35,40,87.5,6,38,44,20,8,5,11,23,125,4,1,1
100,New York Knicks,36,85,42.4,1,12,8.3,16,25,64,11,32,43,20,8,2,14,17,89,-21,0,2
101,Boston Celtics,37,75,49.3,14,29,48.3,22,27,81.5,5,36,41,26,11,7,12,24,110,21,1,2
102,Indiana Pacers,56,84,66.7,10,22,45.5,8,11,72.7,8,34,42,31,8,2,17,21,130,23,0,3
103,Minnesota Timberwolves,42,86,48.8,9,24,37.5,14,22,63.6,9,18,27,27,9,4,14,14,107,-23,1,3
104,New Orleans Pelicans,30,76,39.5,9,30,30,24,32,75,4,38,42,17,5,7,17,26,93,-10,0,4
105,Portland Trail Blazers,33,88,37.5,10,29,34.5,27,33,81.8,18,45,63,17,7,7,18,22,103,10,1,4
106,Utah Jazz,34,79,43,7,28,25,9,11,81.8,8,33,41,20,7,7,18,23,84,-18,0,5
107,LA Clippers,39,83,47,10,29,34.5,14,21,66.7,11,33,44,21,12,4,13,16,102,18,1,5
108,Denver Nuggets,38,100,38,8,31,25.8,9,15,60,18,33,51,18,6,1,13,23,93,-17,0,0
109,Charlotte Hornets,38,81,46.9,13,31,41.9,21,26,80.8,10,40,50,17,5,5,14,16,110,17,1,0
110,Minnesota Timberwolves,37,85,43.5,9,25,36,18,21,85.7,7,30,37,19,5,4,14,19,101,-21,0,1
111,Detroit Pistons,48,92,52.2,15,34,44.1,11,17,64.7,12,35,47,32,7,3,14,22,122,21,1,1
112,Houston Rockets,36,75,48,12,39,30.8,21,24,87.5,7,33,40,22,11,13,19,13,105,1,0,2
113,Philadelphia 76ers,43,97,44.3,12,36,33.3,6,10,60,12,31,43,29,14,7,14,19,104,-1,1,2
114,Cleveland Cavaliers,39,81,48.1,12,35,34.3,17,26,65.4,9,38,47,21,5,7,21,17,107,-5,0,3
115,Brooklyn Nets,40,93,43,17,46,37,15,21,71.4,10,28,38,22,11,3,12,22,112,5,1,3
116,San Antonio Spurs,42,76,55.3,10,17,58.8,23,30,76.7,8,36,44,18,6,3,13,20,117,17,0,4
117,Miami Heat,37,80,46.3,9,26,34.6,17,18,94.4,4,28,32,19,6,2,9,25,100,-17,1,4
118,Indiana Pacers,28,83,33.7,10,29,34.5,30,35,85.7,14,27,41,13,13,2,19,23,96,-18,0,5
119,Oklahoma City Thunder,43,89,48.3,10,27,37,18,26,69.2,16,33,49,26,8,8,21,27,114,18,1,5
120,Memphis Grizzlies,33,72,45.8,12,31,38.7,16,24,66.7,6,30,36,14,7,2,17,22,94,-9,0,6
121,Dallas Mavericks,36,74,48.6,11,26,42.3,20,29,69,4,31,35,20,6,4,11,20,103,9,1,6
122,Utah Jazz,32,77,41.6,6,25,24,18,25,72,7,37,44,20,8,10,23,19,88,-9,0,7
123,Phoenix Suns,42,96,43.8,6,19,31.6,7,9,77.8,16,39,55,18,8,5,16,25,97,9,1,7
124,Toronto Raptors,43,94,45.7,8,34,23.5,18,19,94.7,17,25,42,30,10,6,16,16,112,-5,0,8
125,Golden State Warriors,43,77,55.8,12,26,46.2,19,22,86.4,6,31,37,32,10,7,17,15,117,5,1,8
126,Washington Wizards,39,95,41.1,6,26,23.1,15,23,65.2,7,38,45,20,11,5,13,19,99,-3,0,9
127,Los Angeles Lakers,41,92,44.6,7,30,23.3,13,16,81.3,6,47,53,27,9,5,21,26,102,3,1,9
128,Atlanta Hawks,32,81,39.5,11,28,39.3,11,13,84.6,7,33,40,22,10,5,10,23,86,-5,0,0
129,Chicago Bulls,31,86,36,7,32,21.9,22,29,75.9,18,44,62,20,5,4,13,15,91,5,1,0
130,Dallas Mavericks,32,94,34,10,34,29.4,17,20,85,18,35,53,20,10,3,14,22,91,-5,0,1
131,Memphis Grizzlies,30,73,41.1,10,34,29.4,26,30,86.7,9,37,46,18,7,6,18,23,96,5,1,1
132,Boston Celtics,33,78,42.3,11,30,36.7,19,22,86.4,6,39,45,21,7,4,15,14,96,7,0,2
133,Milwaukee Bucks,35,77,45.5,11,25,44,8,14,57.1,2,35,37,22,6,3,16,20,89,-7,1,2
134,LA Clippers,36,77,46.8,9,28,32.1,23,36,63.9,14,32,46,11,4,5,11,19,104,1,0,3
135,Portland Trail Blazers,35,89,39.3,14,31,45.2,19,22,86.4,16,28,44,19,5,4,9,26,103,-1,1,3
136,New Orleans Pelicans,42,86,48.8,13,32,40.6,17,23,73.9,10,37,47,22,5,3,15,24,114,8,0,4
137,Sacramento Kings,38,81,46.9,7,20,35,23,25,92,5,29,34,25,7,5,12,17,106,-8,1,4
138,Houston Rockets,38,85,44.7,22,57,38.6,11,13,84.6,7,44,51,21,5,6,15,26,109,16,0,0
139,Charlotte Hornets,33,88,37.5,11,29,37.9,16,28,57.1,11,33,44,16,6,5,9,14,93,-16,1,0
140,San Antonio Spurs,30,89,33.7,4,24,16.7,23,27,85.2,17,32,49,19,8,8,17,15,87,-27,0,1
141,Orlando Magic,48,84,57.1,11,23,47.8,7,14,50,6,39,45,22,9,7,17,24,114,27,1,1
142,Denver Nuggets,42,91,46.2,4,20,20,17,23,73.9,11,35,46,25,8,4,11,12,105,5,0,2
143,Atlanta Hawks,37,89,41.6,14,33,42.4,12,12,100,11,32,43,23,7,4,12,21,100,-5,1,2
144,Brooklyn Nets,30,75,40,11,30,36.7,15,21,71.4,5,30,35,18,5,1,16,20,86,-21,0,3
145,New York Knicks,44,98,44.9,9,27,33.3,10,17,58.8,19,36,55,19,7,6,11,19,107,21,1,3
146,Oklahoma City Thunder,43,86,50,8,28,28.6,22,25,88,11,24,35,19,8,9,14,29,116,-3,0,4
147,Minnesota Timberwolves,42,86,48.8,8,22,36.4,27,35,77.1,17,27,44,23,5,7,15,21,119,3,1,4
148,Washington Wizards,43,97,44.3,15,33,45.5,16,22,72.7,12,29,41,30,7,6,14,21,117,-3,0,5
149,Golden State Warriors,46,95,48.4,10,38,26.3,18,20,90,15,38,53,33,7,13,17,20,120,3,1,5
150,Toronto Raptors,40,93,43,7,29,24.1,14,20,70,9,31,40,27,12,4,12,24,101,9,0,6
151,Los Angeles Lakers,36,79,45.6,3,23,13,17,24,70.8,9,40,49,20,7,6,21,22,92,-9,1,6
152,Cleveland Cavaliers,36,78,46.2,12,32,37.5,17,23,73.9,5,32,37,19,8,2,18,19,101,-22,0,0
153,New Orleans Pelicans,49,95,51.6,13,33,39.4,12,16,75,10,37,47,33,10,4,11,20,123,22,1,0
154,Boston Celtics,34,81,42,6,23,26.1,22,26,84.6,11,30,41,15,11,5,12,14,96,6,0,1
155,Miami Heat,34,79,43,7,31,22.6,15,16,93.8,6,34,40,17,6,9,19,23,90,-6,1,1
156,Oklahoma City Thunder,39,88,44.3,13,34,38.2,10,14,71.4,11,41,52,28,16,8,11,17,101,32,0,2
157,Chicago Bulls,22,78,28.2,10,37,27,15,20,75,12,35,47,16,9,5,19,16,69,-32,1,2
158,Houston Rockets,29,77,37.7,14,38,36.8,17,21,81,8,35,43,18,4,3,17,23,89,-14,0,3
159,Memphis Grizzlies,40,85,47.1,14,33,42.4,9,12,75,6,36,42,26,10,6,9,20,103,14,1,3
160,Philadelphia 76ers,43,87,49.4,16,35,45.7,10,14,71.4,11,31,42,25,10,1,13,21,112,2,0,4
161,Dallas Mavericks,38,74,51.4,19,40,47.5,15,19,78.9,3,30,33,22,7,2,17,15,110,-2,1,4
162,Los Angeles Lakers,31,81,38.3,5,22,22.7,14,20,70,14,25,39,17,12,4,16,20,81,-15,0,5
163,Utah Jazz,37,79,46.8,13,31,41.9,9,13,69.2,14,35,49,18,9,5,21,20,96,15,1,5
164,Phoenix Suns,37,87,42.5,9,26,34.6,24,30,80,12,34,46,21,12,7,17,23,107,-7,0,6
165,Portland Trail Blazers,40,91,44,11,26,42.3,23,28,82.1,12,41,53,27,8,7,14,26,114,7,1,6
166,Detroit Pistons,36,88,40.9,9,28,32.1,14,21,66.7,12,38,50,16,11,6,12,20,95,8,0,7
167,LA Clippers,28,84,33.3,15,38,39.5,16,22,72.7,15,36,51,19,6,6,18,18,87,-8,1,7
168,Milwaukee Bucks,44,81,54.3,13,26,50,16,21,76.2,5,38,43,30,9,3,14,27,117,11,0,0
169,Atlanta Hawks,36,77,46.8,13,29,44.8,21,26,80.8,3,28,31,27,9,2,16,21,106,-11,1,0
170,San Antonio Spurs,36,90,40,9,28,32.1,13,18,72.2,12,32,44,19,12,8,15,11,94,-3,0,1
171,Indiana Pacers,36,77,46.8,10,22,45.5,15,20,75,6,38,44,21,9,3,19,20,97,3,1,1
172,Denver Nuggets,47,94,50,11,20,55,19,22,86.4,4,42,46,23,7,7,6,22,124,13,0,2
173,Brooklyn Nets,39,96,40.6,12,31,38.7,21,31,67.7,17,39,56,24,5,4,15,18,111,-13,1,2
174,Orlando Magic,41,97,42.3,11,33,33.3,20,26,76.9,9,30,39,28,11,4,11,20,113,-7,0,3
175,Charlotte Hornets,53,97,54.6,6,18,33.3,8,17,47.1,12,47,59,31,6,7,17,24,120,7,1,3
176,Washington Wizards,40,85,47.1,17,34,50,13,20,65,13,36,49,28,9,3,15,18,110,27,0,4
177,Sacramento Kings,32,82,39,6,22,27.3,13,16,81.3,11,32,43,13,8,2,17,20,83,-27,1,4
178,New York Knicks,42,89,47.2,13,28,46.4,17,21,81,11,40,51,27,9,6,14,26,114,19,0,5
179,Cleveland Cavaliers,31,81,38.3,10,33,30.3,23,27,85.2,7,34,41,20,5,5,15,23,95,-19,1,5
180,Detroit Pistons,43,93,46.2,12,27,44.4,17,17,100,17,20,37,22,16,0,13,9,115,8,0,6
181,Golden State Warriors,44,77,57.1,10,27,37,9,12,75,10,30,40,29,3,11,25,14,107,-8,1,6
182,San Antonio Spurs,36,87,41.4,12,26,46.2,10,20,50,12,28,40,24,8,4,11,14,94,-14,0,0
183,Boston Celtics,42,88,47.7,11,31,35.5,13,16,81.3,15,39,54,24,10,6,13,22,108,14,1,0
184,Minnesota Timberwolves,41,91,45.1,11,23,47.8,32,35,91.4,10,30,40,20,16,4,16,25,125,3,0,1
185,Miami Heat,49,93,52.7,7,27,25.9,17,25,68,15,35,50,17,8,5,24,28,122,-3,1,1
186,Denver Nuggets,35,85,41.2,18,41,43.9,22,31,71,13,23,36,20,13,5,13,22,110,-6,0,2
187,New York Knicks,41,82,50,13,32,40.6,21,23,91.3,11,38,49,27,8,10,22,27,116,6,1,2
188,Philadelphia 76ers,44,80,55,10,24,41.7,17,24,70.8,7,41,48,27,10,4,19,31,115,8,0,3
189,Houston Rockets,33,83,39.8,13,47,27.7,28,38,73.7,10,25,35,17,12,3,15,23,107,-8,1,3
190,Charlotte Hornets,37,89,41.6,7,17,41.2,23,29,79.3,10,46,56,15,3,7,11,22,104,5,0,4
191,Memphis Grizzlies,32,93,34.4,8,35,22.9,27,33,81.8,11,37,48,17,7,8,7,22,99,-5,1,4
192,Orlando Magic,43,85,50.6,16,34,47.1,13,18,72.2,6,37,43,27,10,1,16,19,115,16,0,5
193,New Orleans Pelicans,39,85,45.9,7,28,25,14,18,77.8,9,34,43,30,9,5,19,22,99,-16,1,5
194,Dallas Mavericks,34,76,44.7,12,24,50,9,11,81.8,9,33,42,17,4,3,24,16,89,-15,0,6
195,Utah Jazz,38,81,46.9,16,35,45.7,12,15,80,6,29,35,25,16,8,14,17,104,15,1,6
196,Toronto Raptors,39,87,44.8,8,24,33.3,13,17,76.5,8,39,47,17,10,9,9,14,99,14,0,7
197,Portland Trail Blazers,31,80,38.8,8,26,30.8,15,19,78.9,6,32,38,13,5,7,13,15,85,-14,1,7
198,Golden State Warriors,52,89,58.4,14,29,48.3,23,30,76.7,14,32,46,37,8,8,12,23,141,28,0,8
199,LA Clippers,39,86,45.3,10,25,40,25,30,83.3,9,26,35,21,4,3,12,20,113,-28,1,8
200,Sacramento Kings,37,88,42,2,14,14.3,7,14,50,8,36,44,15,8,5,14,18,83,-18,0,0
201,Indiana Pacers,36,85,42.4,12,29,41.4,17,22,77.3,14,39,53,25,8,7,14,17,101,18,1,0
202,Phoenix Suns,45,96,46.9,10,22,45.5,22,24,91.7,10,56,66,18,5,5,18,26,122,8,0,1
203,Brooklyn Nets,42,102,41.2,9,31,29,21,30,70,7,37,44,15,9,4,7,22,114,-8,1,1
204,Oklahoma City Thunder,40,81,49.4,12,28,42.9,18,21,85.7,9,37,46,24,6,3,15,20,110,19,0,2
205,Milwaukee Bucks,32,77,41.6,9,31,29,18,22,81.8,4,27,31,24,8,4,14,22,91,-19,1,2
206,Detroit Pistons,41,94,43.6,10,33,30.3,1,3,33.3,10,34,44,21,7,3,12,11,93,-20,0,3
207,Los Angeles Lakers,45,91,49.5,12,26,46.2,11,14,78.6,11,42,53,30,9,5,14,14,113,20,1,3
208,Milwaukee Bucks,45,91,49.5,19,36,52.8,12,15,80,9,31,40,29,3,3,14,25,121,-5,0,0
209,Charlotte Hornets,45,84,53.6,14,25,56,22,29,75.9,7,34,41,21,5,3,11,18,126,5,1,0
210,Indiana Pacers,49,90,54.4,16,26,61.5,10,13,76.9,8,35,43,35,9,1,11,23,124,17,0,1
211,Cleveland Cavaliers,43,86,50,7,31,22.6,14,20,70,8,33,41,25,6,3,16,19,107,-17,1,1
212,Atlanta Hawks,41,94,43.6,8,23,34.8,19,27,70.4,12,37,49,22,11,4,18,28,109,-10,0,2
213,Philadelphia 76ers,46,99,46.5,13,35,37.1,14,25,56,15,38,53,36,10,4,16,26,119,10,1,2
214,Phoenix Suns,41,83,49.4,9,24,37.5,31,38,81.6,11,34,45,23,5,5,9,24,122,6,0,3
215,Washington Wizards,41,92,44.6,10,30,33.3,24,30,80,15,30,45,20,5,4,12,28,116,-6,1,3
216,Sacramento Kings,35,81,43.2,6,20,30,10,12,83.3,7,19,26,24,10,5,15,18,86,-27,0,4
217,Boston Celtics,40,82,48.8,17,41,41.5,16,19,84.2,16,36,52,30,10,3,15,19,113,27,1,4
218,Chicago Bulls,36,89,40.4,7,28,25,12,19,63.2,7,47,54,20,7,6,12,19,91,-6,0,5
219,Miami Heat,34,83,41,12,31,38.7,17,19,89.5,3,45,48,21,8,0,11,19,97,6,1,5
220,Houston Rockets,42,88,47.7,19,52,36.5,16,21,76.2,9,37,46,21,6,4,14,20,119,22,0,6
221,New York Knicks,39,90,43.3,8,26,30.8,11,13,84.6,6,36,42,23,8,1,19,18,97,-22,1,6
222,Orlando Magic,38,75,50.7,13,29,44.8,12,14,85.7,6,32,38,25,6,8,24,22,101,2,0,7
223,Memphis Grizzlies,39,82,47.6,10,30,33.3,11,16,68.8,5,26,31,21,12,3,13,16,99,-2,1,7
224,Minnesota Timberwolves,41,83,49.4,6,22,27.3,16,24,66.7,11,36,47,20,13,3,21,21,104,6,0,8
225,New Orleans Pelicans,36,84,42.9,8,31,25.8,18,21,85.7,9,29,38,27,13,4,19,24,98,-6,1,8
226,Toronto Raptors,42,85,49.4,11,31,35.5,16,25,64,9,29,38,20,7,4,13,25,111,-18,0,9
227,Denver Nuggets,47,88,53.4,16,32,50,19,29,65.5,9,34,43,35,9,4,12,20,129,18,1,9
228,Portland Trail Blazers,37,93,39.8,9,34,26.5,20,27,74.1,11,42,53,17,8,8,17,25,103,-9,0,10
229,Utah Jazz,34,90,37.8,13,29,44.8,31,36,86.1,10,45,55,16,9,8,14,21,112,9,1,10
230,Dallas Mavericks,35,89,39.3,12,36,33.3,16,20,80,9,29,38,20,8,5,14,22,98,-21,0,11
231,LA Clippers,41,78,52.6,13,28,46.4,24,29,82.8,7,42,49,27,9,5,16,20,119,21,1,11
232,Golden State Warriors,43,83,51.8,14,28,50,12,16,75,5,36,41,30,11,12,14,20,112,20,0,0
233,San Antonio Spurs,34,87,39.1,7,24,29.2,17,23,73.9,14,32,46,19,6,8,16,10,92,-20,1,0
