,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAME-ID
0,Boston Celtics,36,88,40.9,8,32,25,19,25,76,9,37,46,24,11,4,10,24,99,-3,0,0
1,Cleveland Cavaliers,38,83,45.8,5,22,22.7,21,25,84,9,41,50,19,3,4,17,25,102,3,1,0
2,Houston Rockets,47,97,48.5,15,41,36.6,13,19,68.4,10,33,43,28,9,5,12,16,122,1,0,1
3,Golden State Warriors,43,80,53.7,16,30,53.3,19,21,90.5,6,35,41,34,5,9,17,25,121,-1,1,1
4,Charlotte Hornets,29,73,39.7,9,30,30,23,29,79.3,3,44,47,16,4,3,17,15,90,-12,0,0
5,Detroit Pistons,41,96,42.7,9,26,34.6,11,12,91.7,9,38,47,24,14,3,8,21,102,12,1,0
6,Brooklyn Nets,45,94,47.9,12,30,40,29,32,90.6,11,32,43,22,7,2,20,25,131,-9,0,1
7,Indiana Pacers,53,102,52,9,34,26.5,25,32,78.1,14,33,47,29,12,9,14,25,140,9,1,1
8,Miami Heat,44,101,43.6,8,30,26.7,13,17,76.5,11,33,44,27,6,4,13,20,109,-7,0,2
9,Orlando Magic,43,90,47.8,8,21,38.1,22,29,75.9,11,39,50,22,8,9,14,18,116,7,1,2
10,Philadelphia 76ers,43,93,46.2,15,35,42.9,14,19,73.7,11,37,48,25,6,6,17,28,115,-5,0,3
11,Washington Wizards,42,97,43.3,6,22,27.3,30,38,78.9,16,36,52,21,8,10,9,20,120,5,1,3
12,Milwaukee Bucks,38,76,50,7,21,33.3,25,30,83.3,6,39,45,19,6,4,15,22,108,8,0,4
13,Boston Celtics,39,91,42.9,11,28,39.3,11,21,52.4,11,32,43,23,12,2,12,27,100,-8,1,4
14,New Orleans Pelicans,30,79,38,7,25,28,24,29,82.8,16,35,51,15,4,12,17,31,91,-12,0,5
15,Memphis Grizzlies,39,92,42.4,9,29,31,16,28,57.1,15,30,45,19,9,8,11,29,103,12,1,5
16,Atlanta Hawks,48,94,51.1,9,18,50,12,15,80,14,36,50,20,11,6,13,18,117,6,0,6
17,Dallas Mavericks,38,86,44.2,17,45,37.8,18,21,85.7,9,32,41,27,5,4,15,19,111,-6,1,6
18,Denver Nuggets,36,77,46.8,13,27,48.1,11,12,91.7,7,31,38,21,4,3,20,18,96,-10,0,7
19,Utah Jazz,41,81,50.6,9,24,37.5,15,16,93.8,6,30,36,28,9,5,15,18,106,10,1,7
20,Minnesota Timberwolves,37,85,43.5,8,19,42.1,17,23,73.9,11,31,42,23,7,4,13,16,99,-8,0,8
21,San Antonio Spurs,41,89,46.1,8,21,38.1,17,19,89.5,12,38,50,22,8,11,11,18,107,8,1,8
22,Portland Trail Blazers,44,90,48.9,14,24,58.3,22,28,78.6,15,42,57,22,8,7,16,20,124,48,0,9
23,Phoenix Suns,28,89,31.5,7,27,25.9,13,18,72.2,10,23,33,10,9,8,16,22,76,-48,1,9
24,Houston Rockets,33,83,39.8,12,45,26.7,27,29,93.1,12,32,44,19,7,3,14,14,105,5,0,10
25,Sacramento Kings,42,88,47.7,8,23,34.8,8,10,80,9,33,42,19,5,4,17,20,100,-5,1,10
