,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Rajon Rondo,Boston Celtics,41:16,11,19,57.9,0,1,0.0,9,12,75.0,1,4,5,13,5,0,5,2,31,3,0,2011-12-25
1,Avery Bradley,Boston Celtics,8:49,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-5,0,2011-12-25
2,E'Twaun Moore,Boston Celtics,0:04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2011-12-25
3,Carmelo Anthony,New York Knicks,33:35,10,17,58.8,4,7,57.1,13,15,86.7,1,7,8,3,2,1,5,4,37,15,0,2011-12-25
4,LeBron James,Miami Heat,36:16,11,19,57.9,0,0,0.0,15,19,78.9,3,7,10,6,2,2,3,3,37,27,1,2011-12-25
5,Udonis Haslem,Miami Heat,32:16,3,6,50.0,0,0,0.0,3,5,60.0,6,8,14,1,0,1,3,5,9,-4,1,2011-12-25
6,Derrick Rose,Chicago Bulls,35:19,9,13,69.2,4,6,66.7,0,0,0.0,0,1,1,5,0,1,5,1,22,7,2,2011-12-25
7,Taj Gibson,Chicago Bulls,15:28,1,4,25.0,0,0,0.0,1,2,50.0,2,1,3,2,0,1,0,1,3,-1,2,2011-12-25
8,Dwight Howard,Orlando Magic,38:27,4,12,33.3,0,1,0.0,3,8,37.5,4,11,15,0,1,2,3,4,11,-4,3,2011-12-25
9,Kevin Durant,Oklahoma City Thunder,37:02,11,19,57.9,2,4,50.0,6,11,54.5,1,4,5,6,2,0,4,1,30,2,3,2011-12-25
10,Serge Ibaka,Oklahoma City Thunder,23:07,0,1,0.0,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,3,0,-10,3,2011-12-25
11,Russell Westbrook,Oklahoma City Thunder,34:04,6,17,35.3,1,2,50.0,1,1,100,1,6,7,6,3,0,7,5,14,-5,3,2011-12-25
12,James Harden,Oklahoma City Thunder,32:01,4,11,36.4,1,4,25.0,10,12,83.3,0,6,6,3,0,0,0,3,19,8,3,2011-12-25
13,Blake Griffin,Los Angeles Clippers,34:44,9,18,50.0,0,0,0.0,4,8,50.0,5,2,7,1,2,0,3,4,22,17,4,2011-12-25
14,DeAndre Jordan,Los Angeles Clippers,30:31,1,2,50.0,0,0,0.0,4,12,33.3,3,2,5,0,0,8,2,2,6,15,4,2011-12-25
15,Chris Paul,Los Angeles Clippers,36:39,7,12,58.3,1,3,33.3,5,6,83.3,1,1,2,9,2,0,2,4,20,19,4,2011-12-25
16,Stephen Curry,Golden State Warriors,33:28,2,12,16.7,0,4,0.0,0,1,0.0,2,3,5,4,2,2,5,4,4,-5,4,2011-12-25
17,Klay Thompson,Golden State Warriors,19:00,2,8,25.0,1,3,33.3,2,2,100,1,2,3,1,0,0,2,3,7,-10,4,2011-12-25
18,Ish Smith,Golden State Warriors,5:22,3,4,75.0,1,1,100,0,0,0.0,0,0,0,0,0,0,0,2,7,0,4,2011-12-25
19,JaVale McGee,Washington Wizards,25:32,5,11,45.5,0,0,0.0,1,6,16.7,3,3,6,0,1,3,1,3,11,-20,5,2011-12-26
20,John Wall,Washington Wizards,39:13,3,13,23.1,0,0,0.0,7,13,53.8,3,5,8,5,3,1,4,2,13,-6,5,2011-12-26
21,D.J. Augustin,Charlotte Bobcats,30:36,7,16,43.8,2,8,25.0,3,4,75.0,1,1,2,8,0,0,2,2,19,0,6,2011-12-26
22,Kemba Walker,Charlotte Bobcats,20:37,3,10,30.0,0,2,0.0,7,7,100,2,5,7,3,1,0,0,1,13,5,6,2011-12-26
23,Kyle Lowry,Houston Rockets,36:29,5,12,41.7,1,6,16.7,9,10,90.0,1,6,7,12,1,1,3,5,20,-4,7,2011-12-26
24,Goran Dragic,Houston Rockets,11:31,2,4,50.0,1,2,50.0,0,0,0.0,1,2,3,4,0,0,0,0,5,-5,7,2011-12-26
25,Dwight Howard,Orlando Magic,37:06,9,15,60.0,0,0,0.0,3,5,60.0,2,5,7,3,0,3,2,2,21,4,7,2011-12-26
26,DeMar DeRozan,Toronto Raptors,25:51,7,13,53.8,0,1,0.0,1,2,50.0,0,2,2,2,1,0,0,0,15,14,8,2011-12-26
27,James Johnson,Toronto Raptors,36:06,2,4,50.0,1,1,100,0,0,0.0,0,6,6,5,2,3,4,1,5,6,8,2011-12-26
28,Ed Davis,Toronto Raptors,17:54,7,7,100,0,0,0.0,0,0,0.0,4,3,7,2,0,2,0,3,14,-1,8,2011-12-26
29,Kyrie Irving,Cleveland Cavaliers,26:01,2,12,16.7,1,5,20.0,1,1,100,0,3,3,7,1,0,1,2,6,-10,8,2011-12-26
30,Tristan Thompson,Cleveland Cavaliers,17:17,4,6,66.7,0,0,0.0,4,6,66.7,2,3,5,0,0,0,0,2,12,3,8,2011-12-26
31,Paul George,Indiana Pacers,29:06,3,8,37.5,2,3,66.7,4,4,100,1,6,7,2,1,1,2,5,12,14,9,2011-12-26
32,George Hill,Indiana Pacers,24:24,2,7,28.6,0,4,0.0,0,0,0.0,0,1,1,4,2,0,1,3,4,-2,9,2011-12-26
33,Kevin Durant,Oklahoma City Thunder,38:15,12,23,52.2,2,5,40.0,7,7,100,1,4,5,3,1,0,2,2,33,7,10,2011-12-26
34,Serge Ibaka,Oklahoma City Thunder,20:12,3,7,42.9,0,0,0.0,0,0,0.0,1,5,6,1,0,1,1,2,6,1,10,2011-12-26
35,Russell Westbrook,Oklahoma City Thunder,35:48,10,21,47.6,0,2,0.0,8,8,100,2,4,6,6,3,0,7,4,28,10,10,2011-12-26
