,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
19,Indiana Pacers,32,87,36.8,7,15,46.7,20,25,80.0,18,35,53,20,9,9,10,20,91,12,1,9,2011-12-26
20,Oklahoma City Thunder,35,78,44.9,5,16,31.3,29,31,93.5,8,34,42,18,6,5,17,26,104,4,0,10,2011-12-26
21,Minnesota Timberwolves,39,87,44.8,3,22,13.6,19,26,73.1,10,30,40,22,4,2,12,24,100,-4,1,10,2011-12-26
22,Denver Nuggets,39,79,49.4,10,27,37.0,27,34,79.4,10,37,47,18,15,3,15,18,115,22,0,11,2011-12-26
23,Dallas Mavericks,32,76,42.1,8,27,29.6,21,27,77.8,5,32,37,19,11,3,19,28,93,-22,1,11,2011-12-26
24,Memphis Grizzlies,34,73,46.6,3,7,42.9,11,19,57.9,9,33,42,18,9,2,24,25,82,-13,0,12,2011-12-26
25,San Antonio Spurs,35,88,39.8,10,33,30.3,15,22,68.2,12,25,37,23,13,5,13,20,95,13,1,12,2011-12-26
26,New Orleans Hornets,35,79,44.3,2,16,12.5,13,21,61.9,12,35,47,10,9,5,13,22,85,1,0,13,2011-12-26
27,Phoenix Suns,32,81,39.5,5,25,20.0,15,19,78.9,12,33,45,23,9,3,14,24,84,-1,1,13,2011-12-26
28,Los Angeles Lakers,37,88,42.0,1,16,6.3,16,19,84.2,16,29,45,21,6,6,11,25,91,-9,0,14,2011-12-26
29,Sacramento Kings,35,75,46.7,9,18,50.0,21,35,60.0,10,30,40,16,4,6,11,19,100,9,1,14,2011-12-26
30,Philadelphia 76ers,40,83,48.2,8,19,42.1,15,19,78.9,9,38,47,21,6,7,20,25,103,-4,0,15,2011-12-26
31,Portland Trail Blazers,40,97,41.2,9,19,47.4,18,23,78.3,17,33,50,24,11,6,12,19,107,4,1,15,2011-12-26
32,Chicago Bulls,34,82,41.5,8,24,33.3,15,22,68.2,14,33,47,16,3,3,20,21,91,-8,0,16,2011-12-26
33,Golden State Warriors,36,77,46.8,4,15,26.7,23,31,74.2,7,29,36,22,16,5,10,19,99,8,1,16,2011-12-26
34,Atlanta Hawks,38,86,44.2,12,23,52.2,18,21,85.7,17,34,51,23,11,4,12,23,106,36,0,17,2011-12-27
35,New Jersey Nets,22,71,31.0,5,24,20.8,21,26,80.8,9,27,36,9,5,5,18,22,70,-36,1,17,2011-12-27
36,Boston Celtics,37,72,51.4,12,19,63.2,21,27,77.8,4,24,28,20,9,3,24,27,107,-8,0,18,2011-12-27
37,Miami Heat,42,75,56.0,6,10,60.0,25,35,71.4,6,32,38,22,16,8,20,22,115,8,1,18,2011-12-27
38,Minnesota Timberwolves,28,70,40.0,6,14,42.9,33,45,73.3,16,38,54,14,6,0,25,24,95,-3,0,19,2011-12-27
39,Milwaukee Bucks,40,94,42.6,2,16,12.5,16,20,80.0,16,29,45,24,13,5,12,28,98,3,1,19,2011-12-27
40,Sacramento Kings,31,82,37.8,3,16,18.8,14,22,63.6,14,28,42,11,1,4,18,27,79,-22,0,20,2011-12-27
41,Portland Trail Blazers,38,85,44.7,3,18,16.7,22,28,78.6,15,29,44,25,6,8,10,23,101,22,1,20,2011-12-27
42,Utah Jazz,29,90,32.2,1,13,7.7,12,17,70.6,18,28,46,20,6,6,10,28,71,-25,0,21,2011-12-27
43,Los Angeles Lakers,30,71,42.3,6,16,37.5,30,37,81.1,11,35,46,17,8,9,9,21,96,25,1,21,2011-12-27
44,Indiana Pacers,32,81,39.5,7,16,43.8,19,22,86.4,12,29,41,20,10,2,16,16,90,5,0,22,2011-12-28
45,Toronto Raptors,36,79,45.6,6,15,40.0,7,13,53.8,10,29,39,21,13,5,19,25,85,-5,1,22,2011-12-28
46,Miami Heat,36,78,46.2,1,6,16.7,23,28,82.1,5,25,30,19,7,10,10,17,96,1,0,23,2011-12-28
47,Charlotte Bobcats,39,82,47.6,7,18,38.9,10,16,62.5,15,38,53,22,5,9,21,22,95,-1,1,23,2011-12-28
48,Washington Wizards,30,77,39.0,6,16,37.5,17,22,77.3,6,26,32,16,10,3,16,24,83,-18,0,24,2011-12-28
49,Atlanta Hawks,32,75,42.7,9,23,39.1,28,35,80.0,11,34,45,21,6,5,14,21,101,18,1,24,2011-12-28
50,Cleveland Cavaliers,40,70,57.1,7,12,58.3,18,22,81.8,12,28,40,28,9,3,21,15,105,16,0,25,2011-12-28
51,Detroit Pistons,36,81,44.4,9,21,42.9,8,11,72.7,10,16,26,16,11,1,16,21,89,-16,1,25,2011-12-28
52,Oklahoma City Thunder,29,77,37.7,10,25,40.0,30,38,78.9,12,29,41,16,4,8,10,24,98,3,0,26,2011-12-28
53,Memphis Grizzlies,34,87,39.1,2,16,12.5,25,33,75.8,19,30,49,13,5,6,12,22,95,-3,1,26,2011-12-28
54,Boston Celtics,29,78,37.2,7,17,41.2,13,18,72.2,13,24,37,16,4,12,12,22,78,-19,0,27,2011-12-28
55,New Orleans Hornets,36,79,45.6,4,12,33.3,21,25,84.0,12,36,48,16,7,12,9,20,97,19,1,27,2011-12-28
56,Utah Jazz,38,79,48.1,7,16,43.8,17,25,68.0,8,31,39,25,10,3,22,23,100,-17,0,29,2011-12-28
57,Denver Nuggets,46,86,53.5,6,19,31.6,19,26,73.1,12,33,45,29,17,3,18,20,117,17,1,29,2011-12-28
58,Philadelphia 76ers,41,86,47.7,7,17,41.2,14,18,77.8,12,36,48,22,11,2,10,19,103,20,0,30,2011-12-28
59,Phoenix Suns,33,80,41.2,2,11,18.2,15,18,83.3,8,31,39,15,3,3,12,17,83,-20,1,30,2011-12-28
60,New York Knicks,28,70,40.0,4,21,19.0,18,25,72.0,4,27,31,15,7,0,15,21,78,-14,0,31,2011-12-28
61,Golden State Warriors,35,77,45.5,6,16,37.5,16,24,66.7,11,36,47,20,12,4,14,17,92,14,1,31,2011-12-28
62,New Jersey Nets,29,77,37.7,6,17,35.3,14,21,66.7,9,33,42,17,5,5,15,26,78,-16,0,32,2011-12-29
63,Orlando Magic,36,81,44.4,9,21,42.9,13,25,52.0,11,35,46,25,8,4,13,19,94,16,1,32,2011-12-29
64,San Antonio Spurs,35,93,37.6,2,17,11.8,13,20,65.0,22,24,46,12,4,7,12,10,85,-20,0,33,2011-12-29
65,Houston Rockets,43,85,50.6,9,26,34.6,10,13,76.9,13,33,46,21,7,8,11,17,105,20,1,33,2011-12-29
66,Dallas Mavericks,38,90,42.2,9,26,34.6,17,21,81.0,14,24,38,25,14,1,12,24,102,-2,0,34,2011-12-29
67,Oklahoma City Thunder,37,63,58.7,6,14,42.9,24,32,75.0,6,32,38,19,8,8,26,19,104,2,1,34,2011-12-29
68,Chicago Bulls,43,80,53.7,6,12,50.0,16,21,76.2,8,33,41,25,6,5,18,27,108,10,0,35,2011-12-29
69,Sacramento Kings,35,83,42.2,8,17,47.1,20,34,58.8,18,24,42,13,8,2,14,19,98,-10,1,35,2011-12-29
70,Denver Nuggets,35,87,40.2,4,20,20.0,28,33,84.8,3,27,30,17,16,2,7,20,102,-9,0,36,2011-12-29
71,Portland Trail Blazers,41,79,51.9,8,20,40.0,21,23,91.3,7,43,50,20,3,9,25,25,111,9,1,36,2011-12-29
72,New York Knicks,21,67,31.3,6,22,27.3,34,41,82.9,9,23,32,15,11,6,12,20,82,-17,0,37,2011-12-29
73,Los Angeles Lakers,38,73,52.1,9,16,56.3,14,22,63.6,6,34,40,23,6,7,14,28,99,17,1,37,2011-12-29
74,Orlando Magic,37,84,44.0,12,28,42.9,14,24,58.3,14,35,49,23,3,7,11,16,100,21,0,38,2011-12-30
75,Charlotte Bobcats,30,83,36.1,5,15,33.3,14,18,77.8,12,29,41,19,6,3,12,23,79,-21,1,38,2011-12-30
76,Cleveland Cavaliers,34,88,38.6,5,25,20.0,18,31,58.1,9,40,49,13,7,9,18,28,91,-7,0,39,2011-12-30
77,Indiana Pacers,36,94,38.3,2,10,20.0,24,32,75.0,17,43,60,15,9,10,16,27,98,7,1,39,2011-12-30
78,Detroit Pistons,34,79,43.0,3,16,18.8,14,15,93.3,12,23,35,18,3,0,9,14,85,-11,0,40,2011-12-30
79,Boston Celtics,35,67,52.2,7,16,43.8,19,19,100,5,25,30,25,4,6,10,18,96,11,1,40,2011-12-30
80,New Jersey Nets,38,82,46.3,9,20,45.0,13,14,92.9,15,25,40,20,7,2,13,26,98,-7,0,41,2011-12-30
81,Atlanta Hawks,37,77,48.1,4,15,26.7,27,38,71.1,15,23,38,22,7,6,12,15,105,7,1,41,2011-12-30
82,Houston Rockets,34,79,43.0,11,29,37.9,14,18,77.8,6,27,33,19,9,4,19,29,93,-20,0,42,2011-12-30
83,Memphis Grizzlies,45,80,56.3,0,5,0.0,23,33,69.7,7,35,42,23,10,7,16,19,113,20,1,42,2011-12-30
84,Phoenix Suns,33,78,42.3,7,23,30.4,20,22,90.9,10,37,47,22,3,10,10,22,93,15,0,43,2011-12-30
85,New Orleans Hornets,26,90,28.9,3,14,21.4,23,28,82.1,24,33,57,14,4,5,13,24,78,-15,1,43,2011-12-30
86,Miami Heat,46,93,49.5,3,14,21.4,8,14,57.1,9,33,42,29,14,6,15,21,103,2,0,44,2011-12-30
87,Minnesota Timberwolves,39,83,47.0,11,29,37.9,12,20,60.0,12,37,49,21,11,4,25,22,101,-2,1,44,2011-12-30
88,Washington Wizards,30,85,35.3,7,18,38.9,14,19,73.7,9,26,35,19,9,5,14,22,81,-21,0,45,2011-12-30
89,Milwaukee Bucks,39,73,53.4,8,20,40.0,16,25,64.0,10,40,50,26,5,7,20,19,102,21,1,45,2011-12-30
90,Toronto Raptors,33,72,45.8,6,14,42.9,14,18,77.8,5,33,38,20,8,1,17,23,86,-13,0,46,2011-12-30
91,Dallas Mavericks,32,72,44.4,7,25,28.0,28,38,73.7,7,33,40,21,11,4,10,13,99,13,1,46,2011-12-30
92,Philadelphia 76ers,37,77,48.1,4,13,30.8,21,29,72.4,7,33,40,19,7,3,12,22,99,-3,0,47,2011-12-30
93,Utah Jazz,35,79,44.3,6,16,37.5,26,33,78.8,9,32,41,17,8,9,11,23,102,3,1,47,2011-12-30
94,Chicago Bulls,39,78,50.0,7,17,41.2,29,34,85.3,15,30,45,29,4,2,12,19,114,13,0,48,2011-12-30
95,Los Angeles Clippers,41,80,51.2,7,15,46.7,12,20,60.0,9,22,31,26,6,3,11,22,101,-13,1,48,2011-12-30
96,Denver Nuggets,34,80,42.5,7,26,26.9,14,22,63.6,8,28,36,22,11,5,14,17,89,-3,0,49,2011-12-31
97,Los Angeles Lakers,39,86,45.3,2,24,8.3,12,15,80.0,14,36,50,24,6,4,19,20,92,3,1,49,2011-12-31
98,Indiana Pacers,30,76,39.5,5,15,33.3,23,28,82.1,6,30,36,17,14,5,11,19,88,-8,0,50,2011-12-31
99,Detroit Pistons,39,82,47.6,8,15,53.3,10,13,76.9,10,39,49,25,4,2,18,23,96,8,1,50,2011-12-31
100,Atlanta Hawks,35,80,43.8,4,16,25.0,10,16,62.5,6,34,40,16,4,6,12,14,84,-11,0,51,2011-12-31
101,Houston Rockets,38,82,46.3,9,19,47.4,10,13,76.9,11,34,45,26,7,6,12,18,95,11,1,51,2011-12-31
