,Visitor,VisitorScore,Home,HomeScore,Date,GAMEID
0,Magic,84,Pelicans,101,2014-10-28,0
1,Mavericks,100,Spurs,101,2014-10-28,1
2,Rockets,108,Lakers,90,2014-10-28,2
3,Bucks,106,Hornets,108,2014-10-29,3
4,76ers,91,Pacers,103,2014-10-29,4
5,Nets,105,Celtics,121,2014-10-29,5
6,Wizards,95,Heat,107,2014-10-29,6
7,Hawks,102,Raptors,109,2014-10-29,7
8,Timberwolves,101,Grizzlies,105,2014-10-29,8
9,Bulls,104,Knicks,80,2014-10-29,9
10,Pistons,79,Nuggets,89,2014-10-29,10
11,Rockets,104,Jazz,93,2014-10-29,11
12,Lakers,99,Suns,119,2014-10-29,12
13,Warriors,95,Kings,77,2014-10-29,13
14,Thunder,89,Trail Blazers,106,2014-10-29,14
15,Wizards,105,Magic,98,2014-10-30,15
16,Pistons,91,Timberwolves,97,2014-10-30,16
17,Knicks,95,Cavaliers,90,2014-10-30,17
18,Jazz,102,Mavericks,120,2014-10-30,18
19,Thunder,90,Clippers,93,2014-10-30,19
20,Grizzlies,97,Pacers,89,2014-10-31,20
21,Cavaliers,114,Bulls,108,2014-10-31,21
22,76ers,81,Bucks,93,2014-10-31,22
23,Spurs,89,Suns,94,2014-10-31,23
24,Trail Blazers,94,Kings,103,2014-10-31,24
25,Clippers,118,Lakers,111,2014-10-31,25
26,Mavericks,109,Pelicans,104,2014-11-01,26
27,Grizzlies,71,Hornets,69,2014-11-01,27
28,Raptors,108,Magic,95,2014-11-01,28
29,Heat,114,76ers,96,2014-11-01,29
30,Bucks,97,Wizards,108,2014-11-01,30
31,Pacers,92,Hawks,102,2014-11-01,31
32,Nets,102,Pistons,90,2014-11-01,32
33,Celtics,90,Rockets,104,2014-11-01,33
34,Bulls,106,Timberwolves,105,2014-11-01,34
35,Nuggets,91,Thunder,102,2014-11-01,35
36,Suns,91,Jazz,118,2014-11-01,36
37,Lakers,104,Warriors,127,2014-11-01,37
38,Kings,98,Clippers,92,2014-11-02,38
39,Raptors,102,Heat,107,2014-11-02,39
40,Hornets,93,Knicks,96,2014-11-02,40
41,Warriors,95,Trail Blazers,90,2014-11-02,41
42,Rockets,104,76ers,93,2014-11-03,42
43,Thunder,85,Nets,116,2014-11-03,43
44,Pelicans,81,Grizzlies,93,2014-11-03,44
45,Celtics,113,Mavericks,118,2014-11-03,45
46,Kings,110,Nuggets,105,2014-11-03,46
47,Jazz,101,Clippers,107,2014-11-03,47
48,Bucks,87,Pacers,81,2014-11-04,48
49,Rockets,108,Heat,91,2014-11-04,49
50,Wizards,98,Knicks,83,2014-11-04,50
51,Thunder,88,Raptors,100,2014-11-04,51
52,Magic,90,Bulls,98,2014-11-04,52
53,Hornets,91,Pelicans,100,2014-11-04,53
54,Cavaliers,82,Trail Blazers,101,2014-11-04,54
55,Suns,112,Lakers,106,2014-11-04,55
56,Heat,89,Hornets,96,2014-11-05,56
57,Magic,91,76ers,89,2014-11-05,57
58,Raptors,110,Celtics,107,2014-11-05,58
59,Timberwolves,98,Nets,91,2014-11-05,59
60,Knicks,95,Pistons,98,2014-11-05,60
61,Bulls,95,Bucks,86,2014-11-05,61
62,Pacers,94,Wizards,96,2014-11-05,62
63,Hawks,92,Spurs,94,2014-11-05,63
64,Grizzlies,102,Suns,91,2014-11-05,64
65,Cavaliers,100,Jazz,102,2014-11-05,65
66,Nuggets,109,Kings,131,2014-11-05,66
67,Clippers,104,Warriors,121,2014-11-05,67
68,Spurs,81,Rockets,98,2014-11-06,68
69,Mavericks,87,Trail Blazers,108,2014-11-06,69
70,Hawks,119,Hornets,122,2014-11-07,70
71,Timberwolves,103,Magic,112,2014-11-07,71
72,Bulls,118,76ers,115,2014-11-07,72
73,Pacers,98,Celtics,101,2014-11-07,73
74,Knicks,99,Nets,110,2014-11-07,74
75,Bucks,95,Pistons,98,2014-11-07,75
76,Wizards,84,Raptors,103,2014-11-07,76
77,Grizzlies,91,Thunder,89,2014-11-07,77
78,Kings,114,Suns,112,2014-11-07,78
