,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
415,Rajon Rondo,Boston Celtics,43:30,6,10,60.0,0,0,0.0,0,0,0.0,3,7,10,23,6,1,5,3,12,9,149
416,D.J. Augustin,Charlotte Bobcats,41:21,4,17,23.5,2,6,33.3,6,7,85.7,2,3,5,8,0,0,2,2,16,-1,150
417,Kevin Love,Minnesota Timberwolves,44:45,11,16,68.8,3,5,60.0,10,11,90.9,4,11,15,5,0,0,2,3,35,4,150
418,Stephen Curry,Golden State Warriors,39:54,6,11,54.5,1,3,33.3,8,8,100.0,1,2,3,5,4,0,2,3,21,8,151
419,Trevor Ariza,New Orleans Hornets,37:31,6,9,66.7,2,3,66.7,1,3,33.3,2,8,10,2,2,0,3,2,15,-2,151
420,Chris Paul,New Orleans Hornets,38:07,6,12,50.0,2,2,100.0,10,14,71.4,0,6,6,13,1,0,2,3,24,0,151
421,Nicolas Batum,Portland Trail Blazers,37:36,4,9,44.4,2,3,66.7,0,0,0.0,0,2,2,4,0,0,0,5,10,9,152
422,LaMarcus Aldridge,Portland Trail Blazers,36:45,11,18,61.1,0,0,0.0,5,8,62.5,5,8,13,0,1,0,3,1,27,5,152
423,Patty Mills,Portland Trail Blazers,28:24,5,9,55.6,4,7,57.1,0,0,0.0,0,0,0,3,1,0,1,1,14,10,152
424,Kyle Lowry,Houston Rockets,39:13,2,7,28.6,1,3,33.3,3,4,75.0,0,4,4,7,0,1,2,5,8,-8,152
425,Al Horford,Atlanta Hawks,39:17,9,16,56.3,0,0,0.0,0,0,0.0,5,3,8,4,1,3,1,2,18,22,153
426,Gordon Hayward,Utah Jazz,17:01,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,1,2,4,-5,153
427,Robin Lopez,Phoenix Suns,11:56,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,2,-9,154
428,Goran Dragic,Phoenix Suns,16:55,2,4,50.0,1,2,50.0,0,0,0.0,1,0,1,4,0,0,3,0,5,2,154
429,Carmelo Anthony,Denver Nuggets,39:33,12,26,46.2,0,2,0.0,7,9,77.8,4,5,9,2,1,0,5,2,31,-16,155
430,Blake Griffin,Los Angeles Clippers,37:16,8,18,44.4,0,0,0.0,6,9,66.7,5,13,18,7,0,1,3,4,22,23,155
431,DeAndre Jordan,Los Angeles Clippers,40:54,5,7,71.4,0,0,0.0,4,6,66.7,9,11,20,3,0,6,1,3,14,16,155
432,Eric Gordon,Los Angeles Clippers,38:46,9,20,45.0,4,8,50.0,6,6,100.0,0,4,4,2,1,0,1,2,28,22,155
433,Eric Bledsoe,Los Angeles Clippers,16:59,3,8,37.5,1,3,33.3,1,3,33.3,1,3,4,1,1,2,2,3,8,-8,155
434,Jeff Green,Oklahoma City Thunder,37:53,7,17,41.2,0,1,0.0,2,6,33.3,2,7,9,2,2,0,0,0,16,6,156
435,Kevin Durant,Oklahoma City Thunder,43:33,11,22,50.0,2,6,33.3,4,5,80.0,0,2,2,3,3,0,3,3,28,4,156
436,Russell Westbrook,Oklahoma City Thunder,36:16,5,16,31.3,0,1,0.0,5,6,83.3,3,2,5,9,1,0,4,2,15,2,156
437,Serge Ibaka,Oklahoma City Thunder,24:33,6,6,100.0,0,0,0.0,1,3,33.3,5,3,8,0,1,1,0,6,13,2,156
438,James Harden,Oklahoma City Thunder,25:26,1,6,16.7,1,5,20.0,4,4,100.0,0,4,4,3,3,0,2,1,7,-1,156
439,Carmelo Anthony,Denver Nuggets,35:40,9,17,52.9,0,1,0.0,8,10,80.0,2,2,4,0,0,0,4,2,26,-4,157
