,Visitor,VisitorScore,Home,HomeScore,Date
0,Wizards,84,Cavaliers,94,2012-10-30
1,Celtics,107,Heat,120,2012-10-30
2,Mavericks,99,Lakers,91,2012-10-30
3,Pacers,90,Raptors,88,2012-10-31
4,Nuggets,75,76ers,84,2012-10-31
5,Rockets,105,Pistons,96,2012-10-31
6,Kings,87,Bulls,93,2012-10-31
7,Spurs,99,Hornets,95,2012-10-31
8,Mavericks,94,Jazz,113,2012-10-31
9,Warriors,87,Suns,85,2012-10-31
10,Grizzlies,92,Clippers,101,2012-10-31
11,Lakers,106,Trail Blazers,116,2012-10-31
12,Thunder,84,Spurs,86,2012-11-01
13,Pacers,89,Bobcats,90,2012-11-02
14,Nuggets,89,Magic,102,2012-11-02
15,Bucks,99,Celtics,88,2012-11-02
16,Rockets,109,Hawks,102,2012-11-02
17,Bulls,115,Cavaliers,86,2012-11-02
18,Heat,84,Knicks,104,2012-11-02
19,Jazz,86,Hornets,88,2012-11-02
20,Trail Blazers,92,Thunder,106,2012-11-02
21,Kings,80,Timberwolves,92,2012-11-02
22,Pistons,89,Suns,92,2012-11-02
23,Clippers,105,Lakers,95,2012-11-02
24,Grizzlies,104,Warriors,94,2012-11-02
25,Celtics,89,Wizards,86,2012-11-03
26,Kings,98,Pacers,106,2012-11-03
27,Raptors,100,Nets,107,2012-11-03
28,Nuggets,116,Heat,119,2012-11-03
29,Hornets,89,Bulls,82,2012-11-03
30,Trail Blazers,95,Rockets,85,2012-11-03
31,Cavaliers,102,Bucks,105,2012-11-03
32,Bobcats,99,Mavericks,126,2012-11-03
33,Jazz,100,Spurs,110,2012-11-03
34,Warriors,114,Clippers,110,2012-11-03
35,76ers,84,Knicks,100,2012-11-04
36,Timberwolves,86,Raptors,105,2012-11-04
37,Suns,94,Magic,115,2012-11-04
38,Hawks,104,Thunder,95,2012-11-04
39,Pistons,79,Lakers,108,2012-11-04
40,Knicks,110,76ers,88,2012-11-05
41,Timberwolves,107,Nets,96,2012-11-05
42,Suns,99,Heat,124,2012-11-05
43,Jazz,94,Grizzlies,103,2012-11-05
44,Trail Blazers,91,Mavericks,114,2012-11-05
45,Pacers,79,Spurs,101,2012-11-05
46,Warriors,92,Kings,94,2012-11-05
47,Cavaliers,108,Clippers,101,2012-11-05
48,Magic,93,Bulls,99,2012-11-06
49,Raptors,88,Thunder,108,2012-11-06
50,Pistons,97,Nuggets,109,2012-11-06
51,Suns,117,Bobcats,110,2012-11-07
52,Wizards,94,Celtics,100,2012-11-07
53,Pacers,86,Hawks,89,2012-11-07
54,Nets,73,Heat,103,2012-11-07
55,Grizzlies,108,Bucks,90,2012-11-07
56,76ers,77,Hornets,62,2012-11-07
57,Nuggets,93,Rockets,87,2012-11-07
58,Magic,75,Timberwolves,90,2012-11-07
59,Raptors,104,Mavericks,109,2012-11-07
60,Lakers,86,Jazz,95,2012-11-07
61,Pistons,103,Kings,105,2012-11-07
62,Spurs,84,Clippers,106,2012-11-07
63,Cavaliers,96,Warriors,106,2012-11-07
64,Thunder,97,Bulls,91,2012-11-08
65,Clippers,103,Trail Blazers,90,2012-11-08
66,Bucks,101,Wizards,91,2012-11-09
67,Nets,107,Magic,68,2012-11-09
68,76ers,106,Celtics,100,2012-11-09
69,Mavericks,94,Knicks,104,2012-11-09
70,Heat,95,Hawks,89,2012-11-09
71,Rockets,85,Grizzlies,93,2012-11-09
72,Bobcats,99,Hornets,107,2012-11-09
73,Pistons,94,Thunder,105,2012-11-09
74,Pacers,94,Timberwolves,96,2012-11-09
75,Cavaliers,105,Suns,107,2012-11-09
76,Spurs,97,Kings,86,2012-11-09
77,Jazz,84,Nuggets,104,2012-11-09
78,Warriors,77,Lakers,101,2012-11-09
79,76ers,93,Raptors,83,2012-11-10
80,Wizards,85,Pacers,89,2012-11-10
81,Mavericks,97,Bobcats,101,2012-11-10
82,Timberwolves,80,Bulls,87,2012-11-10
83,Pistons,82,Rockets,96,2012-11-10
84,Celtics,96,Bucks,92,2012-11-10
85,Suns,81,Jazz,94,2012-11-10
86,Spurs,112,Trail Blazers,109,2012-11-10
87,Nuggets,107,Warriors,101,2012-11-10
88,Magic,74,Nets,82,2012-11-11
89,Hawks,76,Clippers,89,2012-11-11
90,Heat,86,Grizzlies,104,2012-11-11
91,Cavaliers,91,Thunder,106,2012-11-11
92,Kings,90,Lakers,103,2012-11-11
93,Jazz,140,Raptors,133,2012-11-12
94,Bucks,105,76ers,96,2012-11-12
95,Thunder,92,Pistons,90,2012-11-12
96,Celtics,101,Bulls,95,2012-11-12
97,Heat,113,Rockets,110,2012-11-12
98,Timberwolves,90,Mavericks,82,2012-11-12
99,Nuggets,100,Suns,110,2012-11-12
100,Hawks,95,Trail Blazers,87,2012-11-12
101,Wizards,76,Bobcats,92,2012-11-13
102,Knicks,99,Magic,89,2012-11-13
103,Raptors,74,Pacers,72,2012-11-13
104,Cavaliers,101,Nets,114,2012-11-13
105,Trail Blazers,103,Kings,86,2012-11-13
106,Spurs,84,Lakers,82,2012-11-13
107,Pistons,94,76ers,76,2012-11-14
108,Jazz,93,Celtics,98,2012-11-14
109,Pacers,85,Bucks,99,2012-11-14
110,Hornets,96,Rockets,100,2012-11-14
111,Grizzlies,107,Thunder,97,2012-11-14
112,Bobcats,89,Timberwolves,87,2012-11-14
113,Wizards,101,Mavericks,107,2012-11-14
114,Bulls,112,Suns,106,2012-11-14
115,Heat,100,Clippers,107,2012-11-14
116,Hawks,88,Warriors,92,2012-11-14
117,Celtics,97,Nets,102,2012-11-15
118,Knicks,104,Spurs,100,2012-11-15
119,Heat,98,Nuggets,93,2012-11-15
120,Jazz,93,76ers,99,2012-11-16
121,Mavericks,83,Pacers,103,2012-11-16
122,Magic,110,Pistons,106,2012-11-16
123,Thunder,110,Hornets,95,2012-11-16
124,Warriors,106,Timberwolves,98,2012-11-16
125,Knicks,95,Grizzlies,105,2012-11-16
126,Hawks,112,Kings,96,2012-11-16
127,Rockets,117,Trail Blazers,119,2012-11-16
128,Suns,102,Lakers,114,2012-11-16
129,Raptors,89,Celtics,107,2012-11-17
130,Jazz,83,Wizards,76,2012-11-17
131,Grizzlies,94,Bobcats,87,2012-11-17
132,Mavericks,103,Cavaliers,95,2012-11-17
133,Hornets,113,Bucks,117,2012-11-17
134,Nuggets,100,Spurs,126,2012-11-17
135,Bulls,80,Clippers,101,2012-11-17
136,Heat,97,Suns,88,2012-11-17
137,Pacers,76,Knicks,88,2012-11-18
138,Magic,86,Raptors,97,2012-11-18
139,Cavaliers,79,76ers,86,2012-11-18
140,Nets,99,Kings,90,2012-11-18
141,Warriors,109,Thunder,119,2012-11-18
142,Celtics,83,Pistons,103,2012-11-18
143,Bulls,94,Trail Blazers,102,2012-11-18
144,Rockets,108,Lakers,119,2012-11-18
145,Pacers,96,Wizards,89,2012-11-19
146,Bucks,98,Bobcats,102,2012-11-19
147,Magic,72,Hawks,81,2012-11-19
148,Nuggets,97,Grizzlies,92,2012-11-19
149,Warriors,105,Mavericks,101,2012-11-19
150,Clippers,92,Spurs,87,2012-11-19
151,Rockets,91,Jazz,102,2012-11-19
152,Raptors,98,76ers,106,2012-11-20
153,Knicks,102,Hornets,80,2012-11-20
154,Nets,90,Lakers,95,2012-11-20
155,Raptors,97,Bobcats,98,2012-11-21
156,Pistons,74,Magic,90,2012-11-21
157,76ers,83,Cavaliers,92,2012-11-21
158,Hornets,107,Pacers,115,2012-11-21
159,Spurs,112,Celtics,100,2012-11-21
160,Wizards,100,Hawks,101,2012-11-21
161,Bucks,106,Heat,113,2012-11-21
162,Clippers,111,Thunder,117,2012-11-21
163,Bulls,89,Rockets,93,2012-11-21
164,Nuggets,101,Timberwolves,94,2012-11-21
165,Knicks,111,Mavericks,114,2012-11-21
166,Trail Blazers,87,Suns,114,2012-11-21
167,Lakers,97,Kings,113,2012-11-21
168,Nets,93,Warriors,102,2012-11-21
169,Hawks,101,Bobcats,91,2012-11-23
170,Cavaliers,104,Magic,108,2012-11-23
171,Thunder,100,Celtics,108,2012-11-23
172,Clippers,76,Nets,86,2012-11-23
173,Raptors,90,Pistons,91,2012-11-23
174,Spurs,104,Pacers,97,2012-11-23
175,Lakers,98,Grizzlies,106,2012-11-23
176,Knicks,103,Rockets,131,2012-11-23
177,Warriors,91,Nuggets,102,2012-11-23
178,Kings,102,Jazz,104,2012-11-23
179,Hornets,108,Suns,111,2012-11-23
180,Timberwolves,95,Trail Blazers,103,2012-11-23
181,Thunder,116,76ers,109,2012-11-24
182,Bobcats,108,Wizards,106,2012-11-24
183,Clippers,93,Hawks,104,2012-11-24
184,Cavaliers,108,Heat,110,2012-11-24
185,Lakers,115,Mavericks,89,2012-11-24
186,Bulls,93,Bucks,86,2012-11-24
187,Jazz,97,Kings,108,2012-11-24
188,Timberwolves,85,Warriors,96,2012-11-24
189,Spurs,111,Raptors,106,2012-11-25
190,Pistons,100,Knicks,121,2012-11-25
191,Trail Blazers,85,Nets,98,2012-11-25
192,Suns,101,76ers,104,2012-11-25
193,Celtics,116,Magic,110,2012-11-25
194,Hornets,84,Nuggets,102,2012-11-25
195,Knicks,89,Nets,96,2012-11-26
196,Spurs,118,Wizards,92,2012-11-26
197,Trail Blazers,101,Pistons,108,2012-11-26
198,Bucks,93,Bulls,92,2012-11-26
199,Cavaliers,78,Grizzlies,84,2012-11-26
200,Bobcats,69,Thunder,114,2012-11-26
201,Nuggets,103,Jazz,105,2012-11-26
202,Hornets,105,Clippers,98,2012-11-26
203,Mavericks,98,76ers,100,2012-11-27
