,Visitor,VisitorScore,Home,HomeScore,Date
0,Warriors,99,Nets,125,12/22/2020
1,Clippers,116,Lakers,109,12/22/2020
2,Hornets,114,Cavaliers,121,12/23/2020
3,Knicks,107,Pacers,121,12/23/2020
4,Heat,107,Magic,113,12/23/2020
5,Wizards,107,76ers,113,12/23/2020
6,Bucks,121,Celtics,122,12/23/2020
7,Pelicans,113,Raptors,99,12/23/2020
8,Hawks,124,Bulls,104,12/23/2020
9,Spurs,131,Grizzlies,119,12/23/2020
10,Pistons,101,Timberwolves,111,12/23/2020
11,Kings,124,Nuggets,122,12/23/2020
12,Jazz,120,Trail Blazers,100,12/23/2020
13,Mavericks,102,Suns,106,12/23/2020
14,Pelicans,98,Heat,111,12/25/2020
15,Warriors,99,Bucks,138,12/25/2020
16,Nets,123,Celtics,95,12/25/2020
17,Mavericks,115,Lakers,138,12/25/2020
18,Clippers,121,Nuggets,108,12/25/2020
19,Hawks,122,Grizzlies,112,12/26/2020
20,Thunder,109,Hornets,107,12/26/2020
21,Cavaliers,128,Pistons,119,12/26/2020
22,Magic,130,Wizards,120,12/26/2020
23,76ers,109,Knicks,89,12/26/2020
24,Pacers,125,Bulls,106,12/26/2020
25,Raptors,114,Spurs,119,12/26/2020
26,Timberwolves,116,Jazz,111,12/26/2020
27,Rockets,126,Trail Blazers,128,12/26/2020
28,Suns,103,Kings,106,12/26/2020
29,Mavericks,124,Clippers,73,12/27/2020
30,Nets,104,Hornets,106,12/27/2020
31,Magic,120,Wizards,113,12/27/2020
32,Spurs,95,Pelicans,98,12/27/2020
33,76ers,94,Cavaliers,118,12/27/2020
34,Bucks,110,Knicks,130,12/27/2020
35,Celtics,107,Pacers,108,12/27/2020
36,Warriors,129,Bulls,128,12/27/2020
37,Suns,116,Kings,100,12/27/2020
38,Timberwolves,91,Lakers,127,12/27/2020
39,Pistons,120,Hawks,128,12/28/2020
40,Grizzlies,116,Nets,111,12/28/2020
41,Jazz,110,Thunder,109,12/28/2020
42,Rockets,111,Nuggets,124,12/28/2020
43,Trail Blazers,115,Lakers,107,12/28/2020
44,Knicks,95,Cavaliers,86,12/29/2020
45,Warriors,116,Pistons,106,12/29/2020
46,Celtics,116,Pacers,111,12/29/2020
47,Raptors,93,76ers,100,12/29/2020
48,Bulls,115,Wizards,107,12/29/2020
49,Bucks,144,Heat,97,12/29/2020
50,Magic,118,Thunder,107,12/29/2020
51,Pelicans,86,Suns,111,12/29/2020
52,Timberwolves,101,Clippers,124,12/29/2020
53,Nuggets,115,Kings,125,12/29/2020
54,Grizzlies,107,Celtics,126,12/30/2020
55,Hawks,141,Nets,145,12/30/2020
56,Bucks,108,Heat,119,12/30/2020
57,Hornets,118,Mavericks,99,12/30/2020
58,Lakers,121,Spurs,107,12/30/2020
