,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
2966,Kyrie Irving,Cleveland Cavaliers,33:39,8,19,42.1,0,2,0.0,4,7,57.1,1,4,5,4,1,1,3,2,20,-10,993
2967,Tristan Thompson,Cleveland Cavaliers,17:08,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,0,0,2,2,4,2,-4,993
2968,Paul George,Indiana Pacers,27:26,0,4,0.0,0,2,0.0,2,2,100,0,5,5,2,1,1,2,3,2,13,993
2969,George Hill,Indiana Pacers,33:53,6,15,40.0,0,2,0.0,3,4,75.0,2,3,5,2,4,1,1,3,15,-8,993
2970,Rajon Rondo,Boston Celtics,27:31,4,8,50.0,1,2,50.0,0,0,0.0,1,2,3,5,0,0,2,2,9,12,994
2971,Avery Bradley,Boston Celtics,3:25,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-7,994
2972,E'Twaun Moore,Boston Celtics,3:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-7,994
2973,Al Horford,Atlanta Hawks,25:46,4,8,50.0,0,0,0.0,4,8,50.0,5,0,5,2,1,3,1,5,12,-8,995
2974,Kyle Lowry,Houston Rockets,24:23,5,9,55.6,1,3,33.3,4,5,80.0,1,2,3,8,4,0,4,4,15,-15,996
2975,Goran Dragic,Houston Rockets,12:09,2,5,40.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,2,2,5,-15,996
2976,Rudy Gay,Memphis Grizzlies,30:39,4,11,36.4,0,0,0.0,2,2,100,1,7,8,2,1,1,3,3,10,5,996
2977,Markieff Morris,Phoenix Suns,1:12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-2,997
2978,Robin Lopez,Phoenix Suns,17:27,1,5,20.0,0,0,0.0,2,2,100,1,0,1,0,0,0,1,4,4,-1,997
2979,Trevor Ariza,New Orleans Hornets,27:46,2,11,18.2,1,2,50.0,2,2,100,3,4,7,1,2,0,1,5,7,-9,997
2980,LeBron James,Miami Heat,37:13,16,26,61.5,0,1,0.0,2,4,50.0,1,7,8,10,4,1,4,2,34,14,998
2981,Udonis Haslem,Miami Heat,26:34,4,7,57.1,0,0,0.0,1,1,100,4,5,9,1,1,0,0,2,9,-3,998
2982,Kevin Love,Minnesota Timberwolves,32:32,10,19,52.6,1,3,33.3,4,6,66.7,4,8,12,3,2,0,6,4,25,-10,998
2983,Ricky Rubio,Minnesota Timberwolves,30:51,4,7,57.1,2,2,100,2,3,66.7,0,6,6,12,1,0,5,1,12,9,998
2984,Wayne Ellington,Minnesota Timberwolves,30:51,5,13,38.5,1,6,16.7,0,0,0.0,2,3,5,1,3,0,1,3,11,9,998
2985,JaVale McGee,Washington Wizards,28:04,5,11,45.5,0,0,0.0,0,2,0.0,2,7,9,0,1,0,0,4,10,-13,999
2986,John Wall,Washington Wizards,36:22,1,9,11.1,0,1,0.0,4,4,100,1,0,1,7,1,3,4,1,6,-16,999
2987,DeMar DeRozan,Toronto Raptors,35:19,4,12,33.3,0,1,0.0,3,4,75.0,0,4,4,4,1,0,1,2,11,-3,1000
2988,James Johnson,Toronto Raptors,14:31,0,3,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,2,2,0,-14,1000
