,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Paul George,Oklahoma City Thunder,37:24,9,23,39.1,4,12,33.3,5,8,62.5,0,2,2,5,4,0,5,3,27,-16,1
1,Steven Adams,Oklahoma City Thunder,35:36,6,12,50.0,0,0,0.0,5,8,62.5,4,7,11,4,2,0,2,3,17,-6,1
2,Dennis Schroder,Oklahoma City Thunder,34:05,7,19,36.8,2,6,33.3,5,6,83.3,2,6,8,6,3,1,3,4,21,-7,1
3,Jerami Grant,Oklahoma City Thunder,29:06,2,7,28.6,1,4,25.0,2,4,50.0,2,0,2,2,0,3,0,1,7,-11,1
4,Nerlens Noel,Oklahoma City Thunder,12:24,1,2,50.0,0,0,0.0,1,2,50.0,3,4,7,1,1,1,0,3,3,-2,1
5,Hamidou Diallo,Oklahoma City Thunder,8:37,2,4,50.0,0,0,0.0,0,1,0.0,0,1,1,1,1,0,0,2,4,5,1
6,Kevin Durant,Golden State Warriors,37:43,9,21,42.9,0,5,0.0,9,10,90.0,1,7,8,6,1,1,3,4,27,14,1
7,Draymond Green,Golden State Warriors,32:45,1,6,16.7,0,1,0.0,0,0,0.0,1,12,13,5,3,0,6,3,2,2,1
8,Damian Jones,Golden State Warriors,26:33,6,7,85.7,0,0,0.0,0,0,0.0,2,1,3,2,0,3,2,4,12,-1,1
9,Klay Thompson,Golden State Warriors,34:59,5,20,25.0,1,8,12.5,3,3,100,1,3,4,0,0,0,2,3,14,2,1
10,Stephen Curry,Golden State Warriors,36:37,11,20,55.0,5,9,55.6,5,5,100,0,8,8,9,1,0,3,4,32,15,1
11,Kevon Looney,Golden State Warriors,18:04,5,11,45.5,0,0,0.0,0,0,0.0,8,2,10,2,1,2,1,4,10,23,1
12,Andre Iguodala,Golden State Warriors,10:23,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2,2,1
13,Khris Middleton,Milwaukee Bucks,32:46,7,14,50.0,3,6,50.0,2,2,100,1,8,9,4,2,1,2,3,19,2,2
14,Giannis Antetokounmpo,Milwaukee Bucks,34:46,9,21,42.9,0,3,0.0,7,12,58.3,3,15,18,8,0,1,8,5,25,11,2
15,Brook Lopez,Milwaukee Bucks,21:27,4,7,57.1,2,5,40.0,4,4,100,0,3,3,1,1,0,2,3,14,8,2
16,Malcolm Brogdon,Milwaukee Bucks,38:00,4,9,44.4,2,6,33.3,0,0,0.0,0,3,3,6,1,0,4,3,10,1,2
17,Eric Bledsoe,Milwaukee Bucks,33:32,7,13,53.8,3,5,60.0,0,0,0.0,2,2,4,3,0,1,2,4,17,4,2
18,Donte DiVincenzo,Milwaukee Bucks,22:05,3,6,50.0,2,4,50.0,0,0,0.0,1,1,2,1,1,0,1,0,8,-9,2
19,Tony Snell,Milwaukee Bucks,11:20,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1,2
20,Christian Wood,Milwaukee Bucks,4:57,1,1,100,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,3,-3,2
21,Sterling Brown,Milwaukee Bucks,0:07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,2
22,Nicolas Batum,Charlotte Hornets,31:49,2,8,25.0,1,4,25.0,0,0,0.0,1,6,7,3,2,2,2,1,5,-4,2
23,Cody Zeller,Charlotte Hornets,21:06,1,1,100,1,1,100,2,2,100,0,3,3,1,1,0,0,3,5,-11,2
24,Jeremy Lamb,Charlotte Hornets,20:48,4,11,36.4,2,4,50.0,0,0,0.0,2,0,2,1,1,0,0,2,10,-6,2
25,Kemba Walker,Charlotte Hornets,38:39,15,29,51.7,7,13,53.8,4,5,80.0,1,1,2,4,2,0,3,0,41,-1,2
26,Willy Hernangomez,Charlotte Hornets,12:16,3,5,60.0,0,1,0.0,3,5,60.0,1,4,5,0,1,0,1,3,9,2,2
27,Malik Monk,Charlotte Hornets,33:34,7,16,43.8,4,8,50.0,0,0,0.0,0,4,4,2,1,2,0,1,18,5,2
28,Miles Bridges,Charlotte Hornets,14:30,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,1,2,1,6,2
29,Joe Harris,Brooklyn Nets,37:08,6,14,42.9,1,7,14.3,0,0,0.0,0,6,6,5,1,0,2,2,13,-2,3
30,Jarrett Allen,Brooklyn Nets,30:10,6,10,60.0,2,3,66.7,3,4,75.0,2,8,10,0,0,4,2,4,17,-9,3
31,Caris LeVert,Brooklyn Nets,33:60,10,18,55.6,0,2,0.0,7,8,87.5,1,3,4,4,1,1,3,2,27,-10,3
32,D'Angelo Russell,Brooklyn Nets,24:57,3,9,33.3,1,4,25.0,1,2,50.0,0,2,2,5,1,0,2,1,8,-9,3
33,Spencer Dinwiddie,Brooklyn Nets,32:17,10,18,55.6,0,3,0.0,3,5,60.0,0,4,4,6,1,0,4,1,23,6,3
34,Ed Davis,Brooklyn Nets,17:36,4,4,100,0,0,0.0,0,1,0.0,0,7,7,3,1,0,2,2,8,8,3
35,Luke Kennard,Detroit Pistons,19:21,3,5,60.0,1,1,100,0,0,0.0,0,4,4,0,0,1,1,1,7,-1,3
36,Blake Griffin,Detroit Pistons,34:17,8,17,47.1,1,1,100,9,11,81.8,2,6,8,6,0,0,1,0,26,8,3
37,Andre Drummond,Detroit Pistons,32:11,10,21,47.6,1,3,33.3,3,4,75.0,9,11,20,2,0,1,4,5,24,-9,3
38,Bruce Brown,Detroit Pistons,18:52,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,1,1,4,0,6,3
39,Reggie Jackson,Detroit Pistons,35:01,7,20,35.0,2,9,22.2,3,3,100,1,1,2,4,1,0,2,1,19,3,3
40,Ish Smith,Detroit Pistons,28:46,5,11,45.5,1,3,33.3,0,0,0.0,0,0,0,3,0,0,1,4,11,4,3
41,JaMychal Green,Memphis Grizzlies,24:59,4,7,57.1,1,2,50.0,0,0,0.0,2,5,7,2,2,0,1,2,9,-29,4
42,Garrett Temple,Memphis Grizzlies,24:30,4,13,30.8,4,8,50.0,0,0,0.0,0,0,0,2,0,1,1,4,12,-6,4
43,Mike Conley,Memphis Grizzlies,28:58,3,11,27.3,2,5,40.0,3,3,100,1,1,2,3,1,0,1,1,11,-11,4
44,Kyle Anderson,Memphis Grizzlies,19:15,2,6,33.3,0,0,0.0,1,2,50.0,0,2,2,1,0,0,2,2,5,-11,4
45,Dillon Brooks,Memphis Grizzlies,6:17,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-9,4
46,Wayne Selden,Memphis Grizzlies,6:00,2,3,66.7,1,1,100,0,0,0.0,0,0,0,0,0,0,0,0,5,1,4
47,Bojan Bogdanovic,Indiana Pacers,27:06,7,9,77.8,3,3,100,2,2,100,0,6,6,0,0,0,3,0,19,8,4
48,Thaddeus Young,Indiana Pacers,27:43,5,7,71.4,0,1,0.0,0,1,0.0,3,5,8,3,0,1,3,2,10,23,4
49,Myles Turner,Indiana Pacers,20:22,4,8,50.0,0,0,0.0,0,0,0.0,3,5,8,1,0,4,1,3,8,7,4
50,Victor Oladipo,Indiana Pacers,25:47,6,11,54.5,3,6,50.0,1,2,50.0,0,5,5,5,0,0,3,3,16,9,4
51,Domantas Sabonis,Indiana Pacers,28:33,7,11,63.6,0,0,0.0,0,2,0.0,6,9,15,2,0,0,3,3,14,26,4
52,Cory Joseph,Indiana Pacers,28:17,5,7,71.4,1,2,50.0,0,0,0.0,0,6,6,3,1,2,2,3,11,28,4
53,Doug McDermott,Indiana Pacers,24:24,5,9,55.6,1,5,20.0,1,2,50.0,0,1,1,1,1,0,0,2,12,20,4
54,Aaron Holiday,Indiana Pacers,3:58,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,1,3,-1,4
55,Rodney McGruder,Miami Heat,31:30,2,9,22.2,2,5,40.0,2,3,66.7,0,3,3,3,0,1,1,3,8,4,5
56,Hassan Whiteside,Miami Heat,33:35,6,15,40.0,0,1,0.0,0,1,0.0,4,14,18,0,1,2,1,2,12,4,5
57,Josh Richardson,Miami Heat,37:35,8,21,38.1,2,10,20.0,3,3,100,1,4,5,3,1,1,3,3,21,-5,5
58,Goran Dragic,Miami Heat,32:55,9,14,64.3,3,7,42.9,5,7,71.4,0,4,4,4,0,1,3,5,26,20,5
59,Bam Adebayo,Miami Heat,21:59,4,9,44.4,0,1,0.0,1,2,50.0,2,6,8,2,1,0,1,3,9,-6,5
60,Kelly Olynyk,Miami Heat,15:25,1,4,25.0,0,3,0.0,2,2,100,1,0,1,0,0,0,1,3,4,-16,5
61,Jonathan Isaac,Orlando Magic,18:09,2,4,50.0,1,1,100,1,2,50.0,2,4,6,1,0,0,1,4,6,-7,5
62,Aaron Gordon,Orlando Magic,38:18,9,18,50.0,4,5,80.0,4,6,66.7,4,12,16,2,0,0,4,3,26,9,5
63,Nikola Vucevic,Orlando Magic,28:06,4,12,33.3,0,0,0.0,4,5,80.0,2,6,8,4,1,0,4,2,12,-17,5
64,Evan Fournier,Orlando Magic,23:32,5,15,33.3,0,5,0.0,3,6,50.0,0,2,2,5,1,0,1,4,13,-14,5
65,D.J. Augustin,Orlando Magic,22:16,4,10,40.0,1,2,50.0,2,2,100,0,1,1,2,1,0,0,1,11,-8,5
66,Mo Bamba,Orlando Magic,24:59,6,8,75.0,1,2,50.0,0,2,0.0,4,3,7,0,0,2,0,1,13,13,5
67,Terrence Ross,Orlando Magic,25:32,2,9,22.2,0,4,0.0,0,0,0.0,0,4,4,4,2,4,1,4,4,16,5
68,Taurean Prince,Atlanta Hawks,32:19,7,15,46.7,3,7,42.9,4,4,100,0,6,6,6,0,0,6,4,21,-23,6
69,Alex Len,Atlanta Hawks,21:27,3,6,50.0,0,2,0.0,1,2,50.0,2,2,4,2,0,1,3,4,7,-14,6
70,Kent Bazemore,Atlanta Hawks,30:16,6,12,50.0,2,6,33.3,0,0,0.0,2,4,6,0,2,1,2,3,14,0,6
71,Trae Young,Atlanta Hawks,33:08,5,14,35.7,1,5,20.0,3,4,75.0,0,6,6,5,0,0,4,4,14,-20,6
72,DeAndre' Bembry,Atlanta Hawks,23:19,1,4,25.0,0,0,0.0,0,0,0.0,0,4,4,4,2,0,2,1,2,-12,6
73,Kevin Huerter,Atlanta Hawks,4:35,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,4,6
74,Frank Ntilikina,New York Knicks,33:38,2,7,28.6,1,2,50.0,0,0,0.0,0,5,5,1,3,1,1,1,5,-2,6
75,Enes Kanter,New York Knicks,27:12,5,9,55.6,0,0,0.0,6,7,85.7,3,8,11,3,1,1,1,2,16,7,6
76,Trey Burke,New York Knicks,20:34,6,11,54.5,2,3,66.7,1,2,50.0,1,2,3,4,0,0,2,2,15,14,6
77,Mitchell Robinson,New York Knicks,1:18,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,6
78,Cedi Osman,Cleveland Cavaliers,33:05,5,10,50.0,2,2,100,5,6,83.3,3,7,10,4,2,0,3,1,17,-21,7
79,Kevin Love,Cleveland Cavaliers,34:05,5,18,27.8,1,4,25.0,10,14,71.4,2,5,7,2,0,0,3,5,21,-3,7
80,Tristan Thompson,Cleveland Cavaliers,27:05,1,5,20.0,0,0,0.0,1,2,50.0,5,8,13,1,0,0,4,2,3,-20,7
81,Rodney Hood,Cleveland Cavaliers,26:18,5,13,38.5,0,2,0.0,2,2,100,1,1,2,1,1,0,0,3,12,-12,7
82,George Hill,Cleveland Cavaliers,31:26,5,11,45.5,2,3,66.7,3,4,75.0,1,1,2,7,0,0,1,3,15,-10,7
83,Collin Sexton,Cleveland Cavaliers,17:43,2,7,28.6,0,1,0.0,5,5,100,1,2,3,0,0,0,4,4,9,0,7
84,Sam Dekker,Cleveland Cavaliers,16:16,1,2,50.0,0,1,0.0,2,4,50.0,1,5,6,0,1,0,1,1,4,-10,7
85,Jordan Clarkson,Cleveland Cavaliers,23:09,7,15,46.7,1,4,25.0,0,0,0.0,0,3,3,0,0,0,0,3,15,-8,7
