,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date,WIN
0,Lakers,42,82.0,51.2,8,17.0,47.1,17,24.0,70.8,12,39,51,25,2,5,8,22,109,15.0,0,0,2010-12-15,1
1,Pacers,38,81.0,46.9,6,21.0,28.6,12,16.0,75.0,4,25,29,23,3,6,6,16,94,-15.0,1,0,2010-12-15,0
2,Celtics,45,86.0,52.3,7,14.0,50.0,21,21.0,100.0,11,28,39,26,11,2,13,19,118,2.0,0,1,2010-12-15,1
3,Knicks,43,81.0,53.1,9,23.0,39.1,21,26.0,80.8,9,26,35,19,5,5,17,18,116,-2.0,1,1,2010-12-15,0
4,Clippers,33,83.0,39.8,5,19.0,26.3,20,27.0,74.1,14,34,48,16,3,4,14,18,91,-14.0,0,2,2010-12-15,0
5,76ers,40,91.0,44.0,6,17.0,35.3,19,23.0,82.6,16,25,41,22,7,9,3,17,105,14.0,1,2,2010-12-15,1
6,Bulls,43,81.0,53.1,7,18.0,38.9,17,24.0,70.8,14,33,47,28,7,8,14,15,110,17.0,0,3,2010-12-15,1
7,Raptors,38,86.0,44.2,3,12.0,25.0,14,16.0,87.5,13,24,37,19,5,6,10,20,93,-17.0,1,3,2010-12-15,0
8,Cavaliers,35,87.0,40.2,9,33.0,27.3,16,20.0,80.0,10,28,38,19,6,0,8,28,95,-6.0,0,4,2010-12-15,0
9,Heat,32,70.0,45.7,10,23.0,43.5,27,41.0,65.9,9,36,45,17,4,8,13,20,101,6.0,1,4,2010-12-15,1
10,Hornets,28,68.0,41.2,5,10.0,50.0,19,26.0,73.1,5,30,35,15,7,7,20,20,80,-33.0,0,5,2010-12-15,0
11,Grizzlies,43,82.0,52.4,4,15.0,26.7,23,29.0,79.3,6,33,39,30,12,6,11,22,113,33.0,1,5,2010-12-15,1
12,Kings,39,84.0,46.4,6,20.0,30.0,7,12.0,58.3,9,32,41,19,5,2,15,25,91,-3.0,0,6,2010-12-15,0
13,Pelicans,34,78.0,43.6,4,11.0,36.4,22,30.0,73.3,13,30,43,25,5,6,11,19,94,3.0,1,6,2010-12-15,1
14,Rockets,38,82.0,46.3,9,22.0,40.9,20,28.0,71.4,9,19,28,22,13,4,10,21,105,-12.0,0,7,2010-12-15,0
15,Thunder,41,71.0,57.7,7,11.0,63.6,28,29.0,96.6,8,33,41,25,7,2,16,25,117,12.0,1,7,2010-12-15,1
16,Bucks,35,79.0,44.3,6,11.0,54.5,14,16.0,87.5,7,33,40,17,8,10,15,18,90,-2.0,0,8,2010-12-15,0
17,Spurs,36,69.0,52.2,3,8.0,37.5,17,25.0,68.0,3,36,39,24,5,10,17,20,92,2.0,1,8,2010-12-15,1
18,Timberwolves,50,93.0,53.8,8,22.0,36.4,14,19.0,73.7,8,31,39,30,9,5,16,22,122,-6.0,0,9,2010-12-15,0
19,Suns,44,87.0,50.6,15,27.0,55.6,25,33.0,75.8,14,32,46,32,7,2,16,19,128,6.0,1,9,2010-12-15,1
20,Trail Blazers,42,85.0,49.4,3,14.0,21.4,11,18.0,61.1,12,25,37,26,5,1,8,17,98,-5.0,0,10,2010-12-15,0
21,Mavericks,40,74.0,54.1,3,16.0,18.8,20,21.0,95.2,5,31,36,20,7,4,11,16,103,5.0,1,10,2010-12-15,1
22,Wizards,31,78.0,39.7,5,17.0,29.4,22,28.0,78.6,8,29,37,17,10,4,20,37,89,-8.0,0,11,2010-12-16,0
23,Nets,30,74.0,40.5,2,8.0,25.0,35,47.0,74.5,17,35,52,15,5,7,20,25,97,8.0,1,11,2010-12-16,1
24,Hawks,34,68.0,50.0,3,10.0,30.0,19,24.0,79.2,10,27,37,16,10,2,18,15,90,-12.0,0,12,2010-12-16,0
25,Celtics,44,83.0,53.0,6,18.0,33.3,8,11.0,72.7,9,24,33,28,12,1,12,17,102,12.0,1,12,2010-12-16,1
26,Spurs,43,83.0,51.8,9,26.0,34.6,18,25.0,72.0,8,34,42,26,4,7,9,29,113,1.0,0,13,2010-12-16,1
27,Nuggets,39,81.0,48.1,7,14.0,50.0,27,35.0,77.1,7,29,36,20,1,1,9,23,112,-1.0,1,13,2010-12-16,0
28,Cavaliers,34,82.0,41.5,6,13.0,46.2,25,34.0,73.5,4,34,38,21,5,3,14,25,99,-9.0,0,14,2010-12-17,0
29,Pacers,38,81.0,46.9,9,22.0,40.9,23,31.0,74.2,7,42,49,20,5,11,17,27,108,9.0,1,14,2010-12-17,1
30,Heat,45,82.0,54.9,10,18.0,55.6,13,18.0,72.2,8,37,45,19,10,9,18,20,113,22.0,0,15,2010-12-17,1
31,Knicks,35,89.0,39.3,8,24.0,33.3,13,23.0,56.5,13,28,41,24,7,3,13,14,91,-22.0,1,15,2010-12-17,0
32,Lakers,33,79.0,41.8,3,15.0,20.0,24,28.0,85.7,9,38,47,22,8,2,14,17,93,12.0,0,16,2010-12-17,1
33,76ers,33,88.0,37.5,3,21.0,14.3,12,14.0,85.7,16,32,48,22,9,6,13,22,81,-12.0,1,16,2010-12-17,0
34,Nets,36,80.0,45.0,2,12.0,16.7,18,23.0,78.3,9,30,39,19,3,6,12,18,92,-6.0,0,17,2010-12-17,0
35,Raptors,40,86.0,46.5,7,18.0,38.9,11,16.0,68.8,11,32,43,26,4,4,9,20,98,6.0,1,17,2010-12-17,1
36,Hornets,33,87.0,37.9,2,14.0,14.3,17,20.0,85.0,18,30,48,18,8,3,7,15,85,-5.0,0,18,2010-12-17,0
37,Hawks,36,78.0,46.2,6,25.0,24.0,12,13.0,92.3,11,31,42,24,4,8,14,20,90,5.0,1,18,2010-12-17,1
38,Clippers,46,81.0,56.8,10,19.0,52.6,7,13.0,53.8,12,33,45,31,9,3,17,16,109,21.0,0,19,2010-12-17,1
39,Pistons,33,82.0,40.2,4,14.0,28.6,18,27.0,66.7,14,21,35,19,6,4,14,15,88,-21.0,1,19,2010-12-17,0
40,Jazz,29,81.0,35.8,3,19.0,15.8,10,20.0,50.0,7,17,24,13,7,5,10,17,71,-29.0,0,20,2010-12-17,0
41,Pelicans,38,75.0,50.7,5,16.0,31.3,19,22.0,86.4,13,40,53,23,6,7,16,24,100,29.0,1,20,2010-12-17,1
42,Kings,35,82.0,42.7,2,11.0,18.2,15,23.0,65.2,14,28,42,15,3,3,15,26,87,-15.0,0,21,2010-12-17,0
43,Thunder,39,81.0,48.1,3,15.0,20.0,21,33.0,63.6,14,29,43,23,8,8,13,21,102,15.0,1,21,2010-12-17,1
44,Grizzlies,31,85.0,36.5,2,5.0,40.0,23,29.0,79.3,11,25,36,12,13,9,15,17,87,-16.0,0,22,2010-12-17,0
45,Rockets,39,81.0,48.1,10,22.0,45.5,15,18.0,83.3,9,38,47,27,7,12,20,21,103,16.0,1,22,2010-12-17,1
46,Suns,35,89.0,39.3,5,21.0,23.8,16,22.0,72.7,10,41,51,22,5,9,11,25,91,-15.0,0,23,2010-12-17,0
47,Mavericks,39,86.0,45.3,8,18.0,44.4,20,31.0,64.5,11,43,54,27,9,4,9,18,106,15.0,1,23,2010-12-17,1
48,Timberwolves,41,92.0,44.6,3,17.0,17.6,17,19.0,89.5,21,28,49,17,10,6,17,20,102,-5.0,0,24,2010-12-17,0
49,Trail Blazers,42,83.0,50.6,7,21.0,33.3,16,19.0,84.2,12,25,37,23,12,11,17,17,107,5.0,1,24,2010-12-17,1
50,76ers,34,77.0,44.2,3,11.0,27.3,26,31.0,83.9,7,32,39,18,11,6,12,20,97,8.0,0,25,2010-12-18,1
51,Magic,36,87.0,41.4,3,15.0,20.0,14,22.0,63.6,17,36,53,19,6,3,16,23,89,-8.0,1,25,2010-12-18,0
52,Heat,31,72.0,43.1,8,22.0,36.4,25,32.0,78.1,8,36,44,18,8,9,17,20,95,1.0,0,26,2010-12-18,1
53,Wizards,37,87.0,42.5,2,9.0,22.2,18,26.0,69.2,12,32,44,22,11,6,13,23,94,-1.0,1,26,2010-12-18,0
54,Knicks,39,95.0,41.1,11,34.0,32.4,13,14.0,92.9,6,41,47,22,11,7,19,20,102,-7.0,0,27,2010-12-18,0
55,Cavaliers,42,102.0,41.2,10,27.0,37.0,15,20.0,75.0,13,43,56,28,8,7,13,11,109,7.0,1,27,2010-12-18,1
56,Clippers,37,73.0,50.7,8,17.0,47.1,18,30.0,60.0,9,29,38,20,6,4,14,24,100,1.0,0,28,2010-12-18,1
57,Bulls,39,82.0,47.6,6,15.0,40.0,15,23.0,65.2,12,25,37,17,5,5,15,25,99,-1.0,1,28,2010-12-18,0
58,Jazz,35,83.0,42.2,7,15.0,46.7,18,26.0,69.2,14,32,46,25,8,7,9,15,95,9.0,0,29,2010-12-18,1
59,Bucks,32,71.0,45.1,7,18.0,38.9,15,18.0,83.3,3,28,31,21,6,5,12,20,86,-9.0,1,29,2010-12-18,0
60,Grizzlies,42,95.0,44.2,8,14.0,57.1,14,21.0,66.7,16,32,48,23,8,4,13,17,106,-6.0,0,30,2010-12-18,0
61,Spurs,44,86.0,51.2,10,23.0,43.5,14,19.0,73.7,9,32,41,31,8,6,14,19,112,6.0,1,30,2010-12-18,1
62,Timberwolves,39,84.0,46.4,6,22.0,27.3,29,35.0,82.9,12,37,49,24,6,9,16,23,113,-2.0,0,31,2010-12-18,0
63,Nuggets,39,86.0,45.3,10,27.0,37.0,27,33.0,81.8,7,28,35,25,7,4,12,26,115,2.0,1,31,2010-12-18,1
64,Warriors,36,81.0,44.4,6,17.0,35.3,17,23.0,73.9,15,27,42,17,11,4,17,23,95,-1.0,0,32,2010-12-18,0
65,Trail Blazers,38,78.0,48.7,6,15.0,40.0,14,22.0,63.6,11,29,40,24,10,0,13,19,96,1.0,1,32,2010-12-18,1
66,Pacers,34,96.0,35.4,4,18.0,22.2,16,18.0,88.9,16,27,43,17,10,3,13,18,88,-11.0,0,33,2010-12-19,0
67,Celtics,41,76.0,53.9,3,14.0,21.4,14,18.0,77.8,4,41,45,23,9,4,18,23,99,11.0,1,33,2010-12-19,1
68,Hawks,29,74.0,39.2,5,17.0,29.4,19,23.0,82.6,7,32,39,22,6,5,16,22,82,-7.0,0,34,2010-12-19,0
69,Nets,35,84.0,41.7,4,13.0,30.8,15,19.0,78.9,10,36,46,19,6,2,16,20,89,7.0,1,34,2010-12-19,1
70,Lakers,41,79.0,51.9,7,19.0,36.8,31,39.0,79.5,14,32,46,20,9,4,17,21,120,10.0,0,35,2010-12-19,1
71,Raptors,41,87.0,47.1,7,22.0,31.8,21,25.0,84.0,11,24,35,27,13,0,15,28,110,-10.0,1,35,2010-12-19,0
72,Pelicans,39,87.0,44.8,6,15.0,40.0,24,30.0,80.0,14,33,47,18,12,2,15,23,108,-3.0,0,36,2010-12-19,0
73,Pistons,44,83.0,53.0,10,23.0,43.5,13,23.0,56.5,7,30,37,26,8,7,17,23,111,3.0,1,36,2010-12-19,1
74,Rockets,37,83.0,44.6,11,25.0,44.0,17,22.0,77.3,16,34,50,28,5,11,20,17,102,9.0,0,37,2010-12-19,1
75,Kings,35,91.0,38.5,7,14.0,50.0,16,19.0,84.2,15,23,38,18,9,10,13,19,93,-9.0,1,37,2010-12-19,0
76,Suns,42,73.0,57.5,4,12.0,33.3,25,30.0,83.3,7,30,37,23,5,3,19,30,113,3.0,0,38,2010-12-19,1
77,Thunder,33,77.0,42.9,6,21.0,28.6,38,46.0,82.6,12,20,32,20,10,4,12,23,110,-3.0,1,38,2010-12-19,0
78,Magic,25,71.0,35.2,4,17.0,23.5,27,35.0,77.1,6,32,38,15,9,2,12,27,81,-10.0,0,39,2010-12-20,0
79,Hawks,33,80.0,41.2,6,18.0,33.3,19,29.0,65.5,13,38,51,23,3,6,15,26,91,10.0,1,39,2010-12-20,1
80,Jazz,39,82.0,47.6,10,23.0,43.5,13,16.0,81.3,13,31,44,28,3,3,10,20,101,11.0,0,40,2010-12-20,1
81,Cavaliers,30,72.0,41.7,12,28.0,42.9,18,25.0,72.0,6,28,34,21,8,2,8,14,90,-11.0,1,40,2010-12-20,0
82,Pelicans,33,83.0,39.8,4,15.0,26.7,23,32.0,71.9,18,35,53,18,9,5,13,14,93,-1.0,0,41,2010-12-20,0
83,Pacers,34,80.0,42.5,11,23.0,47.8,15,19.0,78.9,8,31,39,22,8,11,14,23,94,1.0,1,41,2010-12-20,1
84,Hornets,28,62.0,45.2,2,9.0,22.2,17,25.0,68.0,9,25,34,18,6,2,27,25,75,-33.0,0,42,2010-12-20,0
85,Wizards,38,73.0,52.1,7,16.0,43.8,25,30.0,83.3,6,25,31,22,10,7,14,26,108,33.0,1,42,2010-12-20,1
86,Mavericks,33,74.0,44.6,8,21.0,38.1,24,28.0,85.7,10,38,48,19,6,1,13,23,98,2.0,0,43,2010-12-20,1
87,Heat,34,84.0,40.5,11,31.0,35.5,17,25.0,68.0,16,28,44,18,7,5,12,20,96,-2.0,1,43,2010-12-20,0
88,Suns,46,86.0,53.5,6,22.0,27.3,12,16.0,75.0,10,25,35,23,5,6,13,24,110,-8.0,0,44,2010-12-20,0
89,Spurs,43,89.0,48.3,8,29.0,27.6,24,30.0,80.0,17,26,43,27,9,7,11,20,118,8.0,1,44,2010-12-20,1
90,Bucks,30,79.0,38.0,4,14.0,28.6,16,22.0,72.7,12,23,35,13,7,0,11,22,80,-26.0,0,45,2010-12-20,0
91,Trail Blazers,39,78.0,50.0,8,22.0,36.4,20,25.0,80.0,14,29,43,27,5,6,10,18,106,26.0,1,45,2010-12-20,1
92,Rockets,42,84.0,50.0,11,24.0,45.8,26,34.0,76.5,17,28,45,31,7,2,16,20,121,9.0,0,46,2010-12-20,1
93,Warriors,43,84.0,51.2,7,22.0,31.8,19,27.0,70.4,13,22,35,29,9,6,14,30,112,-9.0,1,46,2010-12-20,0
94,Timberwolves,32,80.0,40.0,7,18.0,38.9,19,27.0,70.4,7,26,33,20,7,1,13,21,90,-23.0,0,47,2010-12-20,0
95,Clippers,43,83.0,51.8,7,23.0,30.4,20,33.0,60.6,14,42,56,31,9,4,12,20,113,23.0,1,47,2010-12-20,1
96,Thunder,31,71.0,43.7,7,16.0,43.8,30,36.0,83.3,10,34,44,17,9,3,12,24,99,18.0,0,48,2010-12-21,1
97,Hornets,30,75.0,40.0,4,14.0,28.6,17,26.0,65.4,8,24,32,18,6,10,15,27,81,-18.0,1,48,2010-12-21,0
98,Mavericks,38,76.0,50.0,12,26.0,46.2,17,21.0,81.0,4,34,38,28,5,0,13,18,105,6.0,0,49,2010-12-21,1
99,Magic,38,86.0,44.2,11,29.0,37.9,12,12.0,100.0,11,29,40,22,6,3,12,22,99,-6.0,1,49,2010-12-21,0
100,76ers,28,80.0,35.0,2,15.0,13.3,18,23.0,78.3,14,23,37,13,7,2,18,14,76,-45.0,0,50,2010-12-21,0
101,Bulls,49,76.0,64.5,6,11.0,54.5,17,21.0,81.0,4,36,40,32,11,9,12,16,121,45.0,1,50,2010-12-21,1
102,Nets,40,76.0,52.6,4,13.0,30.8,17,23.0,73.9,7,42,49,15,3,3,14,24,101,7.0,0,51,2010-12-21,1
103,Grizzlies,35,88.0,39.8,4,13.0,30.8,20,29.0,69.0,12,27,39,16,11,6,8,21,94,-7.0,1,51,2010-12-21,0
104,Warriors,42,89.0,47.2,10,25.0,40.0,23,33.0,69.7,10,38,48,24,12,8,19,28,117,8.0,0,52,2010-12-21,1
105,Kings,39,100.0,39.0,7,23.0,30.4,24,28.0,85.7,17,39,56,18,9,7,19,27,109,-8.0,1,52,2010-12-21,0
106,Bucks,37,73.0,50.7,8,14.0,57.1,16,18.0,88.9,13,26,39,19,8,4,16,18,98,19.0,0,53,2010-12-21,1
107,Lakers,35,77.0,45.5,2,13.0,15.4,7,13.0,53.8,15,20,35,17,6,5,16,19,79,-19.0,1,53,2010-12-21,0
108,Cavaliers,34,81.0,42.0,5,22.0,22.7,11,13.0,84.6,10,25,35,22,2,2,9,11,84,-14.0,0,54,2010-12-22,0
109,Hawks,42,83.0,50.6,8,22.0,36.4,6,10.0,60.0,9,31,40,29,5,2,6,14,98,14.0,1,54,2010-12-22,1
110,Pistons,46,90.0,51.1,8,23.0,34.8,15,19.0,78.9,8,26,34,27,13,4,8,18,115,22.0,0,55,2010-12-22,1
111,Raptors,35,67.0,52.2,5,14.0,35.7,18,23.0,78.3,2,30,32,26,3,2,23,15,93,-22.0,1,55,2010-12-22,0
112,Bulls,31,73.0,42.5,2,16.0,12.5,23,29.0,79.3,9,32,41,18,6,8,21,23,87,7.0,0,56,2010-12-22,1
113,Wizards,30,79.0,38.0,4,14.0,28.6,16,19.0,84.2,9,24,33,17,10,4,15,24,80,-7.0,1,56,2010-12-22,0
114,76ers,28,65.0,43.1,2,10.0,20.0,22,31.0,71.0,6,34,40,14,4,5,13,18,80,-4.0,0,57,2010-12-22,0
115,Celtics,31,80.0,38.8,6,20.0,30.0,16,21.0,76.2,12,31,43,19,8,4,10,23,84,4.0,1,57,2010-12-22,1
116,Thunder,38,97.0,39.2,3,17.0,17.6,19,25.0,76.0,22,31,53,15,7,6,14,17,98,-14.0,0,58,2010-12-22,0
117,Knicks,42,86.0,48.8,10,21.0,47.6,18,21.0,85.7,7,36,43,30,6,9,11,22,112,14.0,1,58,2010-12-22,1
118,Jazz,37,75.0,49.3,1,10.0,10.0,37,44.0,84.1,11,34,45,25,14,11,16,24,112,5.0,0,59,2010-12-22,1
119,Timberwolves,37,87.0,42.5,10,20.0,50.0,23,29.0,79.3,15,28,43,19,7,6,18,30,107,-5.0,1,59,2010-12-22,0
120,Nets,37,81.0,45.7,4,15.0,26.7,13,14.0,92.9,8,22,30,21,5,4,7,19,91,-14.0,0,60,2010-12-22,0
121,Pelicans,41,76.0,53.9,8,16.0,50.0,15,21.0,71.4,15,33,48,27,4,6,13,14,105,14.0,1,60,2010-12-22,1
122,Nuggets,35,78.0,44.9,8,25.0,32.0,25,29.0,86.2,13,30,43,22,10,3,13,18,103,-6.0,0,61,2010-12-22,0
123,Spurs,40,76.0,52.6,14,28.0,50.0,15,24.0,62.5,11,29,40,26,5,4,13,19,109,6.0,1,61,2010-12-22,1
124,Rockets,35,82.0,42.7,9,29.0,31.0,18,23.0,78.3,10,35,45,28,10,7,18,24,97,5.0,0,62,2010-12-22,1
125,Clippers,35,87.0,40.2,4,15.0,26.7,18,26.0,69.2,14,32,46,22,10,6,16,19,92,-5.0,1,62,2010-12-22,0
126,Spurs,38,90.0,42.2,8,22.0,36.4,17,25.0,68.0,16,30,46,17,7,2,10,16,101,-22.0,0,63,2010-12-23,0
127,Magic,50,84.0,59.5,13,25.0,52.0,10,17.0,58.8,4,35,39,31,5,3,13,20,123,22.0,1,63,2010-12-23,1
128,Bucks,35,81.0,43.2,2,9.0,22.2,12,18.0,66.7,7,30,37,13,7,9,12,20,84,5.0,0,64,2010-12-23,1
129,Kings,31,85.0,36.5,7,21.0,33.3,10,15.0,66.7,19,38,57,18,3,4,25,28,79,-5.0,1,64,2010-12-23,0
130,Heat,37,82.0,45.1,5,18.0,27.8,16,17.0,94.1,11,33,44,12,9,4,16,22,95,12.0,0,65,2010-12-23,1
131,Suns,30,75.0,40.0,10,26.0,38.5,13,19.0,68.4,11,28,39,25,7,2,19,21,83,-12.0,1,65,2010-12-23,0
132,Bulls,40,91.0,44.0,4,14.0,28.6,11,20.0,55.0,17,31,48,15,14,5,21,20,95,-8.0,0,66,2010-12-25,0
133,Knicks,42,79.0,53.2,12,22.0,54.5,7,12.0,58.3,6,38,44,25,12,10,24,16,103,8.0,1,66,2010-12-25,1
134,Celtics,28,81.0,34.6,4,17.0,23.5,18,21.0,85.7,6,33,39,15,8,3,11,24,78,-8.0,0,67,2010-12-25,0
135,Magic,28,71.0,39.4,11,29.0,37.9,19,29.0,65.5,8,37,45,16,6,9,16,18,86,8.0,1,67,2010-12-25,1
136,Heat,35,79.0,44.3,9,25.0,36.0,17,20.0,85.0,9,35,44,25,9,4,9,17,96,16.0,0,68,2010-12-25,1
137,Lakers,32,79.0,40.5,6,19.0,31.6,10,15.0,66.7,9,34,43,22,4,1,12,23,80,-16.0,1,68,2010-12-25,0
138,Nuggets,37,70.0,52.9,8,17.0,47.1,24,30.0,80.0,5,30,35,15,5,1,17,25,106,-8.0,0,69,2010-12-25,0
139,Thunder,40,81.0,49.4,6,17.0,35.3,28,35.0,80.0,9,27,36,22,10,8,8,21,114,8.0,1,69,2010-12-25,1
140,Trail Blazers,41,97.0,42.3,5,18.0,27.8,15,20.0,75.0,24,29,53,27,7,4,15,20,102,-7.0,0,70,2010-12-25,0
141,Warriors,40,83.0,48.2,10,22.0,45.5,19,21.0,90.5,7,25,32,31,7,8,12,16,109,7.0,1,70,2010-12-25,1
142,Suns,39,87.0,44.8,9,25.0,36.0,16,18.0,88.9,8,25,33,26,8,1,11,26,103,-5.0,0,71,2010-12-26,0
143,Clippers,40,75.0,53.3,7,21.0,33.3,21,34.0,61.8,8,32,40,26,6,3,13,22,108,5.0,1,71,2010-12-26,1
144,Timberwolves,33,85.0,38.8,12,23.0,52.2,20,22.0,90.9,11,37,48,15,9,4,13,19,98,1.0,0,72,2010-12-26,1
145,Cavaliers,40,87.0,46.0,10,26.0,38.5,7,13.0,53.8,9,36,45,30,5,4,16,15,97,-1.0,1,72,2010-12-26,0
146,Bulls,36,91.0,39.6,4,12.0,33.3,19,28.0,67.9,19,36,55,17,5,2,12,20,95,3.0,0,73,2010-12-26,1
147,Pistons,38,89.0,42.7,3,13.0,23.1,13,16.0,81.3,11,28,39,19,4,8,9,23,92,-3.0,1,73,2010-12-26,0
148,Grizzlies,39,88.0,44.3,5,10.0,50.0,21,30.0,70.0,9,42,51,26,7,4,10,25,104,14.0,0,74,2010-12-26,1
149,Pacers,32,90.0,35.6,7,25.0,28.0,19,27.0,70.4,13,41,54,20,9,5,13,24,90,-14.0,1,74,2010-12-26,0
150,Hawks,29,73.0,39.7,9,24.0,37.5,19,24.0,79.2,8,30,38,17,3,3,14,15,86,-7.0,0,75,2010-12-26,0
151,Pelicans,41,84.0,48.8,2,17.0,11.8,9,15.0,60.0,12,35,47,15,5,1,8,20,93,7.0,1,75,2010-12-26,1
152,Wizards,33,88.0,37.5,5,15.0,33.3,9,11.0,81.8,14,37,51,18,4,3,14,17,80,-14.0,0,76,2010-12-26,0
153,Spurs,37,82.0,45.1,10,24.0,41.7,10,12.0,83.3,8,36,44,27,10,5,11,15,94,14.0,1,76,2010-12-26,1
154,76ers,36,91.0,39.6,3,14.0,21.4,20,32.0,62.5,17,32,49,18,11,6,7,19,95,6.0,0,77,2010-12-26,1
155,Nuggets,30,75.0,40.0,8,27.0,29.6,21,23.0,91.3,9,39,48,12,4,5,13,22,89,-6.0,1,77,2010-12-26,0
156,Pistons,38,87.0,43.7,11,19.0,57.9,13,16.0,81.3,10,22,32,22,13,5,13,16,100,-5.0,0,78,2010-12-27,0
157,Hornets,40,76.0,52.6,10,17.0,58.8,15,19.0,78.9,11,35,46,24,8,13,23,15,105,5.0,1,78,2010-12-27,1
158,Magic,39,82.0,47.6,12,30.0,40.0,14,19.0,73.7,12,36,48,26,9,8,14,22,104,16.0,0,79,2010-12-27,1
159,Nets,31,79.0,39.2,4,11.0,36.4,22,29.0,75.9,9,31,40,12,9,3,14,19,88,-16.0,1,79,2010-12-27,0
160,Raptors,38,76.0,50.0,4,19.0,21.1,5,14.0,35.7,10,24,34,21,8,4,25,23,85,-11.0,0,80,2010-12-27,0
161,Grizzlies,35,69.0,50.7,3,12.0,25.0,23,28.0,82.1,7,26,33,19,15,4,21,19,96,11.0,1,80,2010-12-27,1
162,Hawks,38,75.0,50.7,6,14.0,42.9,13,20.0,65.0,11,36,47,23,7,2,15,17,95,15.0,0,81,2010-12-27,1
163,Bucks,28,75.0,37.3,4,15.0,26.7,20,26.0,76.9,9,24,33,16,5,4,14,17,80,-15.0,1,81,2010-12-27,0
164,Pelicans,36,85.0,42.4,3,11.0,27.3,23,27.0,85.2,13,26,39,23,8,4,10,25,98,-15.0,0,82,2010-12-27,0
165,Timberwolves,41,77.0,53.2,11,23.0,47.8,20,25.0,80.0,6,33,39,29,8,6,14,17,113,15.0,1,82,2010-12-27,1
166,Mavericks,41,84.0,48.8,11,23.0,47.8,10,11.0,90.9,6,37,43,29,7,2,14,20,103,10.0,0,83,2010-12-27,1
167,Thunder,34,81.0,42.0,6,17.0,35.3,19,23.0,82.6,8,31,39,20,9,6,11,14,93,-10.0,1,83,2010-12-27,0
168,Wizards,34,85.0,40.0,3,8.0,37.5,22,29.0,75.9,15,27,42,15,8,7,14,21,93,-7.0,0,84,2010-12-27,0
169,Rockets,37,81.0,45.7,6,20.0,30.0,20,25.0,80.0,12,32,44,20,5,6,13,24,100,7.0,1,84,2010-12-27,1
170,Trail Blazers,33,70.0,47.1,5,17.0,29.4,25,30.0,83.3,10,31,41,20,10,8,16,22,96,5.0,0,85,2010-12-27,1
171,Jazz,32,74.0,43.2,10,20.0,50.0,17,19.0,89.5,8,23,31,17,6,5,17,19,91,-5.0,1,85,2010-12-27,0
172,Clippers,40,83.0,48.2,9,22.0,40.9,11,15.0,73.3,16,32,48,23,6,5,19,14,100,1.0,0,86,2010-12-27,1
173,Kings,36,87.0,41.4,13,26.0,50.0,14,17.0,82.4,15,19,34,18,10,7,9,16,99,-1.0,1,86,2010-12-27,0
174,76ers,38,88.0,43.2,4,17.0,23.5,15,20.0,75.0,18,36,54,25,4,3,17,15,95,-15.0,0,87,2010-12-27,0
175,Warriors,39,83.0,47.0,15,23.0,65.2,17,21.0,81.0,10,34,44,31,9,6,12,17,110,15.0,1,87,2010-12-27,1
176,Magic,40,79.0,50.6,19,31.0,61.3,11,15.0,73.3,6,29,35,27,11,2,20,25,110,15.0,0,88,2010-12-28,1
177,Cavaliers,33,72.0,45.8,6,19.0,31.6,23,33.0,69.7,6,29,35,22,13,5,19,19,95,-15.0,1,88,2010-12-28,0
178,Celtics,37,73.0,50.7,6,11.0,54.5,15,22.0,68.2,5,34,39,18,6,5,12,19,95,12.0,0,89,2010-12-28,1
179,Pacers,29,78.0,37.2,5,17.0,29.4,20,25.0,80.0,10,31,41,15,7,1,15,24,83,-12.0,1,89,2010-12-28,0
180,Knicks,34,82.0,41.5,7,24.0,29.2,23,32.0,71.9,9,23,32,14,4,5,9,22,98,-8.0,0,90,2010-12-28,0
181,Heat,38,79.0,48.1,3,13.0,23.1,27,34.0,79.4,13,37,50,15,2,5,10,20,106,8.0,1,90,2010-12-28,1
182,Bucks,27,84.0,32.1,5,14.0,35.7,18,25.0,72.0,19,32,51,11,4,7,13,15,77,-13.0,0,91,2010-12-28,0
183,Bulls,36,76.0,47.4,6,15.0,40.0,12,16.0,75.0,6,36,42,24,6,11,12,21,90,13.0,1,91,2010-12-28,1
184,Raptors,33,69.0,47.8,2,10.0,20.0,16,22.0,72.7,10,32,42,20,9,5,17,14,84,8.0,0,92,2010-12-28,1
185,Mavericks,31,75.0,41.3,5,22.0,22.7,9,12.0,75.0,11,24,35,19,6,6,17,17,76,-8.0,1,92,2010-12-28,0
186,Lakers,29,82.0,35.4,8,23.0,34.8,16,22.0,72.7,12,39,51,15,5,6,16,19,82,-15.0,0,93,2010-12-28,0
187,Spurs,37,87.0,42.5,9,32.0,28.1,14,21.0,66.7,12,38,50,20,9,8,9,23,97,15.0,1,93,2010-12-28,1
188,Trail Blazers,32,80.0,40.0,6,13.0,46.2,7,8.0,87.5,11,27,38,17,9,10,14,20,77,-18.0,0,94,2010-12-28,0
189,Nuggets,34,75.0,45.3,6,16.0,37.5,21,26.0,80.8,10,35,45,22,6,6,15,15,95,18.0,1,94,2010-12-28,1
190,Warriors,37,83.0,44.6,8,24.0,33.3,11,15.0,73.3,10,33,43,22,8,2,15,13,93,-10.0,0,95,2010-12-29,0
