,Player,Team,Number,Position,Height,Weight,Last Attended,Country
108,SethCurry,PHI,31,G,6-2,185 lbs,Duke,USA
109,StephenCurry,GSW,30,G,6-2,185 lbs,Davidson,USA
110,AnthonyDavis,LAL,3,F-C,6-10,253 lbs,Kentucky,USA
111,EdDavis,CLE,21,C-F,6-9,218 lbs,North Carolina,USA
112,TerenceDavis,SAC,3,G,6-4,201 lbs,Mississippi,USA
113,DeMarDeRozan,CHI,11,G-F,6-6,220 lbs,Southern California,USA
114,GabrielDeck,OKC,6,F,6-6,231 lbs,Real Madrid,Argentina
115,DewayneDedmon,MIA,21,C,7-0,245 lbs,Southern California,USA
116,SamDekker,TOR,8,F,6-8,219 lbs,Wisconsin,USA
117,DonteDiVincenzo,MIL,0,G,6-4,203 lbs,Villanova,USA
118,HamidouDiallo,DET,6,G,6-5,202 lbs,Kentucky,USA
119,GorguiDieng,ATL,10,C,6-10,248 lbs,Louisville,Senegal
120,SpencerDinwiddie,WAS,26,G,6-6,215 lbs,Colorado,USA
121,LukaDoncic,DAL,77,F-G,6-7,230 lbs,Real Madrid,Slovenia
122,LuguentzDort,OKC,5,G,6-3,215 lbs,Arizona State,Canada
123,AyoDosunmu,CHI,12,G,6-4,200 lbs,Illinois,USA
124,DevonDotson,CHI,3,G,6-1,185 lbs,Kansas,USA
125,SekouDoumbouya,LAL,45,F,6-8,230 lbs,Limoges,France
126,JeffDowtin,GSW,4,G,6-3,177 lbs,Rhode Island,USA
127,P.J.Dozier,DEN,35,G-F,6-6,205 lbs,South Carolina,USA
128,GoranDragic,TOR,1,G,6-3,190 lbs,Union Olimpija,Slovenia
129,AndreDrummond,PHI,1,C,6-10,279 lbs,Connecticut,USA
130,ChrisDuarte,IND,3,G,6-5,190 lbs,Oregon,Dominican Republic
131,DavidDuke Jr.,BKN,6,G,6-4,204 lbs,Providence,USA
132,KevinDurant,BKN,7,F,6-10,240 lbs,Texas-Austin,USA
133,AnthonyEdwards,MIN,1,G,6-4,225 lbs,Georgia,USA
134,KesslerEdwards,BKN,14,F,6-7,203 lbs,Pepperdine,USA
135,CJElleby,POR,16,F-G,6-6,200 lbs,Washington State,USA
136,WayneEllington,LAL,2,G,6-4,207 lbs,North Carolina,USA
137,JoelEmbiid,PHI,21,C-F,7-0,280 lbs,Kansas,Cameroon
138,DrewEubanks,SAS,14,F-C,6-9,245 lbs,Oregon State,USA
139,TackoFall,CLE,99,C,7-6,311 lbs,Central Florida,Senegal
140,DerrickFavors,OKC,15,F,6-9,265 lbs,Georgia Tech,USA
141,BrunoFernando,BOS,28,F-C,6-9,240 lbs,Maryland,Angola
142,DorianFinney-Smith,DAL,10,F,6-7,220 lbs,Florida,USA
143,MalikFitts,UTA,24,F,6-5,230 lbs,St. Mary's College,USA
144,MalachiFlynn,TOR,22,G,6-1,175 lbs,San Diego State,USA
