,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Maurice Harkless,Orlando Magic,23:30,6,13,46.2,2,2,100,0,1,0.0,1,0,1,0,1,0,0,4,14,-3,0,2013-10-29
1,Nikola Vucevic,Orlando Magic,30:39,4,11,36.4,0,0,0.0,0,0,0.0,5,5,10,3,2,1,5,4,8,-22,0,2013-10-29
2,Victor Oladipo,Orlando Magic,22:35,4,11,36.4,1,2,50.0,3,5,60.0,1,2,3,2,1,0,3,2,12,-11,0,2013-10-29
3,E'Twaun Moore,Orlando Magic,25:45,3,6,50.0,0,1,0.0,0,0,0.0,1,0,1,1,2,0,2,2,6,3,0,2013-10-29
4,Paul George,Indiana Pacers,36:05,8,16,50.0,3,6,50.0,5,7,71.4,1,5,6,5,1,3,4,0,24,11,0,2013-10-29
5,George Hill,Indiana Pacers,29:04,2,8,25.0,0,2,0.0,3,4,75.0,0,2,2,0,0,0,1,0,7,5,0,2013-10-29
6,Solomon Hill,Indiana Pacers,8:07,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-10,0,2013-10-29
7,Jimmy Butler,Chicago Bulls,29:55,6,12,50.0,2,4,50.0,6,7,85.7,0,3,3,3,5,1,2,4,20,10,1,2013-10-29
8,Derrick Rose,Chicago Bulls,34:21,4,15,26.7,1,7,14.3,3,4,75.0,0,1,1,4,0,0,5,2,12,-9,1,2013-10-29
9,Taj Gibson,Chicago Bulls,29:19,4,8,50.0,0,0,0.0,2,3,66.7,4,4,8,3,0,0,0,1,10,-13,1,2013-10-29
10,Tony Snell,Chicago Bulls,6:44,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0,-10,1,2013-10-29
11,LeBron James,Miami Heat,38:01,5,11,45.5,0,1,0.0,7,9,77.8,0,6,6,8,1,0,2,0,17,8,1,2013-10-29
12,Udonis Haslem,Miami Heat,21:28,2,4,50.0,0,0,0.0,2,2,100,1,2,3,0,0,0,3,3,6,0,1,2013-10-29
13,Blake Griffin,Los Angeles Clippers,40:09,8,15,53.3,0,0,0.0,3,10,30.0,2,5,7,3,1,0,4,1,19,-6,2,2013-10-29
14,DeAndre Jordan,Los Angeles Clippers,35:29,8,10,80.0,0,0,0.0,1,2,50.0,4,7,11,1,3,3,1,5,17,-13,2,2013-10-29
15,Chris Paul,Los Angeles Clippers,35:58,5,13,38.5,0,2,0.0,5,5,100,0,6,6,11,5,0,1,4,15,-13,2,2013-10-29
16,Reggie Bullock,Los Angeles Clippers,1:05,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2013-10-29
17,Brook Lopez,Brooklyn Nets,33:37,9,18,50.0,0,0,0.0,3,5,60.0,2,3,5,1,0,4,1,3,21,-4,3,2013-10-30
18,Tristan Thompson,Cleveland Cavaliers,34:51,8,13,61.5,0,0,0.0,2,4,50.0,3,6,9,0,0,0,1,2,18,-3,3,2013-10-30
19,Kyrie Irving,Cleveland Cavaliers,30:55,4,16,25.0,0,2,0.0,7,9,77.8,0,7,7,9,2,0,2,4,15,-1,3,2013-10-30
20,LeBron James,Miami Heat,36:38,9,17,52.9,4,7,57.1,3,4,75.0,0,4,4,13,0,0,4,3,25,-8,4,2013-10-30
21,Udonis Haslem,Miami Heat,11:32,1,1,100,0,0,0.0,0,1,0.0,0,0,0,0,0,0,1,0,2,-12,4,2013-10-30
22,Thaddeus Young,Philadelphia 76ers,34:20,5,15,33.3,0,1,0.0,0,0,0.0,4,2,6,2,2,0,5,2,10,11,4,2013-10-30
23,Michael Carter-Williams,Philadelphia 76ers,36:10,6,10,60.0,4,6,66.7,6,8,75.0,0,7,7,12,9,0,1,1,22,12,4,2013-10-30
24,Jeff Green,Boston Celtics,37:03,8,16,50.0,2,3,66.7,7,9,77.8,0,5,5,2,1,1,1,4,25,8,5,2013-10-30
25,Avery Bradley,Boston Celtics,31:19,4,13,30.8,0,3,0.0,0,0,0.0,1,4,5,4,2,1,4,6,8,-3,5,2013-10-30
26,Kelly Olynyk,Boston Celtics,16:18,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,3,2,4,-19,5,2013-10-30
27,Rudy Gay,Toronto Raptors,34:10,8,18,44.4,1,2,50.0,2,3,66.7,2,6,8,1,2,0,5,3,19,-1,5,2013-10-30
28,Jonas Valanciunas,Toronto Raptors,31:23,4,9,44.4,0,0,0.0,0,0,0.0,5,6,11,0,1,2,3,4,8,7,5,2013-10-30
29,DeMar DeRozan,Toronto Raptors,40:24,6,19,31.6,1,3,33.3,0,2,0.0,0,2,2,2,2,0,5,3,13,6,5,2013-10-30
30,Kyle Lowry,Toronto Raptors,34:45,2,8,25.0,0,3,0.0,7,12,58.3,2,1,3,8,2,0,2,2,11,2,5,2013-10-30
31,D.J. Augustin,Toronto Raptors,13:15,2,7,28.6,0,3,0.0,1,1,100,0,0,0,2,0,0,1,1,5,4,5,2013-10-30
32,Terrence Ross,Toronto Raptors,12:12,2,3,66.7,1,1,100,1,2,50.0,0,2,2,0,2,0,1,2,6,1,5,2013-10-30
33,Trevor Ariza,Washington Wizards,37:38,8,14,57.1,6,11,54.5,6,8,75.0,1,9,10,3,1,0,2,4,28,-9,6,2013-10-30
34,Bradley Beal,Washington Wizards,38:15,6,18,33.3,2,6,33.3,3,3,100,1,3,4,2,0,0,3,3,17,-3,6,2013-10-30
35,John Wall,Washington Wizards,38:59,8,21,38.1,0,4,0.0,4,6,66.7,2,0,2,11,3,0,4,3,20,-8,6,2013-10-30
36,Garrett Temple,Washington Wizards,5:03,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,1,0,-7,6,2013-10-30
37,Andre Drummond,Detroit Pistons,26:18,6,7,85.7,0,0,0.0,0,0,0.0,3,5,8,1,0,0,1,5,12,4,6,2013-10-30
38,Kentavious Caldwell-Pope,Detroit Pistons,27:04,4,12,33.3,0,3,0.0,1,2,50.0,0,1,1,2,2,0,2,4,9,7,6,2013-10-30
39,Khris Middleton,Milwaukee Bucks,19:15,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,3,3,2,-2,7,2013-10-30
40,Giannis Antetokounmpo,Milwaukee Bucks,4:43,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,1,2,1,-3,7,2013-10-30
41,Carmelo Anthony,New York Knicks,37:39,7,16,43.8,0,2,0.0,5,6,83.3,2,8,10,1,1,0,3,2,19,4,7,2013-10-30
42,Kemba Walker,Charlotte Bobcats,34:43,5,10,50.0,0,1,0.0,2,2,100,1,1,2,5,4,0,3,3,12,-1,8,2013-10-30
43,Cody Zeller,Charlotte Bobcats,15:31,1,6,16.7,0,0,0.0,0,0,0.0,3,1,4,0,0,1,1,2,2,3,8,2013-10-30
44,Dwight Howard,Houston Rockets,34:41,8,14,57.1,0,0,0.0,1,4,25.0,6,20,26,2,0,2,4,3,17,10,8,2013-10-30
45,James Harden,Houston Rockets,36:51,7,16,43.8,1,6,16.7,6,6,100,1,2,3,5,1,0,5,1,21,9,8,2013-10-30
46,Patrick Beverley,Houston Rockets,10:23,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,1,0,0,2,0,5,4,8,2013-10-30
47,Maurice Harkless,Orlando Magic,19:15,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-4,9,2013-10-30
48,Nikola Vucevic,Orlando Magic,45:40,9,15,60.0,0,0,0.0,4,6,66.7,7,9,16,3,3,3,2,4,22,8,9,2013-10-30
49,Victor Oladipo,Orlando Magic,36:33,5,14,35.7,1,5,20.0,3,4,75.0,0,6,6,4,0,1,4,5,14,-5,9,2013-10-30
50,E'Twaun Moore,Orlando Magic,21:08,4,11,36.4,2,3,66.7,0,0,0.0,0,1,1,0,1,1,1,2,10,-7,9,2013-10-30
51,Kevin Love,Minnesota Timberwolves,40:37,8,19,42.1,3,8,37.5,12,16,75.0,4,13,17,4,0,0,1,3,31,9,9,2013-10-30
52,Ricky Rubio,Minnesota Timberwolves,40:07,5,15,33.3,1,3,33.3,2,2,100,2,4,6,11,3,1,4,3,13,-1,9,2013-10-30
53,Paul George,Indiana Pacers,39:26,9,19,47.4,4,11,36.4,10,13,76.9,0,6,6,5,2,0,2,2,32,9,10,2013-10-30
54,George Hill,Indiana Pacers,35:43,6,13,46.2,4,7,57.1,3,4,75.0,0,1,1,4,1,0,3,4,19,1,10,2013-10-30
55,Anthony Davis,New Orleans Pelicans,37:44,8,20,40.0,0,0,0.0,4,4,100,7,5,12,0,1,3,4,4,20,-2,10,2013-10-30
56,Eric Gordon,New Orleans Pelicans,33:29,8,19,42.1,3,5,60.0,6,9,66.7,1,2,3,1,2,0,1,0,25,-2,10,2013-10-30
57,Jrue Holiday,New Orleans Pelicans,36:08,8,18,44.4,2,4,50.0,6,6,100,0,7,7,5,1,0,2,3,24,-6,10,2013-10-30
58,Paul Millsap,Atlanta Hawks,35:45,9,15,60.0,0,2,0.0,2,4,50.0,2,3,5,3,1,1,2,4,20,-7,11,2013-10-30
59,Al Horford,Atlanta Hawks,31:59,5,12,41.7,0,0,0.0,1,2,50.0,1,4,5,3,5,4,3,1,11,-14,11,2013-10-30
60,Dennis Schroder,Atlanta Hawks,18:29,2,5,40.0,1,2,50.0,0,0,0.0,0,4,4,5,0,0,2,3,5,10,11,2013-10-30
61,Wayne Ellington,Dallas Mavericks,13:42,2,4,50.0,1,3,33.3,1,2,50.0,1,2,3,0,1,0,0,1,6,3,11,2013-10-30
