,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Andre Drummond,Detroit Pistons,37:09,6,16,37.5,0,0,0.0,6,10,60.0,8,11,19,3,1,2,2,4,18,23,0
1,Kentavious Caldwell-Pope,Detroit Pistons,37:03,7,14,50.0,4,7,57.1,3,3,100,1,3,4,1,1,0,2,1,21,17,0
2,Reggie Jackson,Detroit Pistons,32:07,4,10,40.0,2,4,50.0,5,5,100,1,7,8,5,2,0,2,0,15,26,0
3,Kent Bazemore,Atlanta Hawks,20:50,0,3,0.0,0,1,0.0,0,0,0.0,0,7,7,1,0,0,4,3,0,-17,0
4,Paul Millsap,Atlanta Hawks,36:00,7,15,46.7,2,6,33.3,3,4,75.0,1,7,8,3,0,0,2,4,19,-22,0
5,Al Horford,Atlanta Hawks,30:14,6,11,54.5,1,3,33.3,2,3,66.7,1,3,4,4,2,3,1,1,15,-5,0
6,Dennis Schroder,Atlanta Hawks,25:22,8,14,57.1,2,5,40.0,2,2,100,1,2,3,4,2,0,1,1,20,4,0
7,Mike Muscala,Atlanta Hawks,7:59,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,5,0
8,LeBron James,Cleveland Cavaliers,36:04,12,22,54.5,1,5,20.0,0,3,0.0,0,10,10,5,1,0,1,3,25,1,1
9,Kevin Love,Cleveland Cavaliers,34:49,6,17,35.3,3,7,42.9,3,3,100,4,4,8,4,0,2,2,0,18,1,1
10,Tristan Thompson,Cleveland Cavaliers,24:55,1,4,25.0,0,0,0.0,0,0,0.0,2,10,12,0,1,0,1,4,2,-6,1
11,Tony Snell,Chicago Bulls,28:48,4,9,44.4,2,5,40.0,1,2,50.0,0,2,2,0,0,0,1,4,11,-1,1
12,Jimmy Butler,Chicago Bulls,36:38,6,14,42.9,0,2,0.0,5,5,100,1,4,5,2,2,1,0,1,17,3,1
13,Derrick Rose,Chicago Bulls,32:28,8,22,36.4,0,2,0.0,2,4,50.0,0,1,1,5,1,0,2,0,18,-1,1
14,Doug McDermott,Chicago Bulls,16:12,3,4,75.0,1,2,50.0,1,2,50.0,0,4,4,0,0,0,0,0,8,-2,1
15,E'Twaun Moore,Chicago Bulls,14:22,5,8,62.5,1,2,50.0,0,0,0.0,0,3,3,1,0,0,0,3,11,4,1
16,Taj Gibson,Chicago Bulls,22:06,1,3,33.3,0,0,0.0,3,4,75.0,2,8,10,0,0,3,3,6,5,2,1
17,Anthony Davis,New Orleans Pelicans,34:31,4,20,20.0,0,2,0.0,10,15,66.7,1,5,6,2,0,3,5,4,18,-16,2
18,Eric Gordon,New Orleans Pelicans,33:29,5,17,29.4,2,7,28.6,2,2,100,0,4,4,4,1,0,4,1,14,-9,2
19,Ish Smith,New Orleans Pelicans,38:01,7,13,53.8,1,2,50.0,2,4,50.0,1,1,2,9,3,0,2,5,17,5,2
20,Harrison Barnes,Golden State Warriors,32:42,3,12,25.0,1,5,20.0,1,2,50.0,5,4,9,3,1,0,1,3,8,17,2
21,Draymond Green,Golden State Warriors,29:26,3,12,25.0,2,5,40.0,2,2,100,3,5,8,2,1,0,1,5,10,20,2
22,Klay Thompson,Golden State Warriors,26:26,3,8,37.5,0,2,0.0,3,3,100,0,5,5,3,1,1,7,5,9,4,2
23,Stephen Curry,Golden State Warriors,35:37,14,26,53.8,5,12,41.7,7,7,100,3,3,6,7,2,0,2,1,40,12,2
24,Andre Iguodala,Golden State Warriors,23:23,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,3,1,0,1,2,2,1,2
25,Bradley Beal,Washington Wizards,37:36,9,19,47.4,2,8,25.0,4,7,57.1,3,3,6,0,0,1,4,2,24,4,3
26,John Wall,Washington Wizards,39:23,9,18,50.0,2,6,33.3,2,6,33.3,1,6,7,6,3,5,6,3,22,10,3
27,Evan Fournier,Orlando Magic,26:59,1,7,14.3,0,3,0.0,1,2,50.0,0,4,4,1,2,0,1,1,3,-1,3
28,Tobias Harris,Orlando Magic,31:05,7,14,50.0,0,3,0.0,1,2,50.0,2,5,7,3,0,1,2,4,15,-1,3
29,Nikola Vucevic,Orlando Magic,28:29,5,13,38.5,0,0,0.0,0,0,0.0,1,6,7,2,1,2,2,4,10,-10,3
30,Victor Oladipo,Orlando Magic,35:58,7,20,35.0,1,8,12.5,2,2,100,3,8,11,2,2,0,1,2,17,-10,3
31,Elfrid Payton,Orlando Magic,34:46,5,15,33.3,1,3,33.3,0,0,0.0,4,6,10,8,1,0,2,1,11,-11,3
32,Aaron Gordon,Orlando Magic,17:01,4,8,50.0,0,2,0.0,4,6,66.7,4,3,7,1,0,1,0,0,12,2,3
33,Dewayne Dedmon,Orlando Magic,14:44,2,6,33.3,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,4,4,12,3
34,Nerlens Noel,Philadelphia 76ers,35:02,5,13,38.5,0,0,0.0,4,7,57.1,3,10,13,2,3,2,3,4,14,-2,4
35,T.J. McConnell,Philadelphia 76ers,27:35,2,5,40.0,0,1,0.0,0,0,0.0,1,0,1,4,3,1,3,4,4,-19,4
36,Jerami Grant,Philadelphia 76ers,26:37,2,7,28.6,0,1,0.0,5,5,100,1,5,6,0,2,0,0,2,9,-22,4
37,Christian Wood,Philadelphia 76ers,5:36,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,0,-12,4
38,Richaun Holmes,Philadelphia 76ers,6:05,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,1,2,-4,4
39,Jae Crowder,Boston Celtics,31:12,4,7,57.1,2,4,50.0,4,4,100,2,4,6,3,2,0,3,3,14,-4,4
40,Avery Bradley,Boston Celtics,32:36,2,6,33.3,0,1,0.0,0,0,0.0,0,1,1,2,2,0,2,2,4,0,4
41,Marcus Smart,Boston Celtics,32:23,3,8,37.5,3,6,50.0,4,4,100,0,2,2,5,2,1,1,3,13,22,4
42,Terry Rozier,Boston Celtics,1:58,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,4
43,Tony Snell,Chicago Bulls,21:45,3,7,42.9,2,4,50.0,2,2,100,0,5,5,0,0,0,0,3,10,25,5
44,Jimmy Butler,Chicago Bulls,34:19,9,11,81.8,3,3,100,3,3,100,1,3,4,6,2,0,1,0,24,23,5
45,Derrick Rose,Chicago Bulls,29:26,5,11,45.5,0,1,0.0,5,5,100,0,2,2,3,1,0,2,2,15,18,5
46,Doug McDermott,Chicago Bulls,20:12,3,7,42.9,2,4,50.0,0,0,0.0,1,1,2,1,0,0,3,2,8,-14,5
47,Taj Gibson,Chicago Bulls,18:23,1,4,25.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,3,3,3,-15,5
48,E'Twaun Moore,Chicago Bulls,16:57,4,5,80.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,2,0,9,-1,5
49,Thaddeus Young,Brooklyn Nets,24:28,6,12,50.0,0,0,0.0,0,0,0.0,3,2,5,0,1,0,3,4,12,-15,5
50,Brook Lopez,Brooklyn Nets,33:20,10,17,58.8,0,0,0.0,6,7,85.7,4,3,7,2,0,1,3,2,26,-20,5
51,Wayne Ellington,Brooklyn Nets,12:03,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,-17,5
52,Bojan Bogdanovic,Brooklyn Nets,28:44,3,8,37.5,0,2,0.0,3,3,100,0,1,1,1,0,0,2,1,9,-2,5
53,Gordon Hayward,Utah Jazz,35:27,5,11,45.5,0,2,0.0,3,6,50.0,1,3,4,1,1,1,4,3,13,1,6
54,Derrick Favors,Utah Jazz,34:42,10,15,66.7,0,0,0.0,6,8,75.0,2,4,6,1,1,1,2,3,26,-3,6
