,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
203,Giannis Antetokounmpo,Milwaukee Bucks,33:58,11,18,61.1,0,2,0.0,5,7,71.4,2,5,7,9,2,2,4,1,27,20,20
204,Jabari Parker,Milwaukee Bucks,33:03,11,17,64.7,4,6,66.7,1,1,100,3,5,8,3,0,1,4,2,27,9,20
205,Tony Snell,Milwaukee Bucks,28:55,6,9,66.7,2,5,40.0,0,0,0.0,0,1,1,2,2,0,2,0,14,11,20
206,Malcolm Brogdon,Milwaukee Bucks,24:13,3,5,60.0,2,3,66.7,4,4,100,0,2,2,4,3,1,0,1,12,17,20
207,Danilo Gallinari,Denver Nuggets,36:58,6,9,66.7,4,7,57.1,3,3,100,0,5,5,2,0,0,1,1,19,-3,21
208,Nikola Jokic,Denver Nuggets,14:26,3,3,100,0,0,0.0,2,4,50.0,1,2,3,5,0,0,1,3,8,7,21
209,Jusuf Nurkic,Denver Nuggets,26:47,7,13,53.8,0,0,0.0,4,7,57.1,2,3,5,1,2,1,1,4,18,13,21
210,Jamal Murray,Denver Nuggets,29:27,0,8,0.0,0,4,0.0,0,0,0.0,0,3,3,4,0,0,1,2,0,5,21
211,Juancho Hernangomez,Denver Nuggets,10:41,1,1,100,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,2,5,21
212,Andrew Wiggins,Minnesota Timberwolves,34:45,9,18,50.0,2,3,66.7,5,5,100,1,2,3,1,0,0,1,3,25,2,21
213,Gorgui Dieng,Minnesota Timberwolves,27:54,1,6,16.7,0,0,0.0,0,0,0.0,2,2,4,2,0,1,4,4,2,-1,21
214,Karl-Anthony Towns,Minnesota Timberwolves,37:31,11,19,57.9,2,4,50.0,8,10,80.0,5,9,14,2,1,2,2,4,32,-1,21
215,Zach LaVine,Minnesota Timberwolves,35:40,4,13,30.8,2,6,33.3,4,6,66.7,1,4,5,3,1,0,0,2,14,-2,21
216,Nemanja Bjelica,Minnesota Timberwolves,22:05,5,13,38.5,2,5,40.0,2,2,100,2,6,8,1,0,0,4,2,14,-3,21
217,Tyus Jones,Minnesota Timberwolves,18:08,1,5,20.0,0,2,0.0,0,0,0.0,1,1,2,1,2,0,0,1,2,0,21
218,Jaylen Brown,Boston Celtics,35:26,8,16,50.0,3,6,50.0,0,1,0.0,3,2,5,2,3,1,1,4,19,15,22
219,Avery Bradley,Boston Celtics,38:52,11,20,55.0,2,6,33.3,2,2,100,1,9,10,2,1,0,3,2,26,-2,22
220,Marcus Smart,Boston Celtics,28:15,5,9,55.6,3,6,50.0,1,2,50.0,0,2,2,2,0,1,0,4,14,-21,22
221,Terry Rozier,Boston Celtics,15:58,3,5,60.0,1,2,50.0,0,0,0.0,0,3,3,2,0,0,0,2,7,6,22
222,LeBron James,Cleveland Cavaliers,36:22,12,22,54.5,1,4,25.0,5,5,100,1,6,7,12,1,0,2,2,30,18,22
223,Kevin Love,Cleveland Cavaliers,33:03,5,15,33.3,4,8,50.0,12,13,92.3,2,6,8,0,0,0,1,0,26,-8,22
