,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Gordon Hayward,Boston Celtics,5:15,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,3,0
1,Jayson Tatum,Boston Celtics,36:32,5,12,41.7,1,2,50.0,3,3,100,4,6,10,3,0,0,1,4,14,5,0
2,Al Horford,Boston Celtics,32:07,2,7,28.6,0,2,0.0,5,7,71.4,0,7,7,5,0,1,0,2,9,8,0
3,Jaylen Brown,Boston Celtics,39:36,11,23,47.8,2,9,22.2,1,2,50.0,1,5,6,0,2,0,3,5,25,-5,0
4,Kyrie Irving,Boston Celtics,39:21,8,17,47.1,4,9,44.4,2,2,100,2,2,4,10,3,0,2,4,22,-2,0
5,Marcus Smart,Boston Celtics,35:03,5,16,31.3,0,4,0.0,2,3,66.7,0,9,9,3,2,2,2,2,12,-8,0
6,Semi Ojeleye,Boston Celtics,8:39,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-9,0
7,Terry Rozier,Boston Celtics,19:32,2,6,33.3,1,3,33.3,4,4,100,0,3,3,2,4,0,0,0,9,5,0
8,LeBron James,Cleveland Cavaliers,41:12,12,19,63.2,1,5,20.0,4,4,100,1,15,16,9,0,2,4,3,29,3,0
9,Jae Crowder,Cleveland Cavaliers,34:44,3,10,30.0,1,5,20.0,4,4,100,1,4,5,2,2,0,1,2,11,8,0
10,Kevin Love,Cleveland Cavaliers,28:24,4,9,44.4,1,4,25.0,6,7,85.7,3,8,11,0,0,0,2,2,15,1,0
11,Derrick Rose,Cleveland Cavaliers,31:15,5,14,35.7,1,3,33.3,3,4,75.0,1,3,4,2,0,0,2,2,14,-7,0
12,Tristan Thompson,Cleveland Cavaliers,19:36,2,3,66.7,0,0,0.0,1,3,33.3,1,5,6,2,0,0,2,3,5,2,0
13,Jeff Green,Cleveland Cavaliers,14:14,3,8,37.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,3,6,-3,0
14,Gordon Hayward,Boston Celtics,5:15,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,3,1
15,Jayson Tatum,Boston Celtics,36:32,5,12,41.7,1,2,50.0,3,3,100,4,6,10,3,0,0,1,4,14,5,1
16,Al Horford,Boston Celtics,32:07,2,7,28.6,0,2,0.0,5,7,71.4,0,7,7,5,0,1,0,2,9,8,1
17,Jaylen Brown,Boston Celtics,39:36,11,23,47.8,2,9,22.2,1,2,50.0,1,5,6,0,2,0,3,5,25,-5,1
18,Kyrie Irving,Boston Celtics,39:21,8,17,47.1,4,9,44.4,2,2,100,2,2,4,10,3,0,2,4,22,-2,1
19,Marcus Smart,Boston Celtics,35:03,5,16,31.3,0,4,0.0,2,3,66.7,0,9,9,3,2,2,2,2,12,-8,1
20,Semi Ojeleye,Boston Celtics,8:39,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-9,1
21,Terry Rozier,Boston Celtics,19:32,2,6,33.3,1,3,33.3,4,4,100,0,3,3,2,4,0,0,0,9,5,1
22,LeBron James,Cleveland Cavaliers,41:12,12,19,63.2,1,5,20.0,4,4,100,1,15,16,9,0,2,4,3,29,3,1
23,Jae Crowder,Cleveland Cavaliers,34:44,3,10,30.0,1,5,20.0,4,4,100,1,4,5,2,2,0,1,2,11,8,1
24,Kevin Love,Cleveland Cavaliers,28:24,4,9,44.4,1,4,25.0,6,7,85.7,3,8,11,0,0,0,2,2,15,1,1
25,Derrick Rose,Cleveland Cavaliers,31:15,5,14,35.7,1,3,33.3,3,4,75.0,1,3,4,2,0,0,2,2,14,-7,1
26,Tristan Thompson,Cleveland Cavaliers,19:36,2,3,66.7,0,0,0.0,1,3,33.3,1,5,6,2,0,0,2,3,5,2,1
27,Jeff Green,Cleveland Cavaliers,14:14,3,8,37.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,3,6,-3,1
28,Dwight Howard,Charlotte Hornets,31:27,5,9,55.6,0,0,0.0,0,2,0.0,1,14,15,1,1,2,3,2,10,-3,2
29,Jeremy Lamb,Charlotte Hornets,28:21,4,10,40.0,0,3,0.0,7,8,87.5,0,4,4,2,1,0,2,2,15,-10,2
30,Kemba Walker,Charlotte Hornets,35:26,6,13,46.2,1,3,33.3,11,13,84.6,1,5,6,4,0,0,4,1,24,-11,2
31,Frank Kaminsky,Charlotte Hornets,23:12,1,9,11.1,0,5,0.0,2,2,100,0,4,4,2,0,0,0,0,4,-6,2
32,Malik Monk,Charlotte Hornets,21:28,1,9,11.1,1,6,16.7,0,0,0.0,0,0,0,1,0,0,3,1,3,-8,2
33,Cody Zeller,Charlotte Hornets,23:24,3,5,60.0,0,0,0.0,2,2,100,1,8,9,0,0,1,2,2,8,-4,2
34,Tobias Harris,Detroit Pistons,34:03,11,18,61.1,4,7,57.1,1,1,100,2,8,10,3,0,0,1,3,27,10,2
35,Andre Drummond,Detroit Pistons,22:21,3,9,33.3,0,0,0.0,2,2,100,5,8,13,4,1,2,0,3,8,8,2
36,Avery Bradley,Detroit Pistons,23:19,7,10,70.0,0,0,0.0,1,1,100,0,2,2,1,0,0,2,4,15,10,2
37,Reggie Jackson,Detroit Pistons,27:10,5,10,50.0,0,1,0.0,3,3,100,1,4,5,8,1,0,0,2,13,10,2
38,Ish Smith,Detroit Pistons,20:50,2,9,22.2,0,1,0.0,0,0,0.0,0,1,1,6,1,0,3,4,4,2,2
39,D'Angelo Russell,Brooklyn Nets,30:28,12,22,54.5,4,8,50.0,2,2,100,1,2,3,5,1,0,2,4,30,-5,3
40,Caris LeVert,Brooklyn Nets,27:45,5,15,33.3,1,4,25.0,1,1,100,0,2,2,4,2,1,1,3,12,-2,3
41,Spencer Dinwiddie,Brooklyn Nets,16:32,1,5,20.0,0,1,0.0,0,0,0.0,1,2,3,4,0,0,2,2,2,-6,3
42,Bojan Bogdanovic,Indiana Pacers,29:24,5,9,55.6,1,3,33.3,3,3,100,0,0,0,0,0,0,3,2,14,3,3
43,Thaddeus Young,Indiana Pacers,33:20,7,16,43.8,1,5,20.0,2,2,100,5,6,11,3,2,2,2,3,17,13,3
44,Myles Turner,Indiana Pacers,33:56,8,13,61.5,1,3,33.3,4,4,100,3,11,14,2,0,4,1,3,21,12,3
45,Victor Oladipo,Indiana Pacers,24:33,6,12,50.0,2,6,33.3,8,10,80.0,0,5,5,4,4,0,3,5,22,11,3
46,Cory Joseph,Indiana Pacers,24:40,4,10,40.0,1,2,50.0,2,2,100,1,2,3,4,2,1,1,1,11,7,3
47,Domantas Sabonis,Indiana Pacers,19:13,7,7,100,0,0,0.0,2,3,66.7,4,3,7,1,0,0,1,3,16,-4,3
48,Josh Richardson,Miami Heat,34:56,4,9,44.4,2,7,28.6,0,0,0.0,0,2,2,2,0,1,2,3,10,3,4
49,Kelly Olynyk,Miami Heat,21:00,3,7,42.9,1,2,50.0,3,3,100,0,5,5,3,0,0,0,4,10,-10,4
50,Hassan Whiteside,Miami Heat,36:14,11,17,64.7,1,1,100,3,3,100,5,17,22,1,0,1,1,1,26,-5,4
51,Goran Dragic,Miami Heat,30:37,6,19,31.6,1,4,25.0,4,4,100,3,2,5,6,1,0,0,0,17,-9,4
52,James Johnson,Miami Heat,18:42,5,9,55.6,0,2,0.0,1,4,25.0,2,2,4,8,1,1,4,5,11,6,4
53,Justise Winslow,Miami Heat,23:16,4,8,50.0,1,1,100,1,2,50.0,1,3,4,2,1,0,1,2,10,-13,4
54,Bam Adebayo,Miami Heat,5:42,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,3,4
55,Wayne Ellington,Miami Heat,9:57,1,5,20.0,0,4,0.0,1,1,100,0,0,0,0,1,0,1,0,3,-5,4
56,Evan Fournier,Orlando Magic,34:25,9,17,52.9,3,5,60.0,2,2,100,0,1,1,3,1,0,1,0,23,2,4
57,Aaron Gordon,Orlando Magic,34:13,4,13,30.8,1,2,50.0,5,6,83.3,2,7,9,3,0,2,1,4,14,10,4
58,Nikola Vucevic,Orlando Magic,31:37,6,12,50.0,0,3,0.0,7,8,87.5,2,10,12,1,2,2,1,1,19,11,4
59,Terrence Ross,Orlando Magic,31:12,5,11,45.5,3,7,42.9,2,2,100,0,6,6,4,2,0,1,0,15,18,4
60,Elfrid Payton,Orlando Magic,31:43,6,12,50.0,1,1,100,0,2,0.0,0,3,3,9,3,1,4,2,13,9,4
61,Jonathan Isaac,Orlando Magic,16:57,2,3,66.7,0,1,0.0,0,0,0.0,3,5,8,0,0,2,0,3,4,-1,4
62,D.J. Augustin,Orlando Magic,16:17,2,4,50.0,0,1,0.0,3,5,60.0,1,3,4,2,0,0,2,1,7,-2,4
63,Robert Covington,Philadelphia 76ers,29:08,9,15,60.0,7,11,63.6,4,4,100,2,5,7,1,1,2,5,4,29,10,5
64,Ben Simmons,Philadelphia 76ers,34:40,7,14,50.0,0,0,0.0,4,6,66.7,3,7,10,5,2,1,1,3,18,3,5
65,Joel Embiid,Philadelphia 76ers,26:57,7,15,46.7,0,4,0.0,4,4,100,1,12,13,3,0,1,4,2,18,1,5
66,Markelle Fultz,Philadelphia 76ers,17:54,5,9,55.6,0,0,0.0,0,2,0.0,2,1,3,1,0,1,2,0,10,-18,5
67,Dario Saric,Philadelphia 76ers,22:42,1,5,20.0,0,2,0.0,1,1,100,1,2,3,2,0,1,0,3,3,-9,5
68,T.J. McConnell,Philadelphia 76ers,14:55,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,0,2,-14,5
69,Timothe Luwawu-Cabarrot,Philadelphia 76ers,18:21,2,6,33.3,1,3,33.3,0,0,0.0,1,1,2,2,1,0,0,2,5,-19,5
70,Bradley Beal,Washington Wizards,35:37,6,17,35.3,1,4,25.0,12,16,75.0,2,4,6,4,3,1,2,2,25,12,5
71,John Wall,Washington Wizards,37:09,10,28,35.7,0,3,0.0,8,9,88.9,2,3,5,8,0,2,2,2,28,19,5
72,Giannis Antetokounmpo,Milwaukee Bucks,36:56,13,22,59.1,0,1,0.0,11,13,84.6,1,12,13,3,3,0,5,4,37,7,6
73,Khris Middleton,Milwaukee Bucks,43:26,6,17,35.3,1,5,20.0,2,2,100,2,7,9,6,2,0,5,4,15,10,6
74,Tony Snell,Milwaukee Bucks,29:29,2,4,50.0,1,3,33.3,0,0,0.0,0,4,4,1,0,0,0,4,5,-4,6
75,Malcolm Brogdon,Milwaukee Bucks,41:26,6,10,60.0,3,5,60.0,4,4,100,0,1,1,4,0,0,2,2,19,10,6
76,Jaylen Brown,Boston Celtics,28:09,6,11,54.5,2,3,66.7,4,5,80.0,1,4,5,3,0,0,0,6,18,0,6
77,Jayson Tatum,Boston Celtics,36:32,3,7,42.9,0,1,0.0,2,5,40.0,2,7,9,2,1,0,2,3,8,-15,6
78,Al Horford,Boston Celtics,33:27,6,11,54.5,0,2,0.0,1,1,100,1,5,6,4,3,2,2,3,13,1,6
79,Marcus Smart,Boston Celtics,32:20,4,13,30.8,3,7,42.9,1,6,16.7,3,4,7,4,3,0,3,4,12,-4,6
80,Kyrie Irving,Boston Celtics,38:56,7,25,28.0,2,7,28.6,1,2,50.0,1,3,4,3,3,0,3,1,17,-2,6
81,Abdel Nader,Boston Celtics,11:26,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,4,-4,6
82,Terry Rozier,Boston Celtics,26:48,6,12,50.0,3,5,60.0,0,0,0.0,0,7,7,6,2,0,0,4,15,-11,6
83,Daniel Theis,Boston Celtics,4:45,2,3,66.7,0,0,0.0,2,2,100,2,0,2,0,0,0,1,1,6,2,6
84,Semi Ojeleye,Boston Celtics,11:39,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,3,0,6
85,Anthony Davis,New Orleans Pelicans,40:14,9,23,39.1,1,2,50.0,14,17,82.4,7,11,18,0,0,1,5,5,33,-15,7
86,E'Twaun Moore,New Orleans Pelicans,34:23,5,11,45.5,0,2,0.0,1,1,100,1,1,2,4,1,0,2,3,11,0,7
87,Jrue Holiday,New Orleans Pelicans,38:30,2,11,18.2,0,3,0.0,0,0,0.0,2,4,6,4,1,0,2,5,4,-2,7
88,JaMychal Green,Memphis Grizzlies,3:53,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,0,7
89,Mike Conley,Memphis Grizzlies,32:41,9,15,60.0,4,9,44.4,5,7,71.4,0,5,5,3,2,0,1,3,27,8,7
90,Dillon Brooks,Memphis Grizzlies,29:25,7,13,53.8,0,2,0.0,5,7,71.4,2,3,5,2,4,2,2,2,19,17,7
91,Taurean Prince,Atlanta Hawks,25:51,4,10,40.0,0,0,0.0,2,2,100,2,8,10,1,0,1,1,2,10,-5,8
92,Dewayne Dedmon,Atlanta Hawks,25:35,3,6,50.0,0,0,0.0,3,4,75.0,2,5,7,1,0,3,4,2,9,-2,8
93,Kent Bazemore,Atlanta Hawks,26:38,3,7,42.9,1,1,100,0,0,0.0,1,3,4,3,1,0,1,2,7,-5,8
94,Dennis Schroder,Atlanta Hawks,34:17,13,26,50.0,1,3,33.3,1,2,50.0,0,2,2,7,2,0,2,1,28,-3,8
95,John Collins,Atlanta Hawks,22:25,6,10,60.0,0,0,0.0,2,3,66.7,3,2,5,1,2,0,1,1,14,8,8
96,Mike Muscala,Atlanta Hawks,13:32,2,3,66.7,0,1,0.0,0,0,0.0,1,3,4,2,0,0,0,2,4,-5,8
97,DeAndre' Bembry,Atlanta Hawks,17:45,3,6,50.0,0,1,0.0,0,0,0.0,1,5,6,1,2,1,2,0,6,13,8
98,Harrison Barnes,Dallas Mavericks,38:03,3,13,23.1,0,6,0.0,8,9,88.9,1,6,7,3,1,0,2,0,14,1,8
99,Nerlens Noel,Dallas Mavericks,19:35,6,6,100,0,0,0.0,4,4,100,2,9,11,0,1,3,0,2,16,9,8
100,Dwight Powell,Dallas Mavericks,13:53,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,1,1,1,2,6,-4,8
101,Dorian Finney-Smith,Dallas Mavericks,10:53,1,3,33.3,0,2,0.0,0,0,0.0,1,2,3,0,0,0,2,2,2,-5,8
102,Paul Millsap,Denver Nuggets,33:30,7,15,46.7,1,5,20.0,4,5,80.0,1,5,6,1,0,0,5,3,19,-6,9
