,Visitor,VisitorScore,Home,HomeScore,Date
0,Warriors,99,Nets,125,2020-12-22
1,Clippers,116,Lakers,109,2020-12-22
2,Hornets,114,Cavaliers,121,2020-12-23
3,Knicks,107,Pacers,121,2020-12-23
4,Heat,107,Magic,113,2020-12-23
5,Wizards,107,76ers,113,2020-12-23
6,Bucks,121,Celtics,122,2020-12-23
7,Pelicans,113,Raptors,99,2020-12-23
8,Hawks,124,Bulls,104,2020-12-23
9,Spurs,131,Grizzlies,119,2020-12-23
10,Pistons,101,Timberwolves,111,2020-12-23
11,Kings,124,Nuggets,122,2020-12-23
12,Jazz,120,Trail Blazers,100,2020-12-23
13,Mavericks,102,Suns,106,2020-12-23
14,Pelicans,98,Heat,111,2020-12-25
15,Warriors,99,Bucks,138,2020-12-25
16,Nets,123,Celtics,95,2020-12-25
17,Mavericks,115,Lakers,138,2020-12-25
18,Clippers,121,Nuggets,108,2020-12-25
19,Hawks,122,Grizzlies,112,2020-12-26
20,Thunder,109,Hornets,107,2020-12-26
21,Cavaliers,128,Pistons,119,2020-12-26
22,Magic,130,Wizards,120,2020-12-26
23,76ers,109,Knicks,89,2020-12-26
24,Pacers,125,Bulls,106,2020-12-26
25,Raptors,114,Spurs,119,2020-12-26
26,Timberwolves,116,Jazz,111,2020-12-26
27,Rockets,126,Trail Blazers,128,2020-12-26
28,Suns,103,Kings,106,2020-12-26
29,Mavericks,124,Clippers,73,2020-12-27
30,Nets,104,Hornets,106,2020-12-27
31,Magic,120,Wizards,113,2020-12-27
32,Spurs,95,Pelicans,98,2020-12-27
33,76ers,94,Cavaliers,118,2020-12-27
34,Bucks,110,Knicks,130,2020-12-27
35,Celtics,107,Pacers,108,2020-12-27
36,Warriors,129,Bulls,128,2020-12-27
37,Suns,116,Kings,100,2020-12-27
38,Timberwolves,91,Lakers,127,2020-12-27
39,Pistons,120,Hawks,128,2020-12-28
40,Grizzlies,116,Nets,111,2020-12-28
41,Jazz,110,Thunder,109,2020-12-28
42,Rockets,111,Nuggets,124,2020-12-28
43,Trail Blazers,115,Lakers,107,2020-12-28
44,Knicks,95,Cavaliers,86,2020-12-29
45,Warriors,116,Pistons,106,2020-12-29
46,Celtics,116,Pacers,111,2020-12-29
47,Raptors,93,76ers,100,2020-12-29
48,Bulls,115,Wizards,107,2020-12-29
49,Bucks,144,Heat,97,2020-12-29
50,Magic,118,Thunder,107,2020-12-29
51,Pelicans,86,Suns,111,2020-12-29
52,Timberwolves,101,Clippers,124,2020-12-29
53,Nuggets,115,Kings,125,2020-12-29
54,Grizzlies,107,Celtics,126,2020-12-30
55,Hawks,141,Nets,145,2020-12-30
56,Bucks,108,Heat,119,2020-12-30
57,Hornets,118,Mavericks,99,2020-12-30
58,Lakers,121,Spurs,107,2020-12-30
59,Trail Blazers,105,Clippers,128,2020-12-30
60,Cavaliers,99,Pacers,119,2020-12-31
61,Bulls,133,Wizards,130,2020-12-31
62,76ers,116,Magic,92,2020-12-31
