,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
7999,Danny Green,San Antonio Spurs,29:49:00,4,5,80,4,5,80,0,0,0,0,4,4,0,0,0,0,2,12,8,790
8000,Patty Mills,San Antonio Spurs,15:52,1,3,33.3,0,1,0,0,0,0,0,1,1,5,0,0,1,0,2,3,790
8001,Davis Bertans,San Antonio Spurs,11:15,2,4,50,1,2,50,0,0,0,0,1,1,0,0,0,2,2,5,-6,790
8002,Kyle Anderson,San Antonio Spurs,0:42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,790
8003,Bryn Forbes,San Antonio Spurs,0:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,790
8004,Andre Drummond,Detroit Pistons,36:37:00,5,17,29.4,0,0,0,2,5,40,6,9,15,0,3,1,0,4,12,-8,790
8005,Kentavious Caldwell-Pope,Detroit Pistons,35:17:00,5,12,41.7,0,4,0,0,0,0,0,4,4,3,1,0,1,1,10,-14,790
8006,Reggie Jackson,Detroit Pistons,29:29:00,5,13,38.5,2,4,50,0,0,0,0,1,1,7,1,0,2,1,12,-13,790
8007,Tobias Harris,Detroit Pistons,33:13:00,7,12,58.3,0,1,0,2,2,100,0,5,5,1,1,0,0,1,16,-7,790
8008,Ish Smith,Detroit Pistons,18:31,6,9,66.7,1,1,100,2,2,100,0,3,3,4,0,2,2,0,15,2,790
8009,Brandon Ingram,Los Angeles Lakers,20:15,1,3,33.3,0,1,0,0,0,0,0,2,2,0,0,0,1,4,2,15,791
8010,Julius Randle,Los Angeles Lakers,25:50:00,6,12,50,0,1,0,3,6,50,1,6,7,2,1,0,3,5,15,7,791
8011,D'Angelo Russell,Los Angeles Lakers,26:39:00,4,9,44.4,4,8,50,2,2,100,0,3,3,5,1,0,2,1,14,10,791
8012,Ivica Zubac,Los Angeles Lakers,20:34,7,11,63.6,0,0,0,1,1,100,1,5,6,2,0,1,2,3,15,0,791
8013,Lou Williams,Los Angeles Lakers,19:25,5,9,55.6,3,5,60,8,9,88.9,0,1,1,2,1,0,4,1,21,1,791
8014,Jordan Clarkson,Los Angeles Lakers,21:21,4,9,44.4,3,6,50,0,0,0,0,0,0,4,1,0,1,4,11,-2,791
8015,Giannis Antetokounmpo,Milwaukee Bucks,41:33:00,11,20,55,1,6,16.7,18,21,85.7,1,7,8,6,2,3,5,3,41,-8,791
8016,Tony Snell,Milwaukee Bucks,22:50,2,4,50,1,2,50,1,1,100,0,3,3,1,1,0,0,2,6,-17,791
8017,Khris Middleton,Milwaukee Bucks,20:43,2,7,28.6,1,2,50,1,2,50,0,1,1,6,3,0,1,2,6,-3,791
8018,Malcolm Brogdon,Milwaukee Bucks,26:51:00,8,11,72.7,1,3,33.3,1,1,100,0,2,2,3,1,0,4,3,18,11,791
8019,Kevin Durant,Golden State Warriors,32:20:00,5,14,35.7,3,6,50,11,14,78.6,0,5,5,4,1,2,3,2,24,2,792
8020,Draymond Green,Golden State Warriors,37:44:00,2,6,33.3,0,3,0,0,0,0,0,11,11,10,10,5,2,3,4,26,792
8021,JaVale McGee,Golden State Warriors,18:13,2,5,40,0,0,0,0,0,0,3,1,4,1,1,0,1,4,4,10,792
8022,Klay Thompson,Golden State Warriors,38:01:00,13,23,56.5,8,15,53.3,2,2,100,0,1,1,3,0,0,1,5,36,18,792
8023,Stephen Curry,Golden State Warriors,34:51:00,6,13,46.2,2,6,33.3,4,5,80,0,4,4,5,0,0,3,3,18,15,792
8024,Andre Iguodala,Golden State Warriors,28:25:00,6,7,85.7,2,3,66.7,8,11,72.7,0,2,2,4,1,2,0,0,22,2,792
8025,Kevon Looney,Golden State Warriors,11:52,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,4,792
8026,Damian Jones,Golden State Warriors,1:44,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,792
8027,JaMychal Green,Memphis Grizzlies,21:43,2,4,50,0,1,0,1,1,100,2,5,7,0,0,0,4,6,5,-7,792
