,Visitor,VisitorScore,Home,HomeScore,Date
0,Knicks,88,Cavaliers,117,10/25/2016
1,Jazz,104,Trail Blazers,113,10/25/2016
2,Spurs,129,Warriors,100,10/25/2016
3,Heat,108,Magic,96,10/26/2016
4,Mavericks,121,Pacers,130,10/26/2016
5,Nets,117,Celtics,122,10/26/2016
6,Pistons,91,Raptors,109,10/26/2016
7,Hornets,107,Bucks,96,10/26/2016
8,Timberwolves,98,Grizzlies,102,10/26/2016
9,Nuggets,107,Pelicans,102,10/26/2016
10,Thunder,103,76ers,97,10/26/2016
11,Kings,113,Suns,94,10/26/2016
12,Rockets,114,Lakers,120,10/26/2016
13,Wizards,99,Hawks,114,10/27/2016
14,Celtics,99,Bulls,105,10/27/2016
15,Spurs,102,Kings,94,10/27/2016
16,Clippers,114,Trail Blazers,106,10/27/2016
17,Cavaliers,94,Raptors,91,10/28/2016
18,Pacers,94,Nets,103,10/28/2016
19,Magic,82,Pistons,108,10/28/2016
20,Suns,110,Thunder,113,10/28/2016
21,Hornets,97,Heat,91,10/28/2016
22,Rockets,106,Mavericks,98,10/28/2016
23,Lakers,89,Jazz,96,10/28/2016
24,Warriors,122,Pelicans,114,10/28/2016
25,Hawks,104,76ers,72,10/29/2016
26,Celtics,104,Hornets,98,10/29/2016
27,Grizzlies,104,Knicks,111,10/29/2016
28,Magic,99,Cavaliers,105,10/29/2016
29,Pacers,101,Bulls,118,10/29/2016
30,Nets,108,Bucks,110,10/29/2016
31,Pelicans,79,Spurs,98,10/29/2016
32,Trail Blazers,115,Nuggets,113,10/29/2016
33,Timberwolves,103,Kings,106,10/29/2016
34,Jazz,75,Clippers,88,10/30/2016
35,Warriors,106,Suns,100,10/30/2016
36,Spurs,106,Heat,99,10/30/2016
37,Bucks,83,Pistons,98,10/30/2016
38,Lakers,96,Thunder,113,10/30/2016
39,Wizards,103,Grizzlies,112,10/30/2016
40,Mavericks,92,Rockets,93,10/30/2016
41,Nuggets,102,Raptors,105,10/31/2016
42,Bulls,118,Nets,88,10/31/2016
43,Kings,95,Hawks,106,10/31/2016
44,Suns,98,Clippers,116,10/31/2016
45,Rockets,120,Cavaliers,128,11/1/2016
46,Magic,103,76ers,101,11/1/2016
47,Lakers,108,Pacers,115,11/1/2016
48,Kings,96,Heat,108,11/1/2016
49,Knicks,89,Pistons,102,11/1/2016
50,Bucks,117,Pelicans,113,11/1/2016
51,Grizzlies,80,Timberwolves,116,11/1/2016
52,Jazz,106,Spurs,91,11/1/2016
53,Warriors,127,Trail Blazers,104,11/1/2016
54,Raptors,113,Wizards,103,11/2/2016
55,76ers,93,Hornets,109,11/2/2016
56,Pistons,101,Nets,109,11/2/2016
57,Rockets,118,Knicks,99,11/2/2016
58,Lakers,123,Hawks,116,11/2/2016
59,Pelicans,83,Grizzlies,89,11/2/2016
60,Bulls,100,Celtics,107,11/2/2016
61,Mavericks,81,Jazz,97,11/2/2016
62,Trail Blazers,115,Suns,118,11/2/2016
63,Thunder,85,Clippers,83,11/2/2016
64,Kings,94,Magic,102,11/3/2016
65,Pacers,107,Bucks,125,11/3/2016
66,Nuggets,102,Timberwolves,99,11/3/2016
67,Celtics,122,Cavaliers,128,11/3/2016
68,Thunder,96,Warriors,122,11/3/2016
69,Hawks,92,Wizards,95,11/4/2016
70,Heat,87,Raptors,96,11/4/2016
71,Hornets,99,Nets,95,11/4/2016
72,Knicks,117,Bulls,104,11/4/2016
73,Clippers,99,Grizzlies,88,11/4/2016
74,Suns,112,Pelicans,111,11/4/2016
75,Trail Blazers,105,Mavericks,95,11/4/2016
76,Spurs,100,Jazz,86,11/4/2016
77,Warriors,97,Lakers,117,11/4/2016
78,Timberwolves,92,Thunder,112,11/5/2016
79,Cavaliers,102,76ers,101,11/5/2016
80,Wizards,86,Magic,88,11/5/2016
81,Nuggets,86,Pistons,103,11/5/2016
82,Bulls,94,Pacers,111,11/5/2016
83,Rockets,97,Hawks,112,11/5/2016
84,Kings,91,Bucks,117,11/5/2016
85,Clippers,116,Spurs,92,11/5/2016
86,Jazz,114,Knicks,109,11/6/2016
87,Trail Blazers,100,Grizzlies,94,11/6/2016
88,Kings,96,Raptors,91,11/6/2016
89,Bucks,75,Mavericks,86,11/6/2016
90,Nuggets,123,Celtics,107,11/6/2016
91,Suns,108,Lakers,119,11/6/2016
92,Jazz,109,76ers,84,11/7/2016
93,Rockets,114,Wizards,106,11/7/2016
94,Pacers,100,Hornets,122,11/7/2016
95,Magic,80,Bulls,112,11/7/2016
96,Heat,85,Thunder,97,11/7/2016
97,Pistons,82,Clippers,114,11/7/2016
98,Pelicans,106,Warriors,116,11/7/2016
99,Hawks,110,Cavaliers,106,11/8/2016
100,Timberwolves,110,Nets,119,11/8/2016
101,Nuggets,107,Grizzlies,108,11/8/2016
102,Suns,121,Trail Blazers,124,11/8/2016
103,Mavericks,109,Lakers,97,11/8/2016
104,Pelicans,94,Kings,102,11/8/2016
105,Nets,96,Knicks,110,11/9/2016
106,Celtics,93,Wizards,118,11/9/2016
107,Jazz,98,Hornets,104,11/9/2016
108,Timberwolves,123,Magic,107,11/9/2016
109,76ers,115,Pacers,122,11/9/2016
110,Bulls,107,Hawks,115,11/9/2016
111,Raptors,112,Thunder,102,11/9/2016
112,Pistons,100,Suns,107,11/9/2016
113,Rockets,101,Spurs,99,11/9/2016
114,Trail Blazers,80,Clippers,111,11/9/2016
115,Mavericks,95,Warriors,116,11/9/2016
116,Pelicans,112,Bucks,106,11/10/2016
117,Bulls,98,Heat,95,11/10/2016
118,Warriors,125,Nuggets,101,11/10/2016
119,Lakers,101,Kings,91,11/10/2016
120,Pacers,105,76ers,109,11/11/2016
121,Cavaliers,105,Wizards,94,11/11/2016
122,Raptors,113,Hornets,111,11/11/2016
123,Jazz,87,Magic,74,11/11/2016
124,Knicks,87,Celtics,115,11/11/2016
125,Clippers,110,Thunder,108,11/11/2016
126,Pistons,86,Spurs,96,11/11/2016
127,Kings,120,Trail Blazers,122,11/11/2016
128,Lakers,126,Pelicans,99,11/12/2016
129,Celtics,105,Pacers,99,11/12/2016
130,Knicks,107,Raptors,118,11/12/2016
131,76ers,96,Hawks,117,11/12/2016
132,Wizards,95,Bulls,106,11/12/2016
133,Spurs,106,Rockets,100,11/12/2016
134,Clippers,119,Timberwolves,105,11/12/2016
135,Jazz,102,Heat,91,11/12/2016
