,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
0,Tobias Harris,Orlando Magic,36:32,9,18,50.0,1,2,50.0,6,6,100,2,6,8,0,1,0,4,2,25,-4,0
1,Nikola Vucevic,Orlando Magic,35:03,7,15,46.7,0,0,0.0,1,2,50.0,5,18,23,1,1,4,1,2,15,-3,0
2,Evan Fournier,Orlando Magic,32:15,3,11,27.3,2,4,50.0,3,3,100,1,2,3,2,0,0,4,2,11,-13,0
3,Elfrid Payton,Orlando Magic,30:46,2,8,25.0,0,0,0.0,0,0,0.0,3,2,5,7,1,0,2,5,4,1,0
4,Aaron Gordon,Orlando Magic,28:27,5,8,62.5,1,2,50.0,0,0,0.0,2,1,3,0,1,1,3,3,11,-18,0
5,Dewayne Dedmon,Orlando Magic,8:14,1,2,50.0,0,0,0.0,1,2,50.0,2,1,3,0,0,1,1,1,3,-1,0
6,Anthony Davis,New Orleans Pelicans,36:20,10,22,45.5,0,0,0.0,6,9,66.7,9,8,17,2,3,9,0,1,26,19,0
7,Eric Gordon,New Orleans Pelicans,31:31,3,8,37.5,1,2,50.0,1,3,33.3,0,4,4,0,2,2,3,1,8,17,0
8,Jrue Holiday,New Orleans Pelicans,27:02,4,11,36.4,0,3,0.0,0,0,0.0,0,2,2,4,3,1,2,2,8,9,0
9,Austin Rivers,New Orleans Pelicans,19:49,2,5,40.0,0,2,0.0,3,6,50.0,0,1,1,3,1,0,0,1,7,6,0
10,Jae Crowder,Dallas Mavericks,10:52,2,2,100,0,0,0.0,1,1,100,0,0,0,0,0,0,1,1,5,-8,1
11,Danny Green,San Antonio Spurs,34:02,5,9,55.6,3,6,50.0,0,0,0.0,2,2,4,1,1,0,3,4,13,-4,1
12,Cory Joseph,San Antonio Spurs,16:42,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,1,7,6,1
13,Trevor Ariza,Houston Rockets,29:34,5,10,50.0,5,8,62.5,1,1,100,1,2,3,2,2,0,2,3,16,10,2
14,Dwight Howard,Houston Rockets,20:34,3,5,60.0,0,0,0.0,7,16,43.8,3,8,11,1,0,1,1,5,13,20,2
15,James Harden,Houston Rockets,30:46,7,17,41.2,3,6,50.0,15,16,93.8,0,1,1,6,1,0,0,1,32,12,2
16,Patrick Beverley,Houston Rockets,30:55,2,6,33.3,2,3,66.7,3,6,50.0,1,4,5,5,0,0,2,3,9,17,2
17,Jordan Clarkson,Los Angeles Lakers,20:22,1,4,25.0,1,2,50.0,5,6,83.3,0,4,4,2,0,0,1,3,8,-4,2
18,Ed Davis,Los Angeles Lakers,21:35,5,7,71.4,0,0,0.0,1,2,50.0,2,4,6,0,1,2,0,6,11,-16,2
19,Julius Randle,Los Angeles Lakers,13:34,1,3,33.3,0,0,0.0,0,2,0.0,0,0,0,0,0,0,1,1,2,-18,2
20,Khris Middleton,Milwaukee Bucks,35:56,7,15,46.7,0,2,0.0,3,5,60.0,1,5,6,2,0,1,4,2,17,-6,3
