,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
427,Rudy Gay,Sacramento Kings,31:03,8,13,61.5,1,2,50.0,5,7,71.4,0,3,3,5,2,0,2,5,22,0,43,2016-10-31
428,Garrett Temple,Sacramento Kings,24:51,4,8,50.0,1,2,50.0,0,0,0.0,0,2,2,3,0,1,1,3,9,-7,43,2016-10-31
429,Willie Cauley-Stein,Sacramento Kings,11:55,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,1,1,3,0,-4,43,2016-10-31
430,Ben McLemore,Sacramento Kings,25:40,5,11,45.5,1,2,50.0,1,2,50.0,1,1,2,1,0,1,0,3,12,-9,43,2016-10-31
431,Kent Bazemore,Atlanta Hawks,28:08,3,9,33.3,1,5,20.0,4,4,100,0,2,2,1,3,1,0,3,11,-3,43,2016-10-31
432,Paul Millsap,Atlanta Hawks,31:41,5,14,35.7,0,1,0.0,3,4,75.0,5,8,13,8,3,1,4,4,13,12,43,2016-10-31
433,Dwight Howard,Atlanta Hawks,30:06,5,9,55.6,0,0,0.0,8,20,40.0,7,4,11,1,0,4,2,5,18,9,43,2016-10-31
434,Dennis Schroder,Atlanta Hawks,32:01,5,14,35.7,2,5,40.0,5,6,83.3,1,2,3,5,0,0,1,0,17,11,43,2016-10-31
435,Mike Muscala,Atlanta Hawks,20:16,2,4,50.0,0,1,0.0,6,8,75.0,2,0,2,0,0,0,0,1,10,3,43,2016-10-31
436,T.J. Warren,Phoenix Suns,28:56,6,14,42.9,0,1,0.0,3,5,60.0,2,2,4,1,1,0,1,3,15,-19,44,2016-10-31
