,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
0,Trevor Ariza,Washington Wizards,24:35,3,8,37.5,2,4,50.0,1,2,50.0,1,2,3,4,3,2,0,0,9,-9,0,2012-10-30
1,Bradley Beal,Washington Wizards,21:33,2,8,25.0,2,4,50.0,2,2,100,0,3,3,3,1,0,2,1,8,-16,0,2012-10-30
2,Tristan Thompson,Cleveland Cavaliers,31:31,5,8,62.5,0,0,0.0,2,4,50.0,3,7,10,5,1,0,2,2,12,20,0,2012-10-30
3,Kyrie Irving,Cleveland Cavaliers,34:34,11,20,55.0,3,6,50.0,4,5,80.0,0,6,6,3,0,1,4,4,29,23,0,2012-10-30
4,Rajon Rondo,Boston Celtics,43:33,9,14,64.3,0,2,0.0,2,4,50.0,0,7,7,13,0,0,4,4,20,-13,1,2012-10-30
5,Jeff Green,Boston Celtics,23:04,0,4,0.0,0,0,0.0,3,4,75.0,0,3,3,0,1,0,1,0,3,-7,1,2012-10-30
6,LeBron James,Miami Heat,28:52,10,16,62.5,2,4,50.0,4,5,80.0,1,9,10,3,2,0,0,2,26,12,1,2012-10-30
7,Udonis Haslem,Miami Heat,11:03,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,-2,1,2012-10-30
8,Jae Crowder,Dallas Mavericks,19:30,3,7,42.9,2,4,50.0,0,0,0.0,0,3,3,2,1,0,0,1,8,2,2,2012-10-30
9,Dwight Howard,Los Angeles Lakers,37:59,8,12,66.7,0,0,0.0,3,14,21.4,4,6,10,2,0,1,3,6,19,-13,2,2012-10-30
10,Paul George,Indiana Pacers,35:10,7,15,46.7,0,0,0.0,0,0,0.0,2,13,15,5,0,1,5,2,14,3,3,2012-10-31
11,George Hill,Indiana Pacers,32:48,3,9,33.3,1,4,25.0,1,2,50.0,0,1,1,7,0,1,1,3,8,2,3,2012-10-31
12,D.J. Augustin,Indiana Pacers,15:12,1,4,25.0,1,1,100,2,3,66.7,0,1,1,2,1,0,2,1,5,0,3,2012-10-31
13,Jonas Valanciunas,Toronto Raptors,23:05,6,15,40.0,0,0,0.0,0,0,0.0,6,4,10,0,0,1,0,4,12,-7,3,2012-10-31
